Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.4545125,303
"Nu: 0.0003, Gamma: 0.0001",76,426,571,4445,81.93185937,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",78,424,579,4437,81.82312432,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",77,425,575,4441,81.87749184,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",78,424,578,4438,81.84124683,0,40,,,
"Nu: 0.0003, Gamma: 0.005",141,361,1144,3872,72.72562523,0,40,,,
"Nu: 0.0003, Gamma: 0.05",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0003, Gamma: 0.1",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0003, Gamma: 0.2",502,0,5009,7,9.224356651,0,40,,,
"Nu: 0.0003, Gamma: 0.5",501,1,5002,14,9.3330917,0,40,,,
"Nu: 0.0003, Gamma: 0.7",501,1,5000,16,9.369336716,0,40,,,
"Nu: 0.0003, Gamma: 0.9",501,1,5000,16,9.369336716,0,40,,,
"Nu: 0.0003, Gamma: 0.99",501,1,5000,16,9.369336716,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",76,426,573,4443,81.89561435,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",79,423,584,4432,81.75063429,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",78,424,579,4437,81.82312432,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",79,423,581,4435,81.80500181,0,40,,,
"Nu: 0.0004, Gamma: 0.005",142,360,1150,3866,72.63501269,0,40,,,
"Nu: 0.0004, Gamma: 0.05",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0004, Gamma: 0.1",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0004, Gamma: 0.2",502,0,5009,7,9.224356651,0,40,,,
"Nu: 0.0004, Gamma: 0.5",501,1,5002,14,9.3330917,0,40,,,
"Nu: 0.0004, Gamma: 0.7",501,1,5000,16,9.369336716,0,40,,,
"Nu: 0.0004, Gamma: 0.9",501,1,5000,16,9.369336716,0,40,,,
"Nu: 0.0004, Gamma: 0.99",501,1,5000,16,9.369336716,0,40,,,
"Nu: 0.005, Gamma: 0.0001",151,351,1321,3695,69.69916636,0,40,,,
"Nu: 0.005, Gamma: 0.0002",153,349,1329,3687,69.59043132,0,40,,,
"Nu: 0.005, Gamma: 0.0003",500,2,5003,13,9.296846684,0,40,,,
"Nu: 0.005, Gamma: 0.0004",500,2,5003,13,9.296846684,0,40,,,
"Nu: 0.005, Gamma: 0.005",483,19,4946,70,10.02174701,0,40,,,
"Nu: 0.005, Gamma: 0.05",498,4,5001,15,9.296846684,0,40,,,
"Nu: 0.005, Gamma: 0.0625",498,4,5001,15,9.296846684,0,40,,,
"Nu: 0.005, Gamma: 0.1",498,4,5000,16,9.314969192,0,40,,,
"Nu: 0.005, Gamma: 0.2",500,2,5000,16,9.351214208,0,40,,,
"Nu: 0.005, Gamma: 0.5",499,3,5000,16,9.3330917,0,40,,,
"Nu: 0.005, Gamma: 0.7",499,3,4998,18,9.369336716,0,40,,,
"Nu: 0.005, Gamma: 0.9",499,3,4998,18,9.369336716,0,40,,,
"Nu: 0.005, Gamma: 0.99",499,3,4997,19,9.387459224,0,40,,,
"Nu: 0.05, Gamma: 0.0001",104,398,854,4162,77.31061979,0,40,,,
"Nu: 0.05, Gamma: 0.0002",109,393,922,4094,76.16890178,0,40,,,
"Nu: 0.05, Gamma: 0.0003",120,382,1003,4013,74.90032621,0,40,,,
"Nu: 0.05, Gamma: 0.0004",125,377,1053,3963,74.08481334,0,40,,,
"Nu: 0.05, Gamma: 0.005",178,324,1692,3324,63.46502356,0,40,,,
"Nu: 0.05, Gamma: 0.05",439,63,4613,403,15.25915187,0,40,,,
"Nu: 0.05, Gamma: 0.0625",476,26,4901,115,10.71040232,0,40,,,
"Nu: 0.05, Gamma: 0.1",476,26,4915,101,10.45668721,0,40,,,
"Nu: 0.05, Gamma: 0.2",475,27,4921,95,10.32982965,0,40,,,
"Nu: 0.05, Gamma: 0.5",473,29,4905,111,10.58354476,0,40,,,
"Nu: 0.05, Gamma: 0.7",470,32,4649,367,15.16853933,0,40,,,
"Nu: 0.05, Gamma: 0.9",465,37,4479,537,18.15875317,0,40,,,
"Nu: 0.05, Gamma: 0.99",469,33,4449,567,18.77491845,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",382,120,3952,1064,26.20514679,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",393,109,4114,902,23.46864806,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",397,105,4179,837,22.36317506,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",399,103,4204,812,21.94635738,0,40,,,
"Nu: 0.0625, Gamma: 0.005",355,147,3708,1308,30.13773106,0,40,,,
"Nu: 0.0625, Gamma: 0.05",465,37,4852,164,11.39905763,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",463,39,4846,170,11.47154766,0,40,,,
"Nu: 0.0625, Gamma: 0.1",449,53,4718,298,13.53751359,0,40,,,
"Nu: 0.0625, Gamma: 0.2",460,42,4838,178,11.5621602,0,40,,,
"Nu: 0.0625, Gamma: 0.5",467,35,4676,340,14.62486408,0,40,,,
"Nu: 0.0625, Gamma: 0.7",464,38,4423,593,19.15549112,0,40,,,
"Nu: 0.0625, Gamma: 0.9",466,36,4356,660,20.40594418,0,40,,,
"Nu: 0.0625, Gamma: 0.99",469,33,4338,678,20.78651685,0,40,,,
"Nu: 0.1, Gamma: 0.0001",213,289,2007,3009,58.39072128,0,40,,,
"Nu: 0.1, Gamma: 0.0002",229,273,2239,2777,54.47625951,0,40,,,
"Nu: 0.1, Gamma: 0.0003",253,249,2483,2533,50.48930772,0,40,,,
"Nu: 0.1, Gamma: 0.0004",310,192,3101,1915,40.32258065,0,40,,,
"Nu: 0.1, Gamma: 0.005",282,220,2797,2219,45.3243929,0,40,,,
"Nu: 0.1, Gamma: 0.05",449,53,4627,389,15.18666183,0,40,,,
"Nu: 0.1, Gamma: 0.0625",429,73,4415,601,18.6661834,0,40,,,
"Nu: 0.1, Gamma: 0.1",424,78,4380,636,19.20985864,0,40,,,
"Nu: 0.1, Gamma: 0.2",449,53,4561,455,16.38274737,0,40,,,
"Nu: 0.1, Gamma: 0.5",445,57,4057,959,25.44400145,0,40,,,
"Nu: 0.1, Gamma: 0.7",440,62,4124,892,24.13918086,0,40,,,
"Nu: 0.1, Gamma: 0.9",447,55,4202,814,22.85248278,0,40,,,
"Nu: 0.1, Gamma: 0.99",448,54,4224,792,22.47191011,0,40,,,
"Nu: 0.2, Gamma: 0.0001",10,492,39,4977,90.37694817,0,40,,,
"Nu: 0.2, Gamma: 0.0002",29,473,156,4860,88.60094237,0,40,,,
"Nu: 0.2, Gamma: 0.0003",29,473,153,4863,88.65530989,0,40,,,
"Nu: 0.2, Gamma: 0.0004",44,458,261,4755,86.96991664,0,40,,,
"Nu: 0.2, Gamma: 0.005",245,257,2037,2979,58.42696629,0,40,,,
"Nu: 0.2, Gamma: 0.05",328,174,2799,2217,46.12178325,0,40,,,
"Nu: 0.2, Gamma: 0.0625",390,112,3572,1444,33.23667996,0,40,,,
"Nu: 0.2, Gamma: 0.1",348,154,2757,2259,47.24537876,0,40,,,
