Features: 16,,,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.82608696,184
"Nu: 0.05, Gamma: 0.9",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.05, Gamma: 0.99",2,1,2,41,93.47826087,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",3,0,23,20,50,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",3,0,29,14,36.95652174,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",3,0,31,12,32.60869565,0,40,,,
"Nu: 0.0625, Gamma: 0.005",3,0,32,11,30.43478261,0,40,,,
"Nu: 0.0625, Gamma: 0.05",3,0,24,19,47.82608696,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",3,0,26,17,43.47826087,0,40,,,
"Nu: 0.0625, Gamma: 0.1",3,0,21,22,54.34782609,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,0,13,30,71.73913043,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,1,1,42,95.65217391,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,1,3,40,91.30434783,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,1,2,41,93.47826087,0,40,,,
"Nu: 0.0625, Gamma: 0.99",2,1,2,41,93.47826087,0,40,,,
"Nu: 0.1, Gamma: 0.0001",2,1,1,42,95.65217391,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,0,5,38,89.13043478,0,40,,,
"Nu: 0.1, Gamma: 0.0003",3,0,38,5,17.39130435,0,40,,,
"Nu: 0.1, Gamma: 0.0004",3,0,32,11,30.43478261,0,40,,,
"Nu: 0.1, Gamma: 0.005",3,0,30,13,34.7826087,0,40,,,
"Nu: 0.1, Gamma: 0.05",3,0,24,19,47.82608696,0,40,,,
"Nu: 0.1, Gamma: 0.0625",3,0,24,19,47.82608696,0,40,,,
"Nu: 0.1, Gamma: 0.1",3,0,19,24,58.69565217,0,40,,,
"Nu: 0.1, Gamma: 0.2",3,0,11,32,76.08695652,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,1,3,40,91.30434783,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,1,3,40,91.30434783,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,1,2,41,93.47826087,0,40,,,
"Nu: 0.1, Gamma: 0.99",2,1,0,43,97.82608696,0,40,,,
