ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
23,5.0,2834.0,9.0,1.0,0.0,16260.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,ferret
63,5.0,4708.0,19.0,10.0,7.0,12921.0,4.0,7.0,10.0,4.0,5.0,6.0,6.0,10.0,6.0,ferret
53,8.0,5948.0,14.0,9.0,9.0,9837.0,5.0,11.0,9.0,6.0,8.0,5.0,7.0,13.0,6.0,ferret
55,7.0,5284.0,14.0,8.0,5.0,6030.0,6.0,10.0,8.0,6.0,9.0,4.0,5.0,18.0,6.0,ferret
21,2.0,3670.0,9.0,5.0,0.0,4079.0,5.0,5.0,5.0,2.0,0.0,1.0,1.0,10.0,0.0,ferret
32,4.0,1516.0,13.0,3.0,6.0,1875.0,3.0,5.0,7.0,4.0,3.0,2.0,4.0,9.0,2.0,ferret
63,6.0,1129.0,17.0,6.0,4.0,1149.0,3.0,4.0,9.0,3.0,2.0,3.0,4.0,17.0,5.0,ferret
65,4.0,1309.0,17.0,7.0,5.0,1166.0,3.0,5.0,9.0,6.0,2.0,5.0,4.0,21.0,5.0,ferret
23,4.0,6335.0,17.0,9.0,3.0,1034.0,5.0,10.0,8.0,4.0,7.0,3.0,5.0,13.0,6.0,ferret
17,2.0,12071.0,7.0,2.0,3.0,1019.0,0.0,4.0,2.0,1.0,1.0,5.0,3.0,5.0,3.0,ferret
46,4.0,12651.0,17.0,7.0,2.0,1079.0,5.0,8.0,8.0,4.0,4.0,2.0,6.0,14.0,4.0,ferret
53,5.0,6216.0,17.0,4.0,4.0,1085.0,3.0,4.0,7.0,4.0,5.0,4.0,4.0,13.0,1.0,ferret
52,7.0,1665.0,12.0,14.0,9.0,1029.0,6.0,5.0,8.0,7.0,7.0,8.0,8.0,20.0,12.0,ferret
45,6.0,1074.0,15.0,3.0,4.0,1038.0,2.0,3.0,10.0,4.0,4.0,5.0,2.0,10.0,2.0,ferret
232,110.0,1138.0,100.0,114.0,57.0,4216.0,63.0,73.0,78.0,23.0,37.0,81.0,99.0,86.0,93.0,ferret
61,7.0,1152.0,19.0,5.0,5.0,11453.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,11.0,ferret
18,1.0,2286.0,13.0,3.0,0.0,15557.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,ferret
45,5.0,4116.0,26.0,4.0,2.0,12084.0,4.0,4.0,2.0,4.0,5.0,3.0,3.0,5.0,21.0,ferret
68,9.0,5343.0,24.0,8.0,9.0,9368.0,5.0,7.0,7.0,6.0,9.0,8.0,7.0,8.0,15.0,ferret
38,6.0,4820.0,23.0,9.0,4.0,6107.0,3.0,10.0,5.0,4.0,5.0,6.0,5.0,6.0,8.0,ferret
20,1.0,3215.0,14.0,0.0,1.0,4308.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,9.0,ferret
43,3.0,1439.0,19.0,3.0,3.0,1929.0,2.0,6.0,1.0,1.0,3.0,4.0,4.0,4.0,12.0,ferret
49,4.0,1106.0,22.0,5.0,4.0,1411.0,2.0,4.0,5.0,6.0,0.0,4.0,3.0,12.0,7.0,ferret
53,4.0,1527.0,21.0,3.0,2.0,1431.0,1.0,3.0,4.0,6.0,2.0,3.0,3.0,2.0,7.0,ferret
15,3.0,6827.0,18.0,5.0,2.0,1307.0,2.0,4.0,4.0,2.0,7.0,3.0,3.0,8.0,10.0,ferret
23,1.0,12735.0,12.0,4.0,1.0,1280.0,3.0,2.0,2.0,2.0,0.0,4.0,2.0,3.0,7.0,ferret
