Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.54014599,14
"Nu: 0.99, Gamma: 0.0625",0,4,1,132,96.35036496,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,1,132,96.35036496,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,1,132,96.35036496,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,133,97.08029197,0,40,,,
,,,,,,,,,,
Target Class: ferret_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0001, Gamma: 0.05",6,8,30,7,25.49019608,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",5,9,30,7,23.52941176,0,40,,,
"Nu: 0.0001, Gamma: 0.1",5,9,29,8,25.49019608,0,40,,,
"Nu: 0.0001, Gamma: 0.2",3,11,5,32,68.62745098,0,40,,,
"Nu: 0.0001, Gamma: 0.5",10,4,13,24,66.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.7",10,4,10,27,72.54901961,0,40,,,
"Nu: 0.0001, Gamma: 0.9",4,10,9,28,62.74509804,0,40,,,
"Nu: 0.0001, Gamma: 0.99",3,11,9,28,60.78431373,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0002, Gamma: 0.005",6,8,33,4,19.60784314,0,40,,,
"Nu: 0.0002, Gamma: 0.05",13,1,36,1,27.45098039,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",13,1,36,1,27.45098039,0,40,,,
"Nu: 0.0002, Gamma: 0.1",13,1,35,2,29.41176471,0,40,,,
"Nu: 0.0002, Gamma: 0.2",5,9,13,24,56.8627451,0,40,,,
"Nu: 0.0002, Gamma: 0.5",11,3,12,25,70.58823529,0,40,,,
"Nu: 0.0002, Gamma: 0.7",10,4,11,26,70.58823529,0,40,,,
"Nu: 0.0002, Gamma: 0.9",11,3,11,26,72.54901961,0,40,,,
"Nu: 0.0002, Gamma: 0.99",4,10,9,28,62.74509804,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0003, Gamma: 0.005",6,8,33,4,19.60784314,0,40,,,
"Nu: 0.0003, Gamma: 0.05",13,1,36,1,27.45098039,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",13,1,36,1,27.45098039,0,40,,,
"Nu: 0.0003, Gamma: 0.1",13,1,35,2,29.41176471,0,40,,,
"Nu: 0.0003, Gamma: 0.2",9,5,13,24,64.70588235,0,40,,,
"Nu: 0.0003, Gamma: 0.5",10,4,13,24,66.66666667,0,40,,,
