Features: 16,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.1, Gamma: 0.0625",2,2,27,14,35.55555555555556,0,40,
"Nu: 0.1, Gamma: 0.1",3,1,27,14,37.77777777777778,0,40,
"Nu: 0.1, Gamma: 0.2",3,1,23,18,46.666666666666664,0,40,
"Nu: 0.1, Gamma: 0.5",3,1,20,21,53.333333333333336,0,40,
"Nu: 0.1, Gamma: 0.7",3,1,19,22,55.55555555555556,0,40,
"Nu: 0.1, Gamma: 0.9",3,1,19,22,55.55555555555556,0,40,
"Nu: 0.1, Gamma: 0.99",3,1,18,23,57.77777777777777,0,40,
"Nu: 0.2, Gamma: 0.0001",2,2,23,18,44.44444444444444,0,40,
"Nu: 0.2, Gamma: 0.0002",3,1,26,15,40.0,0,40,
"Nu: 0.2, Gamma: 0.0003",2,2,29,12,31.11111111111111,0,40,
"Nu: 0.2, Gamma: 0.0004",2,2,29,12,31.11111111111111,0,40,
"Nu: 0.2, Gamma: 0.005",2,2,29,12,31.11111111111111,0,40,
"Nu: 0.2, Gamma: 0.05",2,2,29,12,31.11111111111111,0,40,
"Nu: 0.2, Gamma: 0.0625",2,2,27,14,35.55555555555556,0,40,
"Nu: 0.2, Gamma: 0.1",2,2,27,14,35.55555555555556,0,40,
"Nu: 0.2, Gamma: 0.2",3,1,23,18,46.666666666666664,0,40,
"Nu: 0.2, Gamma: 0.5",3,1,20,21,53.333333333333336,0,40,
"Nu: 0.2, Gamma: 0.7",3,1,19,22,55.55555555555556,0,40,
"Nu: 0.2, Gamma: 0.9",3,1,18,23,57.77777777777777,0,40,
"Nu: 0.2, Gamma: 0.99",3,1,18,23,57.77777777777777,0,40,
"Nu: 0.5, Gamma: 0.0001",2,2,15,26,62.22222222222222,0,40,
"Nu: 0.5, Gamma: 0.0002",2,2,19,22,53.333333333333336,0,40,
"Nu: 0.5, Gamma: 0.0003",2,2,19,22,53.333333333333336,0,40,
"Nu: 0.5, Gamma: 0.0004",2,2,19,22,53.333333333333336,0,40,
"Nu: 0.5, Gamma: 0.005",2,2,19,22,53.333333333333336,0,40,
"Nu: 0.5, Gamma: 0.05",2,2,19,22,53.333333333333336,0,40,
"Nu: 0.5, Gamma: 0.0625",2,2,19,22,53.333333333333336,0,40,
"Nu: 0.5, Gamma: 0.1",2,2,19,22,53.333333333333336,0,40,
"Nu: 0.5, Gamma: 0.2",2,2,21,20,48.888888888888886,0,40,
"Nu: 0.5, Gamma: 0.5",2,2,17,24,57.77777777777777,0,40,
"Nu: 0.5, Gamma: 0.7",1,3,17,24,55.55555555555556,0,40,
"Nu: 0.5, Gamma: 0.9",1,3,17,24,55.55555555555556,0,40,
"Nu: 0.5, Gamma: 0.99",1,3,17,24,55.55555555555556,0,40,
"Nu: 0.7, Gamma: 0.0001",1,3,18,23,53.333333333333336,0,40,
"Nu: 0.7, Gamma: 0.0002",1,3,18,23,53.333333333333336,0,40,
"Nu: 0.7, Gamma: 0.0003",1,3,14,27,62.22222222222222,0,40,
"Nu: 0.7, Gamma: 0.0004",1,3,14,27,62.22222222222222,0,40,
"Nu: 0.7, Gamma: 0.005",1,3,15,26,60.0,0,40,
"Nu: 0.7, Gamma: 0.05",1,3,15,26,60.0,0,40,
"Nu: 0.7, Gamma: 0.0625",1,3,16,25,57.77777777777777,0,40,
"Nu: 0.7, Gamma: 0.1",1,3,16,25,57.77777777777777,0,40,
"Nu: 0.7, Gamma: 0.2",1,3,14,27,62.22222222222222,0,40,
"Nu: 0.7, Gamma: 0.5",1,3,16,25,57.77777777777777,0,40,
"Nu: 0.7, Gamma: 0.7",1,3,16,25,57.77777777777777,0,40,
"Nu: 0.7, Gamma: 0.9",1,3,17,24,55.55555555555556,0,40,
"Nu: 0.7, Gamma: 0.99",1,3,15,26,60.0,0,40,
"Nu: 0.9, Gamma: 0.0001",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.9, Gamma: 0.0002",1,3,6,35,80.0,0,40,
"Nu: 0.9, Gamma: 0.0003",1,3,6,35,80.0,0,40,
"Nu: 0.9, Gamma: 0.0004",0,4,6,35,77.77777777777779,0,40,
"Nu: 0.9, Gamma: 0.005",0,4,6,35,77.77777777777779,0,40,
"Nu: 0.9, Gamma: 0.05",1,3,4,37,84.44444444444444,0,40,
"Nu: 0.9, Gamma: 0.0625",1,3,4,37,84.44444444444444,0,40,
"Nu: 0.9, Gamma: 0.1",1,3,3,38,86.66666666666667,0,40,
"Nu: 0.9, Gamma: 0.2",1,3,9,32,73.33333333333333,0,40,
"Nu: 0.9, Gamma: 0.5",0,4,6,35,77.77777777777779,0,40,
"Nu: 0.9, Gamma: 0.7",0,4,5,36,80.0,0,40,
"Nu: 0.9, Gamma: 0.9",0,4,3,38,84.44444444444444,0,40,
"Nu: 0.9, Gamma: 0.99",0,4,3,38,84.44444444444444,0,40,
"Nu: 0.99, Gamma: 0.0001",0,4,6,35,77.77777777777779,0,40,
"Nu: 0.99, Gamma: 0.0002",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.99, Gamma: 0.0003",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.99, Gamma: 0.0004",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.99, Gamma: 0.005",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.99, Gamma: 0.05",0,4,2,39,86.66666666666667,0,40,
"Nu: 0.99, Gamma: 0.0625",0,4,2,39,86.66666666666667,0,40,
"Nu: 0.99, Gamma: 0.1",0,4,2,39,86.66666666666667,0,40,
"Nu: 0.99, Gamma: 0.2",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.99, Gamma: 0.5",0,4,2,39,86.66666666666667,0,40,
"Nu: 0.99, Gamma: 0.7",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.99, Gamma: 0.9",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.99, Gamma: 0.99",0,4,0,41,91.11111111111111,0,40,
,,,,,,,,
Target Class: bodytrack_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0001, Gamma: 0.005",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0001, Gamma: 0.05",2,3,15,24,59.09090909090909,0,40,
"Nu: 0.0001, Gamma: 0.0625",2,3,14,25,61.36363636363637,0,40,
"Nu: 0.0001, Gamma: 0.1",2,3,12,27,65.9090909090909,0,40,
"Nu: 0.0001, Gamma: 0.2",2,3,5,34,81.81818181818183,0,40,
"Nu: 0.0001, Gamma: 0.5",1,4,23,16,38.63636363636363,0,40,
"Nu: 0.0001, Gamma: 0.7",1,4,22,17,40.909090909090914,0,40,
"Nu: 0.0001, Gamma: 0.9",3,2,21,18,47.72727272727273,0,40,
"Nu: 0.0001, Gamma: 0.99",3,2,20,19,50.0,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0002, Gamma: 0.005",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0002, Gamma: 0.05",2,3,15,24,59.09090909090909,0,40,
"Nu: 0.0002, Gamma: 0.0625",2,3,14,25,61.36363636363637,0,40,
"Nu: 0.0002, Gamma: 0.1",2,3,12,27,65.9090909090909,0,40,
"Nu: 0.0002, Gamma: 0.2",5,0,31,8,29.545454545454547,0,40,
"Nu: 0.0002, Gamma: 0.5",3,2,3,36,88.63636363636364,0,40,
"Nu: 0.0002, Gamma: 0.7",1,4,15,24,56.81818181818182,0,40,
"Nu: 0.0002, Gamma: 0.9",2,3,14,25,61.36363636363637,0,40,
"Nu: 0.0002, Gamma: 0.99",3,2,16,23,59.09090909090909,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0003, Gamma: 0.005",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0003, Gamma: 0.05",2,3,15,24,59.09090909090909,0,40,
"Nu: 0.0003, Gamma: 0.0625",2,3,14,25,61.36363636363637,0,40,
"Nu: 0.0003, Gamma: 0.1",3,2,25,14,38.63636363636363,0,40,
"Nu: 0.0003, Gamma: 0.2",5,0,31,8,29.545454545454547,0,40,
"Nu: 0.0003, Gamma: 0.5",1,4,22,17,40.909090909090914,0,40,
"Nu: 0.0003, Gamma: 0.7",3,2,17,22,56.81818181818182,0,40,
"Nu: 0.0003, Gamma: 0.9",4,1,17,22,59.09090909090909,0,40,
"Nu: 0.0003, Gamma: 0.99",3,2,16,23,59.09090909090909,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,39,88.63636363636364,0,40,
