Features: 16,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.52542373
"Nu: 0.9, Gamma: 0.5",0,5,5,49,83.05084746,0,40,,
"Nu: 0.9, Gamma: 0.7",0,5,4,50,84.74576271,0,40,,
"Nu: 0.9, Gamma: 0.9",0,5,4,50,84.74576271,0,40,,
"Nu: 0.9, Gamma: 0.99",0,5,4,50,84.74576271,0,40,,
"Nu: 0.99, Gamma: 0.0001",0,5,21,33,55.93220339,0,40,,
"Nu: 0.99, Gamma: 0.0002",0,5,14,40,67.79661017,0,40,,
"Nu: 0.99, Gamma: 0.0003",0,5,14,40,67.79661017,0,40,,
"Nu: 0.99, Gamma: 0.0004",0,5,14,40,67.79661017,0,40,,
"Nu: 0.99, Gamma: 0.005",0,5,1,53,89.83050847,0,40,,
"Nu: 0.99, Gamma: 0.05",0,5,0,54,91.52542373,0,40,,
"Nu: 0.99, Gamma: 0.0625",0,5,0,54,91.52542373,0,40,,
"Nu: 0.99, Gamma: 0.1",0,5,0,54,91.52542373,0,40,,
"Nu: 0.99, Gamma: 0.2",0,5,0,54,91.52542373,0,40,,
"Nu: 0.99, Gamma: 0.5",0,5,0,54,91.52542373,0,40,,
"Nu: 0.99, Gamma: 0.7",0,5,0,54,91.52542373,0,40,,
"Nu: 0.99, Gamma: 0.9",0,5,0,54,91.52542373,0,40,,
"Nu: 0.99, Gamma: 0.99",0,5,0,54,91.52542373,0,40,,
,,,,,,,,,
Target Class: canneal_IndirectBP,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,
"Nu: 0.0001, Gamma: 0.0001",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0001, Gamma: 0.0002",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0001, Gamma: 0.0003",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0001, Gamma: 0.0004",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0001, Gamma: 0.005",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0001, Gamma: 0.05",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0001, Gamma: 0.0625",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0001, Gamma: 0.1",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0001, Gamma: 0.2",1,5,5,45,82.14285714,0,40,,
"Nu: 0.0001, Gamma: 0.5",3,3,32,18,37.5,0,40,,
"Nu: 0.0001, Gamma: 0.7",1,5,22,28,51.78571429,0,40,,
"Nu: 0.0001, Gamma: 0.9",1,5,20,30,55.35714286,0,40,,
"Nu: 0.0001, Gamma: 0.99",2,4,21,29,55.35714286,0,40,,
"Nu: 0.0002, Gamma: 0.0001",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0002, Gamma: 0.0002",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0002, Gamma: 0.0003",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0002, Gamma: 0.0004",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0002, Gamma: 0.005",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0002, Gamma: 0.05",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0002, Gamma: 0.0625",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0002, Gamma: 0.1",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0002, Gamma: 0.2",1,5,5,45,82.14285714,0,40,,
"Nu: 0.0002, Gamma: 0.5",3,3,32,18,37.5,0,40,,
"Nu: 0.0002, Gamma: 0.7",1,5,22,28,51.78571429,0,40,,
"Nu: 0.0002, Gamma: 0.9",3,3,33,17,35.71428571,0,40,,
"Nu: 0.0002, Gamma: 0.99",3,3,26,24,48.21428571,0,40,,
"Nu: 0.0003, Gamma: 0.0001",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0003, Gamma: 0.0002",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0003, Gamma: 0.0003",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0003, Gamma: 0.0004",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0003, Gamma: 0.005",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0003, Gamma: 0.05",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0003, Gamma: 0.0625",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0003, Gamma: 0.1",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0003, Gamma: 0.2",1,5,5,45,82.14285714,0,40,,
"Nu: 0.0003, Gamma: 0.5",3,3,32,18,37.5,0,40,,
"Nu: 0.0003, Gamma: 0.7",3,3,41,9,21.42857143,0,40,,
"Nu: 0.0003, Gamma: 0.9",3,3,33,17,35.71428571,0,40,,
"Nu: 0.0003, Gamma: 0.99",3,3,26,24,48.21428571,0,40,,
"Nu: 0.0004, Gamma: 0.0001",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0004, Gamma: 0.0002",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0004, Gamma: 0.0003",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0004, Gamma: 0.0004",0,6,0,50,89.28571429,0,40,,
"Nu: 0.0004, Gamma: 0.005",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0004, Gamma: 0.05",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0004, Gamma: 0.0625",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0004, Gamma: 0.1",5,1,46,4,16.07142857,0,40,,
"Nu: 0.0004, Gamma: 0.2",3,3,25,25,50,0,40,,
"Nu: 0.0004, Gamma: 0.5",3,3,28,22,44.64285714,0,40,,
"Nu: 0.0004, Gamma: 0.7",4,2,32,18,39.28571429,0,40,,
"Nu: 0.0004, Gamma: 0.9",3,3,33,17,35.71428571,0,40,,
"Nu: 0.0004, Gamma: 0.99",3,3,26,24,48.21428571,0,40,,
"Nu: 0.005, Gamma: 0.0001",0,6,0,50,89.28571429,0,40,,
"Nu: 0.005, Gamma: 0.0002",0,6,0,50,89.28571429,0,40,,
"Nu: 0.005, Gamma: 0.0003",5,1,44,6,19.64285714,0,40,,
"Nu: 0.005, Gamma: 0.0004",5,1,44,6,19.64285714,0,40,,
"Nu: 0.005, Gamma: 0.005",5,1,46,4,16.07142857,0,40,,
"Nu: 0.005, Gamma: 0.05",5,1,46,4,16.07142857,0,40,,
"Nu: 0.005, Gamma: 0.0625",5,1,48,2,12.5,0,40,,
"Nu: 0.005, Gamma: 0.1",5,1,46,4,16.07142857,0,40,,
"Nu: 0.005, Gamma: 0.2",5,1,46,4,16.07142857,0,40,,
"Nu: 0.005, Gamma: 0.5",3,3,42,8,19.64285714,0,40,,
"Nu: 0.005, Gamma: 0.7",3,3,34,16,33.92857143,0,40,,
"Nu: 0.005, Gamma: 0.9",2,4,35,15,30.35714286,0,40,,
"Nu: 0.005, Gamma: 0.99",2,4,36,14,28.57142857,0,40,,
"Nu: 0.05, Gamma: 0.0001",5,1,41,9,25,0,40,,
"Nu: 0.05, Gamma: 0.0002",5,1,41,9,25,0,40,,
"Nu: 0.05, Gamma: 0.0003",5,1,41,9,25,0,40,,
"Nu: 0.05, Gamma: 0.0004",5,1,41,9,25,0,40,,
"Nu: 0.05, Gamma: 0.005",5,1,43,7,21.42857143,0,40,,
"Nu: 0.05, Gamma: 0.05",5,1,43,7,21.42857143,0,40,,
"Nu: 0.05, Gamma: 0.0625",5,1,43,7,21.42857143,0,40,,
"Nu: 0.05, Gamma: 0.1",5,1,43,7,21.42857143,0,40,,
"Nu: 0.05, Gamma: 0.2",5,1,44,6,19.64285714,0,40,,
"Nu: 0.05, Gamma: 0.5",4,2,42,8,21.42857143,0,40,,
"Nu: 0.05, Gamma: 0.7",4,2,41,9,23.21428571,0,40,,
