Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.85714286,328
"Nu: 0.2, Gamma: 0.005",4,2,20,25,56.8627451,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,2,19,26,58.82352941,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,2,19,26,58.82352941,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,2,18,27,60.78431373,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,3,17,28,60.78431373,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,4,22,23,49.01960784,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,4,20,25,52.94117647,0,40,,,
"Nu: 0.2, Gamma: 0.9",2,4,23,22,47.05882353,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,4,22,23,49.01960784,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,3,4,41,86.2745098,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,3,4,41,86.2745098,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,3,4,41,86.2745098,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,3,4,41,86.2745098,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,3,4,41,86.2745098,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,3,5,40,84.31372549,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,3,5,40,84.31372549,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,3,5,40,84.31372549,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,3,6,39,82.35294118,0,40,,,
"Nu: 0.5, Gamma: 0.5",1,5,7,38,76.47058824,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,5,7,38,76.47058824,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,5,6,39,78.43137255,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,5,6,39,78.43137255,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.7, Gamma: 0.0002",0,6,3,42,82.35294118,0,40,,,
"Nu: 0.7, Gamma: 0.0003",0,6,3,42,82.35294118,0,40,,,
