Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.42857143,174
"Nu: 0.005, Gamma: 0.2",1,2,27,5,17.14285714,0,40,,,
"Nu: 0.005, Gamma: 0.5",1,2,26,6,20,0,40,,,
"Nu: 0.005, Gamma: 0.7",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.005, Gamma: 0.9",0,3,23,9,25.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.99",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.05, Gamma: 0.0001",3,0,15,17,57.14285714,0,40,,,
"Nu: 0.05, Gamma: 0.0002",3,0,15,17,57.14285714,0,40,,,
"Nu: 0.05, Gamma: 0.0003",3,0,15,17,57.14285714,0,40,,,
"Nu: 0.05, Gamma: 0.0004",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.005",3,0,32,0,8.571428571,0,40,,,
"Nu: 0.05, Gamma: 0.05",3,0,32,0,8.571428571,0,40,,,
"Nu: 0.05, Gamma: 0.0625",3,0,32,0,8.571428571,0,40,,,
"Nu: 0.05, Gamma: 0.1",3,0,32,0,8.571428571,0,40,,,
"Nu: 0.05, Gamma: 0.2",1,2,27,5,17.14285714,0,40,,,
"Nu: 0.05, Gamma: 0.5",1,2,26,6,20,0,40,,,
"Nu: 0.05, Gamma: 0.7",1,2,24,8,25.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.9",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.05, Gamma: 0.99",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",3,0,15,17,57.14285714,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",3,0,15,17,57.14285714,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",3,0,25,7,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",3,0,25,7,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.005",3,0,32,0,8.571428571,0,40,,,
"Nu: 0.0625, Gamma: 0.05",3,0,32,0,8.571428571,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",3,0,32,0,8.571428571,0,40,,,
"Nu: 0.0625, Gamma: 0.1",3,0,32,0,8.571428571,0,40,,,
"Nu: 0.0625, Gamma: 0.2",1,2,27,5,17.14285714,0,40,,,
"Nu: 0.0625, Gamma: 0.5",1,2,26,6,20,0,40,,,
"Nu: 0.0625, Gamma: 0.7",1,2,24,8,25.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.9",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.0625, Gamma: 0.99",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,0,16,16,54.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,0,16,16,54.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.0003",3,0,19,13,45.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.0004",3,0,19,13,45.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.005",3,0,21,11,40,0,40,,,
"Nu: 0.1, Gamma: 0.05",3,0,21,11,40,0,40,,,
