Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.95918367,27
"Nu: 0.2, Gamma: 0.2",3,1,28,17,40.81632653,0,40,,,
"Nu: 0.2, Gamma: 0.5",3,1,17,28,63.26530612,0,40,,,
"Nu: 0.2, Gamma: 0.7",3,1,12,33,73.46938776,0,40,,,
"Nu: 0.2, Gamma: 0.9",3,1,9,36,79.59183673,0,40,,,
"Nu: 0.2, Gamma: 0.99",3,1,8,37,81.63265306,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,2,22,23,51.02040816,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,2,28,17,38.7755102,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,2,28,17,38.7755102,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,2,28,17,38.7755102,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,2,27,18,40.81632653,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,27,18,40.81632653,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,27,18,40.81632653,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,2,27,18,40.81632653,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,2,16,29,63.26530612,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,11,34,73.46938776,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,3,6,39,81.63265306,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,3,3,42,87.75510204,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,3,2,43,89.79591837,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,24,21,44.89795918,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,3,24,21,44.89795918,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,3,20,25,53.06122449,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,3,20,25,53.06122449,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,20,25,53.06122449,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,19,26,55.10204082,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,19,26,55.10204082,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,14,31,65.30612245,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,9,36,75.51020408,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,6,39,81.63265306,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,3,1,44,91.83673469,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,1,44,91.83673469,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,0,45,93.87755102,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,0,45,91.83673469,0,40,,,
