Features: 16,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0004, Gamma: 0.0003",943,32,17,4,95.08032128514057,0,40,
"Nu: 0.0004, Gamma: 0.0004",957,32,3,4,96.4859437751004,0,40,
"Nu: 0.0004, Gamma: 0.005",931,31,29,5,93.97590361445783,0,40,
"Nu: 0.0004, Gamma: 0.05",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0004, Gamma: 0.0625",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0004, Gamma: 0.1",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0004, Gamma: 0.2",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0004, Gamma: 0.5",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0004, Gamma: 0.7",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0004, Gamma: 0.9",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0004, Gamma: 0.99",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.005, Gamma: 1e-05",773,4,187,32,80.82329317269075,0,40,
"Nu: 0.005, Gamma: 2e-05",780,8,180,28,81.12449799196787,0,40,
"Nu: 0.005, Gamma: 3e-05",777,8,183,28,80.82329317269075,0,40,
"Nu: 0.005, Gamma: 4e-05",780,8,180,28,81.12449799196787,0,40,
"Nu: 0.005, Gamma: 5e-05",790,8,170,28,82.1285140562249,0,40,
"Nu: 0.005, Gamma: 6e-05",787,7,173,29,81.92771084337349,0,40,
"Nu: 0.005, Gamma: 7e-05",791,8,169,28,82.2289156626506,0,40,
"Nu: 0.005, Gamma: 8e-05",804,9,156,27,83.43373493975903,0,40,
"Nu: 0.005, Gamma: 9e-05",797,9,163,27,82.73092369477911,0,40,
"Nu: 0.005, Gamma: 0.0001",800,9,160,27,83.03212851405623,0,40,
"Nu: 0.005, Gamma: 0.0002",802,8,158,28,83.33333333333334,0,40,
"Nu: 0.005, Gamma: 0.0003",830,9,130,27,86.04417670682732,0,40,
