Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,93.75,154
"Nu: 0.1, Gamma: 0.7",2,0,10,4,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,0,7,7,56.25,0,40,,,
"Nu: 0.1, Gamma: 0.99",2,0,6,8,62.5,0,40,,,
"Nu: 0.2, Gamma: 0.0001",2,0,8,6,50,0,40,,,
"Nu: 0.2, Gamma: 0.0002",2,0,9,5,43.75,0,40,,,
"Nu: 0.2, Gamma: 0.0003",2,0,9,5,43.75,0,40,,,
"Nu: 0.2, Gamma: 0.0004",2,0,9,5,43.75,0,40,,,
"Nu: 0.2, Gamma: 0.005",2,0,10,4,37.5,0,40,,,
"Nu: 0.2, Gamma: 0.05",2,0,10,4,37.5,0,40,,,
"Nu: 0.2, Gamma: 0.0625",2,0,10,4,37.5,0,40,,,
"Nu: 0.2, Gamma: 0.1",2,0,9,5,43.75,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,0,9,5,43.75,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,0,7,7,56.25,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,0,10,4,37.5,0,40,,,
"Nu: 0.2, Gamma: 0.9",2,0,10,4,37.5,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,0,9,5,43.75,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,0,8,6,50,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,0,8,6,50,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,0,8,6,50,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,0,8,6,50,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,0,8,6,50,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,0,8,6,50,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,0,8,6,50,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,0,7,7,56.25,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,0,7,7,56.25,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,0,7,7,56.25,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,0,5,9,68.75,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,0,5,9,68.75,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,0,5,9,68.75,0,40,,,
"Nu: 0.7, Gamma: 0.0001",2,0,7,7,56.25,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,0,5,9,68.75,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,0,5,9,68.75,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,0,5,9,68.75,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,0,7,7,56.25,0,40,,,
"Nu: 0.7, Gamma: 0.05",2,0,7,7,56.25,0,40,,,
"Nu: 0.7, Gamma: 0.0625",2,0,7,7,56.25,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,0,7,7,56.25,0,40,,,
"Nu: 0.7, Gamma: 0.2",2,0,5,9,68.75,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,0,3,11,81.25,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,0,4,10,75,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,1,1,13,87.5,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,1,1,13,87.5,0,40,,,
"Nu: 0.9, Gamma: 0.0001",2,0,7,7,56.25,0,40,,,
"Nu: 0.9, Gamma: 0.0002",2,0,7,7,56.25,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,2,1,13,81.25,0,40,,,
"Nu: 0.9, Gamma: 0.0004",2,0,5,9,68.75,0,40,,,
"Nu: 0.9, Gamma: 0.005",2,0,5,9,68.75,0,40,,,
"Nu: 0.9, Gamma: 0.05",2,0,3,11,81.25,0,40,,,
"Nu: 0.9, Gamma: 0.0625",2,0,3,11,81.25,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,0,3,11,81.25,0,40,,,
"Nu: 0.9, Gamma: 0.2",2,0,1,13,93.75,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,1,0,14,93.75,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,2,0,14,87.5,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,2,0,14,87.5,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,2,0,14,87.5,0,40,,,
"Nu: 0.99, Gamma: 0.0001",2,0,8,6,50,0,40,,,
"Nu: 0.99, Gamma: 0.0002",2,0,5,9,68.75,0,40,,,
"Nu: 0.99, Gamma: 0.0003",2,0,5,9,68.75,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,2,1,13,81.25,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,2,1,13,81.25,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,2,1,13,81.25,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,2,0,14,87.5,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,2,0,14,87.5,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,2,0,14,87.5,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,2,0,14,87.5,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,2,0,14,87.5,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,2,0,14,87.5,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,2,0,14,87.5,0,40,,,
,,,,,,,,,,
Target Class: blackscholes_Pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,2,0,20,90.90909091,0,40,,,
