Features: 16,,,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.40625,164
"Nu: 0.7, Gamma: 0.9",4,8,27,89,72.65625,0,40,,,
"Nu: 0.7, Gamma: 0.99",4,8,27,89,72.65625,0,40,,,
"Nu: 0.9, Gamma: 0.0001",3,9,8,108,86.71875,0,40,,,
"Nu: 0.9, Gamma: 0.0002",3,9,12,104,83.59375,0,40,,,
"Nu: 0.9, Gamma: 0.0003",3,9,11,105,84.375,0,40,,,
"Nu: 0.9, Gamma: 0.0004",3,9,11,105,84.375,0,40,,,
"Nu: 0.9, Gamma: 0.005",3,9,12,104,83.59375,0,40,,,
"Nu: 0.9, Gamma: 0.05",3,9,17,99,79.6875,0,40,,,
"Nu: 0.9, Gamma: 0.0625",3,9,19,97,78.125,0,40,,,
"Nu: 0.9, Gamma: 0.1",4,8,22,94,76.5625,0,40,,,
"Nu: 0.9, Gamma: 0.2",2,10,15,101,80.46875,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,12,13,103,80.46875,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,11,4,112,88.28125,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,11,4,112,88.28125,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,11,5,111,87.5,0,40,,,
"Nu: 0.99, Gamma: 0.0001",2,10,4,112,89.0625,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.05",1,11,0,116,91.40625,0,40,,,
"Nu: 0.99, Gamma: 0.0625",1,11,0,116,91.40625,0,40,,,
"Nu: 0.99, Gamma: 0.1",1,11,0,116,91.40625,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,116,90.625,0,40,,,
,,,,,,,,,,
Target Class: vips_IndirectBP,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.0001, Gamma: 0.1",7,5,91,20,21.95121951,0,40,,,
"Nu: 0.0001, Gamma: 0.2",4,8,58,53,46.34146341,0,40,,,
"Nu: 0.0001, Gamma: 0.5",7,5,73,38,36.58536585,0,40,,,
"Nu: 0.0001, Gamma: 0.7",7,5,70,41,39.02439024,0,40,,,
"Nu: 0.0001, Gamma: 0.9",4,8,61,50,43.90243902,0,40,,,
"Nu: 0.0001, Gamma: 0.99",4,8,47,64,55.28455285,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.0002, Gamma: 0.1",7,5,91,20,21.95121951,0,40,,,
"Nu: 0.0002, Gamma: 0.2",5,7,61,50,44.71544715,0,40,,,
"Nu: 0.0002, Gamma: 0.5",5,7,78,33,30.89430894,0,40,,,
"Nu: 0.0002, Gamma: 0.7",4,8,72,39,34.95934959,0,40,,,
"Nu: 0.0002, Gamma: 0.9",5,7,54,57,50.40650407,0,40,,,
"Nu: 0.0002, Gamma: 0.99",4,8,47,64,55.28455285,0,40,,,
