Features: 16,,,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.40625,164
"Nu: 0.9, Gamma: 0.1",0,12,14,97,78.86178862,10,40,,,
"Nu: 0.9, Gamma: 0.2",1,11,13,98,80.48780488,10,40,,,
"Nu: 0.9, Gamma: 0.5",6,6,23,88,76.42276423,10,40,,,
"Nu: 0.9, Gamma: 0.7",7,5,26,85,74.79674797,10,40,,,
"Nu: 0.9, Gamma: 0.9",6,6,28,83,72.35772358,10,40,,,
"Nu: 0.9, Gamma: 0.99",7,5,29,82,72.35772358,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,4,107,86.99186992,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,4,107,86.99186992,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,4,107,86.99186992,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,4,107,86.99186992,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,4,107,86.99186992,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,5,106,86.17886179,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,5,106,86.17886179,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,6,105,85.36585366,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,6,105,85.36585366,10,40,,,
"Nu: 0.99, Gamma: 0.5",4,8,9,102,86.17886179,10,40,,,
"Nu: 0.99, Gamma: 0.7",5,7,11,100,85.36585366,10,40,,,
"Nu: 0.99, Gamma: 0.9",5,7,15,96,82.11382114,10,40,,,
"Nu: 0.99, Gamma: 0.99",5,7,15,96,82.11382114,10,40,,,
