Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.6719826,303
"Nu: 0.2, Gamma: 0.5",401,101,2324,2692,56.05291772,0,40,,,
"Nu: 0.2, Gamma: 0.7",399,103,2364,2652,55.29177238,0,40,,,
"Nu: 0.2, Gamma: 0.9",402,100,2528,2488,52.37404857,0,40,,,
"Nu: 0.2, Gamma: 0.99",400,102,2506,2510,52.73649873,0,40,,,
"Nu: 0.5, Gamma: 0.0001",495,7,4985,31,9.53243929,0,40,,,
"Nu: 0.5, Gamma: 0.0002",494,8,4973,43,9.731786879,0,40,,,
"Nu: 0.5, Gamma: 0.0003",494,8,4973,43,9.731786879,0,40,,,
"Nu: 0.5, Gamma: 0.0004",494,8,4886,130,11.30844509,0,40,,,
"Nu: 0.5, Gamma: 0.005",310,192,1130,3886,76.04204422,0,40,,,
"Nu: 0.5, Gamma: 0.05",224,278,463,4553,86.57122146,0,40,,,
"Nu: 0.5, Gamma: 0.0625",238,264,466,4550,86.77056905,0,40,,,
"Nu: 0.5, Gamma: 0.1",239,263,366,4650,88.60094237,0,40,,,
"Nu: 0.5, Gamma: 0.2",254,248,247,4769,91.02935846,0,40,,,
"Nu: 0.5, Gamma: 0.5",251,251,116,4900,93.34903951,0,40,,,
"Nu: 0.5, Gamma: 0.7",248,254,90,4926,93.76585719,0,40,,,
"Nu: 0.5, Gamma: 0.9",253,249,81,4935,94.01957231,0,40,,,
"Nu: 0.5, Gamma: 0.99",251,251,77,4939,94.05581733,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.7, Gamma: 0.0002",25,477,6,5010,91.24682856,0,40,,,
"Nu: 0.7, Gamma: 0.0003",21,481,5,5011,91.19246104,0,40,,,
"Nu: 0.7, Gamma: 0.0004",25,477,6,5010,91.24682856,0,40,,,
"Nu: 0.7, Gamma: 0.005",153,349,176,4840,90.48568322,0,40,,,
"Nu: 0.7, Gamma: 0.05",156,346,120,4896,91.5549112,0,40,,,
"Nu: 0.7, Gamma: 0.0625",157,345,101,4915,91.91736136,0,40,,,
"Nu: 0.7, Gamma: 0.1",157,345,76,4940,92.37042407,0,40,,,
"Nu: 0.7, Gamma: 0.2",135,367,26,4990,92.8778543,0,40,,,
"Nu: 0.7, Gamma: 0.5",144,358,9,5007,93.34903951,0,40,,,
"Nu: 0.7, Gamma: 0.7",143,359,6,5010,93.38528452,0,40,,,
"Nu: 0.7, Gamma: 0.9",148,354,7,5009,93.45777456,0,40,,,
"Nu: 0.7, Gamma: 0.99",144,358,4,5012,93.43965205,0,40,,,
"Nu: 0.9, Gamma: 0.0001",426,76,3809,1207,29.59405582,0,40,,,
"Nu: 0.9, Gamma: 0.0002",474,28,4236,780,22.72562523,0,40,,,
"Nu: 0.9, Gamma: 0.0003",455,47,4158,858,23.79485321,0,40,,,
"Nu: 0.9, Gamma: 0.0004",470,32,4200,816,23.30554549,0,40,,,
"Nu: 0.9, Gamma: 0.005",8,494,1,5015,91.02935846,0,40,,,
"Nu: 0.9, Gamma: 0.05",28,474,2,5014,91.37368612,0,40,,,
"Nu: 0.9, Gamma: 0.0625",33,469,3,5013,91.44617615,0,40,,,
"Nu: 0.9, Gamma: 0.1",44,458,3,5013,91.64552374,0,40,,,
"Nu: 0.9, Gamma: 0.2",46,456,0,5016,91.73613628,0,40,,,
"Nu: 0.9, Gamma: 0.5",54,448,0,5016,91.88111635,0,40,,,
"Nu: 0.9, Gamma: 0.7",50,452,0,5016,91.80862631,0,40,,,
"Nu: 0.9, Gamma: 0.9",54,448,0,5016,91.88111635,0,40,,,
"Nu: 0.9, Gamma: 0.99",51,451,0,5016,91.82674882,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.99, Gamma: 0.0002",482,20,4305,711,21.62015223,0,40,,,
"Nu: 0.99, Gamma: 0.0003",432,70,3944,1072,27.25625227,0,40,,,
"Nu: 0.99, Gamma: 0.0004",423,79,3675,1341,31.96810439,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.99, Gamma: 0.05",8,494,0,5016,91.04748097,0,40,,,
"Nu: 0.99, Gamma: 0.0625",9,493,0,5016,91.06560348,0,40,,,
"Nu: 0.99, Gamma: 0.1",6,496,0,5016,91.01123596,0,40,,,
"Nu: 0.99, Gamma: 0.2",4,498,0,5016,90.97499094,0,40,,,
"Nu: 0.99, Gamma: 0.5",3,499,0,5016,90.95686843,0,40,,,
"Nu: 0.99, Gamma: 0.7",2,500,0,5016,90.93874592,0,40,,,
"Nu: 0.99, Gamma: 0.9",4,498,0,5016,90.97499094,0,40,,,
"Nu: 0.99, Gamma: 0.99",5,497,0,5016,90.99311345,0,40,,,
,,,,,,,,,,
Target Class: x264_Pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",202,300,895,4121,78.34360275,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",202,300,889,4127,78.4523378,0,40,,,
"Nu: 0.0001, Gamma: 0.005",202,300,891,4125,78.41609279,0,40,,,
"Nu: 0.0001, Gamma: 0.05",495,7,4055,961,26.38637187,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0001, Gamma: 0.1",313,189,1523,3493,68.97426604,0,40,,,
"Nu: 0.0001, Gamma: 0.2",502,0,5005,11,9.296846684,0,40,,,
"Nu: 0.0001, Gamma: 0.5",501,1,4988,28,9.586806814,0,40,,,
"Nu: 0.0001, Gamma: 0.7",501,1,5001,15,9.351214208,0,40,,,
"Nu: 0.0001, Gamma: 0.9",500,2,5000,16,9.351214208,0,40,,,
"Nu: 0.0001, Gamma: 0.99",500,2,4999,17,9.369336716,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",202,300,891,4125,78.41609279,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",202,300,895,4121,78.34360275,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",202,300,889,4127,78.4523378,0,40,,,
"Nu: 0.0002, Gamma: 0.005",202,300,891,4125,78.41609279,0,40,,,
"Nu: 0.0002, Gamma: 0.05",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0002, Gamma: 0.1",502,0,5013,3,9.151866618,0,40,,,
"Nu: 0.0002, Gamma: 0.2",502,0,5005,11,9.296846684,0,40,,,
"Nu: 0.0002, Gamma: 0.5",501,1,5003,13,9.314969192,0,40,,,
"Nu: 0.0002, Gamma: 0.7",501,1,5001,15,9.351214208,0,40,,,
"Nu: 0.0002, Gamma: 0.9",500,2,5000,16,9.351214208,0,40,,,
"Nu: 0.0002, Gamma: 0.99",500,2,4999,17,9.369336716,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",265,237,1243,3773,73.17868793,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",267,235,1253,3763,73.03370787,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",267,235,1257,3759,72.96121783,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",267,235,1251,3765,73.06995288,0,40,,,
"Nu: 0.0003, Gamma: 0.005",267,235,1255,3761,72.99746285,0,40,,,
"Nu: 0.0003, Gamma: 0.05",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0003, Gamma: 0.1",502,0,5013,3,9.151866618,0,40,,,
"Nu: 0.0003, Gamma: 0.2",502,0,5005,11,9.296846684,0,40,,,
"Nu: 0.0003, Gamma: 0.5",501,1,5003,13,9.314969192,0,40,,,
"Nu: 0.0003, Gamma: 0.7",501,1,5002,14,9.3330917,0,40,,,
"Nu: 0.0003, Gamma: 0.9",500,2,5000,16,9.351214208,0,40,,,
"Nu: 0.0003, Gamma: 0.99",500,2,4999,17,9.369336716,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",265,237,1244,3772,73.16056542,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",267,235,1253,3763,73.03370787,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",267,235,1257,3759,72.96121783,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",267,235,1252,3764,73.05183037,0,40,,,
"Nu: 0.0004, Gamma: 0.005",267,235,1255,3761,72.99746285,0,40,,,
"Nu: 0.0004, Gamma: 0.05",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0004, Gamma: 0.1",502,0,5013,3,9.151866618,0,40,,,
"Nu: 0.0004, Gamma: 0.2",502,0,5005,11,9.296846684,0,40,,,
"Nu: 0.0004, Gamma: 0.5",501,1,5003,13,9.314969192,0,40,,,
"Nu: 0.0004, Gamma: 0.7",501,1,5002,14,9.3330917,0,40,,,
