Features: 16,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.1, Gamma: 0.2",22,1,297,689,70.46580773042616,0,40,
"Nu: 0.1, Gamma: 0.5",22,1,163,823,83.74628344895937,0,40,
"Nu: 0.1, Gamma: 0.7",22,1,0,986,99.90089197224975,0,40,
"Nu: 0.1, Gamma: 0.9",22,1,0,986,99.90089197224975,0,40,
"Nu: 0.1, Gamma: 0.99",22,1,0,986,99.90089197224975,0,40,
"Nu: 0.2, Gamma: 0.0001",22,1,293,693,70.86223984142715,0,40,
"Nu: 0.2, Gamma: 0.0002",20,3,157,829,84.14271555996035,0,40,
"Nu: 0.2, Gamma: 0.0003",20,3,157,829,84.14271555996035,0,40,
"Nu: 0.2, Gamma: 0.0004",20,3,157,829,84.14271555996035,0,40,
"Nu: 0.2, Gamma: 0.005",20,3,157,829,84.14271555996035,0,40,
"Nu: 0.2, Gamma: 0.05",20,3,75,911,92.26957383548068,0,40,
"Nu: 0.2, Gamma: 0.0625",20,3,37,949,96.03567888999008,0,40,
"Nu: 0.2, Gamma: 0.1",20,3,25,961,97.22497522299307,0,40,
"Nu: 0.2, Gamma: 0.2",20,3,13,973,98.41427155599604,0,40,
"Nu: 0.2, Gamma: 0.5",22,1,0,986,99.90089197224975,0,40,
"Nu: 0.2, Gamma: 0.7",22,1,0,986,99.90089197224975,0,40,
"Nu: 0.2, Gamma: 0.9",22,1,0,986,99.90089197224975,0,40,
"Nu: 0.2, Gamma: 0.99",22,1,0,986,99.90089197224975,0,40,
"Nu: 0.5, Gamma: 0.0001",22,1,25,961,97.42319127849356,0,40,
"Nu: 0.5, Gamma: 0.0002",20,3,19,967,97.81962338949455,0,40,
"Nu: 0.5, Gamma: 0.0003",1,22,2,984,97.62140733399404,0,40,
"Nu: 0.5, Gamma: 0.0004",3,20,2,984,97.81962338949455,0,40,
"Nu: 0.5, Gamma: 0.005",13,10,0,986,99.00891972249752,0,40,
"Nu: 0.5, Gamma: 0.05",16,7,0,986,99.30624380574827,0,40,
"Nu: 0.5, Gamma: 0.0625",16,7,0,986,99.30624380574827,0,40,
"Nu: 0.5, Gamma: 0.1",15,8,0,986,99.20713577799802,0,40,
"Nu: 0.5, Gamma: 0.2",14,9,0,986,99.10802775024777,0,40,
"Nu: 0.5, Gamma: 0.5",11,12,0,986,98.81070366699703,0,40,
"Nu: 0.5, Gamma: 0.7",11,12,0,986,98.81070366699703,0,40,
"Nu: 0.5, Gamma: 0.9",11,12,0,986,98.81070366699703,0,40,
"Nu: 0.5, Gamma: 0.99",11,12,0,986,98.81070366699703,0,40,
"Nu: 0.7, Gamma: 0.0001",20,3,16,970,98.1169474727453,0,40,
"Nu: 0.7, Gamma: 0.0002",20,3,11,975,98.61248761149653,0,40,
"Nu: 0.7, Gamma: 0.0003",17,6,0,986,99.40535183349851,0,40,
"Nu: 0.7, Gamma: 0.0004",15,8,0,986,99.20713577799802,0,40,
"Nu: 0.7, Gamma: 0.005",5,18,0,986,98.21605550049554,0,40,
"Nu: 0.7, Gamma: 0.05",10,13,0,986,98.71159563924678,0,40,
"Nu: 0.7, Gamma: 0.0625",9,14,0,986,98.61248761149653,0,40,
"Nu: 0.7, Gamma: 0.1",8,15,0,986,98.51337958374629,0,40,
"Nu: 0.7, Gamma: 0.2",6,17,0,986,98.31516352824579,0,40,
"Nu: 0.7, Gamma: 0.5",8,15,0,986,98.51337958374629,0,40,
"Nu: 0.7, Gamma: 0.7",7,16,0,986,98.41427155599604,0,40,
"Nu: 0.7, Gamma: 0.9",6,17,0,986,98.31516352824579,0,40,
"Nu: 0.7, Gamma: 0.99",7,16,0,986,98.41427155599604,0,40,
"Nu: 0.9, Gamma: 0.0001",6,17,0,986,98.31516352824579,0,40,
"Nu: 0.9, Gamma: 0.0002",6,17,0,986,98.31516352824579,0,40,
"Nu: 0.9, Gamma: 0.0003",6,17,0,986,98.31516352824579,0,40,
"Nu: 0.9, Gamma: 0.0004",6,17,0,986,98.31516352824579,0,40,
"Nu: 0.9, Gamma: 0.005",6,17,0,986,98.31516352824579,0,40,
"Nu: 0.9, Gamma: 0.05",5,18,0,986,98.21605550049554,0,40,
"Nu: 0.9, Gamma: 0.0625",3,20,0,986,98.01783944499505,0,40,
"Nu: 0.9, Gamma: 0.1",2,21,0,986,97.9187314172448,0,40,
"Nu: 0.9, Gamma: 0.2",3,20,0,986,98.01783944499505,0,40,
"Nu: 0.9, Gamma: 0.5",2,21,0,986,97.9187314172448,0,40,
"Nu: 0.9, Gamma: 0.7",2,21,0,986,97.9187314172448,0,40,
"Nu: 0.9, Gamma: 0.9",2,21,0,986,97.9187314172448,0,40,
"Nu: 0.9, Gamma: 0.99",2,21,0,986,97.9187314172448,0,40,
"Nu: 0.99, Gamma: 0.0001",18,5,1,985,99.40535183349851,0,40,
"Nu: 0.99, Gamma: 0.0002",18,5,1,985,99.40535183349851,0,40,
"Nu: 0.99, Gamma: 0.0003",18,5,1,985,99.40535183349851,0,40,
"Nu: 0.99, Gamma: 0.0004",17,6,0,986,99.40535183349851,0,40,
"Nu: 0.99, Gamma: 0.005",3,20,0,986,98.01783944499505,0,40,
"Nu: 0.99, Gamma: 0.05",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.99, Gamma: 0.0625",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.99, Gamma: 0.1",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.99, Gamma: 0.2",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.99, Gamma: 0.5",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.99, Gamma: 0.7",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.99, Gamma: 0.9",0,23,0,986,97.7205153617443,0,40,
"Nu: 0.99, Gamma: 0.99",0,23,0,986,97.7205153617443,0,40,
,,,,,,,,
Target Class: facesim_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0001, Gamma: 0.005",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0001, Gamma: 0.05",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0001, Gamma: 0.0625",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0001, Gamma: 0.1",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0001, Gamma: 0.2",97,2,219,11,32.82674772036474,0,40,
"Nu: 0.0001, Gamma: 0.5",96,3,219,11,32.52279635258359,0,40,
"Nu: 0.0001, Gamma: 0.7",97,2,216,14,33.73860182370821,0,40,
"Nu: 0.0001, Gamma: 0.9",93,6,194,36,39.209726443769,0,40,
"Nu: 0.0001, Gamma: 0.99",81,18,201,29,33.43465045592705,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,99,0,230,69.90881458966565,0,40,
