Features: 16,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.9, Gamma: 0.05",9,90,10,220,69.6048632218845,10,40,
"Nu: 0.9, Gamma: 0.0625",9,90,10,220,69.6048632218845,10,40,
"Nu: 0.9, Gamma: 0.1",11,88,10,220,70.2127659574468,10,40,
"Nu: 0.9, Gamma: 0.2",14,85,10,220,71.12462006079028,10,40,
"Nu: 0.9, Gamma: 0.5",40,59,1,229,81.7629179331307,10,40,
"Nu: 0.9, Gamma: 0.7",40,59,134,96,41.33738601823708,10,40,
"Nu: 0.9, Gamma: 0.9",40,59,138,92,40.121580547112465,10,40,
"Nu: 0.9, Gamma: 0.99",40,59,137,93,40.42553191489361,10,40,
"Nu: 0.99, Gamma: 0.0001",0,99,10,220,66.8693009118541,10,40,
"Nu: 0.99, Gamma: 0.0002",0,99,10,220,66.8693009118541,10,40,
"Nu: 0.99, Gamma: 0.0003",0,99,10,220,66.8693009118541,10,40,
"Nu: 0.99, Gamma: 0.0004",0,99,10,220,66.8693009118541,10,40,
"Nu: 0.99, Gamma: 0.005",0,99,10,220,66.8693009118541,10,40,
"Nu: 0.99, Gamma: 0.05",0,99,10,220,66.8693009118541,10,40,
"Nu: 0.99, Gamma: 0.0625",1,98,10,220,67.17325227963525,10,40,
"Nu: 0.99, Gamma: 0.1",1,98,10,220,67.17325227963525,10,40,
"Nu: 0.99, Gamma: 0.2",3,96,3,227,69.90881458966565,10,40,
"Nu: 0.99, Gamma: 0.5",28,71,0,230,78.419452887538,10,40,
"Nu: 0.99, Gamma: 0.7",30,69,0,230,79.0273556231003,10,40,
"Nu: 0.99, Gamma: 0.9",30,69,0,230,79.0273556231003,10,40,
"Nu: 0.99, Gamma: 0.99",31,68,0,230,79.33130699088146,10,40,
,,,,,,,,
