Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,152
"Nu: 0.2, Gamma: 0.0001",2,0,6,7,60,0,40,,,
"Nu: 0.2, Gamma: 0.0002",2,0,6,7,60,0,40,,,
"Nu: 0.2, Gamma: 0.0003",2,0,6,7,60,0,40,,,
"Nu: 0.2, Gamma: 0.0004",2,0,6,7,60,0,40,,,
"Nu: 0.2, Gamma: 0.005",2,0,9,4,40,0,40,,,
"Nu: 0.2, Gamma: 0.05",2,0,9,4,40,0,40,,,
"Nu: 0.2, Gamma: 0.0625",2,0,9,4,40,0,40,,,
"Nu: 0.2, Gamma: 0.1",2,0,9,4,40,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,0,7,6,53.33333333,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,0,9,4,40,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,0,9,4,40,0,40,,,
"Nu: 0.2, Gamma: 0.9",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,0,5,8,66.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,0,5,8,66.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,0,5,8,66.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,0,5,8,66.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,0,5,8,66.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,0,5,8,66.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,0,4,9,73.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,0,4,9,73.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,0,4,9,73.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,0,4,9,73.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,0,3,10,80,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,0,4,9,73.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,0,4,9,73.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.0001",2,0,3,10,80,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,0,1,12,93.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,0,1,12,93.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,0,1,12,93.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,0,3,10,80,0,40,,,
"Nu: 0.7, Gamma: 0.05",2,0,3,10,80,0,40,,,
"Nu: 0.7, Gamma: 0.0625",2,0,3,10,80,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,0,3,10,80,0,40,,,
"Nu: 0.7, Gamma: 0.2",2,0,1,12,93.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,0,1,12,93.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,0,2,11,86.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,1,2,11,80,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,1,2,11,80,0,40,,,
"Nu: 0.9, Gamma: 0.0001",2,0,3,10,80,0,40,,,
"Nu: 0.9, Gamma: 0.0002",2,0,3,10,80,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,2,1,12,80,0,40,,,
"Nu: 0.9, Gamma: 0.0004",2,0,1,12,93.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.005",2,0,1,12,93.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.05",2,0,1,12,93.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0625",2,0,0,13,100,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,0,0,13,100,0,40,,,
"Nu: 0.9, Gamma: 0.2",2,0,0,13,100,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,1,0,13,93.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.0001",2,0,7,6,53.33333333,0,40,,,
"Nu: 0.99, Gamma: 0.0002",2,0,1,12,93.33333333,0,40,,,
"Nu: 0.99, Gamma: 0.0003",2,0,1,12,93.33333333,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,2,0,13,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,2,0,13,86.66666667,0,40,,,
,,,,,,,,,,
Target Class: blackscholes_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.05",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.1",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.2",1,1,9,11,54.54545455,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.05",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.0002, Gamma: 0.1",2,0,14,6,36.36363636,0,40,,,
"Nu: 0.0002, Gamma: 0.2",1,1,9,11,54.54545455,0,40,,,
"Nu: 0.0002, Gamma: 0.5",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.7",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.9",0,2,1,19,86.36363636,0,40,,,
"Nu: 0.0002, Gamma: 0.99",0,2,1,19,86.36363636,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.05",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.0003, Gamma: 0.1",2,0,14,6,36.36363636,0,40,,,
"Nu: 0.0003, Gamma: 0.2",1,1,9,11,54.54545455,0,40,,,
"Nu: 0.0003, Gamma: 0.5",0,2,1,19,86.36363636,0,40,,,
"Nu: 0.0003, Gamma: 0.7",0,2,1,19,86.36363636,0,40,,,
"Nu: 0.0003, Gamma: 0.9",0,2,1,19,86.36363636,0,40,,,
"Nu: 0.0003, Gamma: 0.99",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.05",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.0004, Gamma: 0.1",2,0,14,6,36.36363636,0,40,,,
"Nu: 0.0004, Gamma: 0.2",1,1,9,11,54.54545455,0,40,,,
"Nu: 0.0004, Gamma: 0.5",0,2,1,19,86.36363636,0,40,,,
"Nu: 0.0004, Gamma: 0.7",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.0004, Gamma: 0.9",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.0004, Gamma: 0.99",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.005",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.005, Gamma: 0.05",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.005, Gamma: 0.0625",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.005, Gamma: 0.1",2,0,14,6,36.36363636,0,40,,,
"Nu: 0.005, Gamma: 0.2",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.005, Gamma: 0.5",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.005, Gamma: 0.7",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.005, Gamma: 0.9",1,1,12,8,40.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.99",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.05, Gamma: 0.0002",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.0003",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.0004",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.005",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.05",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.05, Gamma: 0.0625",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.05, Gamma: 0.1",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.2",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.05, Gamma: 0.5",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.7",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.9",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.99",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.005",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.05",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.1",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.2",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.0625, Gamma: 0.5",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.7",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.9",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.99",1,1,12,8,40.90909091,0,40,,,
"Nu: 0.1, Gamma: 0.0001",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.0002",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.0003",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.0004",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.005",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.05",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.0625",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.1",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.2",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.1, Gamma: 0.5",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.7",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.9",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.99",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.0001",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.2, Gamma: 0.0002",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.2, Gamma: 0.0003",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.2, Gamma: 0.0004",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.2, Gamma: 0.005",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.05",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.0625",2,0,18,2,18.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.1",2,0,16,4,27.27272727,0,40,,,
"Nu: 0.2, Gamma: 0.2",1,1,14,6,31.81818182,0,40,,,
"Nu: 0.2, Gamma: 0.5",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.7",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.9",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.99",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,0,11,9,50,0,40,,,
