Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.38709677,155
"Nu: 0.7, Gamma: 0.0002",5,14,15,16,42,0,40,,,
"Nu: 0.7, Gamma: 0.0003",5,14,13,18,46,0,40,,,
"Nu: 0.7, Gamma: 0.0004",5,14,15,16,42,0,40,,,
"Nu: 0.7, Gamma: 0.005",5,14,15,16,42,0,40,,,
"Nu: 0.7, Gamma: 0.05",5,14,14,17,44,0,40,,,
"Nu: 0.7, Gamma: 0.0625",5,14,14,17,44,0,40,,,
"Nu: 0.7, Gamma: 0.1",5,14,15,16,42,0,40,,,
"Nu: 0.7, Gamma: 0.2",4,15,15,16,40,0,40,,,
"Nu: 0.7, Gamma: 0.5",4,15,8,23,54,0,40,,,
"Nu: 0.7, Gamma: 0.7",3,16,5,26,58,0,40,,,
"Nu: 0.7, Gamma: 0.9",3,16,5,26,58,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,17,5,26,56,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,18,2,29,60,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,18,2,29,60,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,18,2,29,60,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,18,2,29,60,0,40,,,
"Nu: 0.9, Gamma: 0.005",2,17,3,28,60,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,18,2,29,60,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,18,1,30,62,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,19,0,31,62,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,19,0,31,62,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,19,0,31,62,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,19,0,31,62,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,19,0,31,62,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,19,0,31,62,0,40,,,
"Nu: 0.99, Gamma: 0.0001",3,16,8,23,52,0,40,,,
"Nu: 0.99, Gamma: 0.0002",1,18,0,31,64,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,19,0,31,62,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,19,0,31,62,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,19,0,31,62,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,19,0,31,62,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,19,0,31,62,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,19,0,31,62,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,19,0,31,62,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,19,0,31,62,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,19,0,31,62,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,19,0,31,62,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,19,0,31,62,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,182,97.84946237,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,182,97.84946237,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,182,97.84946237,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,182,97.84946237,10,40,,,
"Nu: 0.0001, Gamma: 0.005",4,0,179,3,3.76344086,10,40,,,
