Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,95.19840551,131
"Nu: 0.7, Gamma: 0.005",153,349,131,4886,91.30277224,0,40,,,
"Nu: 0.7, Gamma: 0.05",156,346,57,4960,92.69795253,0,40,,,
"Nu: 0.7, Gamma: 0.0625",157,345,51,4966,92.8247871,0,40,,,
"Nu: 0.7, Gamma: 0.1",157,345,23,4994,93.33212539,0,40,,,
"Nu: 0.7, Gamma: 0.2",135,367,6,5011,93.24152926,0,40,,,
"Nu: 0.7, Gamma: 0.5",144,358,0,5017,93.51331763,0,40,,,
"Nu: 0.7, Gamma: 0.7",143,359,0,5017,93.49519841,0,40,,,
"Nu: 0.7, Gamma: 0.9",148,354,0,5017,93.58579453,0,40,,,
"Nu: 0.7, Gamma: 0.99",144,358,0,5017,93.51331763,0,40,,,
"Nu: 0.9, Gamma: 0.0001",426,76,4291,726,20.87334662,0,40,,,
"Nu: 0.9, Gamma: 0.0002",474,28,4596,421,16.21670592,0,40,,,
"Nu: 0.9, Gamma: 0.0003",455,47,4464,553,18.26417829,0,40,,,
"Nu: 0.9, Gamma: 0.0004",470,32,4540,477,17.1589056,0,40,,,
"Nu: 0.9, Gamma: 0.005",8,494,0,5017,91.0491031,0,40,,,
"Nu: 0.9, Gamma: 0.05",28,474,0,5017,91.41148759,0,40,,,
"Nu: 0.9, Gamma: 0.0625",33,469,0,5017,91.50208371,0,40,,,
"Nu: 0.9, Gamma: 0.1",44,458,0,5017,91.70139518,0,40,,,
"Nu: 0.9, Gamma: 0.2",46,456,0,5017,91.73763363,0,40,,,
"Nu: 0.9, Gamma: 0.5",54,448,0,5017,91.88258743,0,40,,,
"Nu: 0.9, Gamma: 0.7",50,452,0,5017,91.81011053,0,40,,,
"Nu: 0.9, Gamma: 0.9",54,448,0,5017,91.88258743,0,40,,,
"Nu: 0.9, Gamma: 0.99",51,451,0,5017,91.82822975,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,502,0,5017,90.9041493,0,40,,,
"Nu: 0.99, Gamma: 0.0002",482,20,4674,343,14.94836021,0,40,,,
"Nu: 0.99, Gamma: 0.0003",432,70,4340,677,20.09421997,0,40,,,
"Nu: 0.99, Gamma: 0.0004",423,79,4184,833,22.75774597,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,502,0,5017,90.9041493,0,40,,,
"Nu: 0.99, Gamma: 0.05",8,494,0,5017,91.0491031,0,40,,,
"Nu: 0.99, Gamma: 0.0625",9,493,0,5017,91.06722232,0,40,,,
"Nu: 0.99, Gamma: 0.1",6,496,0,5017,91.01286465,0,40,,,
"Nu: 0.99, Gamma: 0.2",4,498,0,5017,90.9766262,0,40,,,
"Nu: 0.99, Gamma: 0.5",3,499,0,5017,90.95850698,0,40,,,
"Nu: 0.99, Gamma: 0.7",2,500,0,5017,90.94038775,0,40,,,
"Nu: 0.99, Gamma: 0.9",4,498,0,5017,90.9766262,0,40,,,
"Nu: 0.99, Gamma: 0.99",5,497,0,5017,90.99474542,0,40,,,
,,,,,,,,,,
Target Class: x264_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",353,149,1744,3272,65.69409206,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",351,151,1730,3286,65.91156216,0,40,,,
"Nu: 0.0001, Gamma: 0.005",353,149,1739,3277,65.7847046,0,40,,,
"Nu: 0.0001, Gamma: 0.05",352,150,1733,3283,65.87531714,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",352,150,1731,3285,65.91156216,0,40,,,
"Nu: 0.0001, Gamma: 0.1",352,150,1721,3295,66.09278724,0,40,,,
"Nu: 0.0001, Gamma: 0.2",500,2,5008,8,9.206234143,0,40,,,
"Nu: 0.0001, Gamma: 0.5",500,2,4739,277,14.08118884,0,40,,,
"Nu: 0.0001, Gamma: 0.7",500,2,5003,13,9.296846684,0,40,,,
"Nu: 0.0001, Gamma: 0.9",499,3,5002,14,9.296846684,0,40,,,
"Nu: 0.0001, Gamma: 0.99",499,3,5002,14,9.296846684,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",355,147,1754,3262,65.549112,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",353,149,1744,3272,65.69409206,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",351,151,1730,3286,65.91156216,0,40,,,
"Nu: 0.0002, Gamma: 0.005",353,149,1739,3277,65.7847046,0,40,,,
"Nu: 0.0002, Gamma: 0.05",352,150,1733,3283,65.87531714,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",501,1,5014,2,9.115621602,0,40,,,
"Nu: 0.0002, Gamma: 0.1",501,1,5012,4,9.151866618,0,40,,,
"Nu: 0.0002, Gamma: 0.2",500,2,5008,8,9.206234143,0,40,,,
"Nu: 0.0002, Gamma: 0.5",500,2,5006,10,9.242479159,0,40,,,
"Nu: 0.0002, Gamma: 0.7",500,2,5003,13,9.296846684,0,40,,,
"Nu: 0.0002, Gamma: 0.9",499,3,5002,14,9.296846684,0,40,,,
"Nu: 0.0002, Gamma: 0.99",499,3,5002,14,9.296846684,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",364,138,1823,3193,64.46176151,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",362,140,1807,3209,64.71547662,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",360,142,1791,3225,64.96919174,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",359,143,1783,3233,65.09604929,0,40,,,
"Nu: 0.0003, Gamma: 0.005",360,142,1792,3224,64.95106923,0,40,,,
"Nu: 0.0003, Gamma: 0.05",501,1,5014,2,9.115621602,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",501,1,5014,2,9.115621602,0,40,,,
"Nu: 0.0003, Gamma: 0.1",501,1,5012,4,9.151866618,0,40,,,
"Nu: 0.0003, Gamma: 0.2",500,2,5008,8,9.206234143,0,40,,,
"Nu: 0.0003, Gamma: 0.5",500,2,5006,10,9.242479159,0,40,,,
"Nu: 0.0003, Gamma: 0.7",500,2,5004,12,9.278724175,0,40,,,
"Nu: 0.0003, Gamma: 0.9",499,3,5002,14,9.296846684,0,40,,,
"Nu: 0.0003, Gamma: 0.99",499,3,5002,14,9.296846684,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",364,138,1824,3192,64.443639,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",362,140,1806,3210,64.73359913,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",360,142,1791,3225,64.96919174,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",359,143,1784,3232,65.07792679,0,40,,,
"Nu: 0.0004, Gamma: 0.005",360,142,1791,3225,64.96919174,0,40,,,
"Nu: 0.0004, Gamma: 0.05",501,1,5014,2,9.115621602,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",501,1,5014,2,9.115621602,0,40,,,
"Nu: 0.0004, Gamma: 0.1",501,1,5012,4,9.151866618,0,40,,,
"Nu: 0.0004, Gamma: 0.2",500,2,5008,8,9.206234143,0,40,,,
"Nu: 0.0004, Gamma: 0.5",500,2,5006,10,9.242479159,0,40,,,
"Nu: 0.0004, Gamma: 0.7",500,2,5003,13,9.296846684,0,40,,,
"Nu: 0.0004, Gamma: 0.9",499,3,5002,14,9.296846684,0,40,,,
"Nu: 0.0004, Gamma: 0.99",499,3,5002,14,9.296846684,0,40,,,
"Nu: 0.005, Gamma: 0.0001",235,267,1249,3767,72.52627764,0,40,,,
"Nu: 0.005, Gamma: 0.0002",239,263,1244,3772,72.68938021,0,40,,,
"Nu: 0.005, Gamma: 0.0003",239,263,1242,3774,72.72562523,0,40,,,
"Nu: 0.005, Gamma: 0.0004",239,263,1242,3774,72.72562523,0,40,,,
"Nu: 0.005, Gamma: 0.005",239,263,1242,3774,72.72562523,0,40,,,
"Nu: 0.005, Gamma: 0.05",498,4,3499,1517,36.51685393,0,40,,,
"Nu: 0.005, Gamma: 0.0625",498,4,3491,1525,36.661834,0,40,,,
"Nu: 0.005, Gamma: 0.1",498,4,3513,1503,36.26313882,0,40,,,
"Nu: 0.005, Gamma: 0.2",499,3,3637,1379,34.03407032,0,40,,,
"Nu: 0.005, Gamma: 0.5",499,3,3113,1903,43.53026459,0,40,,,
"Nu: 0.005, Gamma: 0.7",498,4,2946,2070,46.53860094,0,40,,,
"Nu: 0.005, Gamma: 0.9",497,5,2542,2474,53.84197173,0,40,,,
"Nu: 0.005, Gamma: 0.99",497,5,2402,2614,56.37912287,0,40,,,
"Nu: 0.05, Gamma: 0.0001",357,145,1441,3575,71.25770207,0,40,,,
"Nu: 0.05, Gamma: 0.0002",368,134,1488,3528,70.60529177,0,40,,,
"Nu: 0.05, Gamma: 0.0003",368,134,1496,3520,70.46031171,0,40,,,
"Nu: 0.05, Gamma: 0.0004",368,134,1501,3515,70.36969917,0,40,,,
"Nu: 0.05, Gamma: 0.005",382,120,1583,3433,69.13736861,0,40,,,
"Nu: 0.05, Gamma: 0.05",457,45,2039,2977,62.232693,0,40,,,
"Nu: 0.05, Gamma: 0.0625",448,54,1916,3100,64.29865893,0,40,,,
"Nu: 0.05, Gamma: 0.1",447,55,1789,3227,66.58209496,0,40,,,
"Nu: 0.05, Gamma: 0.2",473,29,1752,3264,67.72381298,0,40,,,
"Nu: 0.05, Gamma: 0.5",470,32,680,4336,87.09677419,0,40,,,
"Nu: 0.05, Gamma: 0.7",467,35,404,4612,92.04421892,0,40,,,
"Nu: 0.05, Gamma: 0.9",475,27,393,4623,92.38854657,0,40,,,
"Nu: 0.05, Gamma: 0.99",474,28,390,4626,92.42479159,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",247,255,1031,3985,76.69445451,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",264,238,1077,3939,76.16890178,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",266,236,1074,3942,76.25951432,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",270,232,1094,3922,75.96955419,0,40,,,
"Nu: 0.0625, Gamma: 0.005",466,36,2154,2862,60.31170714,0,40,,,
"Nu: 0.0625, Gamma: 0.05",442,60,1800,3216,66.29213483,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",467,35,1983,3033,63.42877854,0,40,,,
"Nu: 0.0625, Gamma: 0.1",448,54,1683,3333,68.52120333,0,40,,,
"Nu: 0.0625, Gamma: 0.2",446,56,1260,3756,76.15077927,0,40,,,
"Nu: 0.0625, Gamma: 0.5",462,40,442,4574,91.26495107,0,40,,,
"Nu: 0.0625, Gamma: 0.7",468,34,379,4637,92.51540413,0,40,,,
"Nu: 0.0625, Gamma: 0.9",468,34,386,4630,92.38854657,0,40,,,
"Nu: 0.0625, Gamma: 0.99",468,34,406,4610,92.02609641,0,40,,,
