Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.54098361,28
"Nu: 0.2, Gamma: 0.1",4,0,67,51,45.08196721,0,40,,,
"Nu: 0.2, Gamma: 0.2",4,0,70,48,42.62295082,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,2,61,57,48.36065574,0,40,,,
"Nu: 0.2, Gamma: 0.7",1,3,49,69,57.37704918,0,40,,,
"Nu: 0.2, Gamma: 0.9",1,3,45,73,60.6557377,0,40,,,
"Nu: 0.2, Gamma: 0.99",1,3,44,74,61.47540984,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,1,33,85,72.13114754,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,1,33,85,72.13114754,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,1,33,85,72.13114754,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,1,34,84,71.31147541,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,1,34,84,71.31147541,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,1,35,83,70.49180328,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,1,34,84,71.31147541,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,1,33,85,72.13114754,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,1,25,93,78.68852459,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,40,78,65.57377049,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,3,36,82,68.03278689,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,3,39,79,65.57377049,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,3,35,83,68.85245902,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,8,110,90.98360656,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,3,11,107,88.52459016,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,3,11,107,88.52459016,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,3,11,107,88.52459016,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,2,13,105,87.70491803,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,11,107,88.52459016,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,11,107,88.52459016,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,2,12,106,88.52459016,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,11,107,88.52459016,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,13,105,86.8852459,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,3,12,106,87.70491803,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,16,102,84.42622951,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,16,102,84.42622951,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,3,13,105,86.8852459,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,6,112,91.80327869,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,6,112,91.80327869,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,6,112,91.80327869,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,4,114,93.44262295,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,5,113,92.62295082,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,5,113,92.62295082,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,5,113,92.62295082,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,7,111,90.98360656,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,3,3,115,95.08196721,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,3,2,116,95.90163934,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,3,0,118,97.54098361,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,3,0,118,97.54098361,0,40,,,
"Nu: 0.99, Gamma: 0.0001",1,3,12,106,87.70491803,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,3,115,94.26229508,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,3,115,94.26229508,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,3,115,94.26229508,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,3,115,94.26229508,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,3,115,94.26229508,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,3,115,94.26229508,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,3,115,94.26229508,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,2,116,95.08196721,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,1,117,95.90163934,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,118,96.72131148,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,118,96.72131148,0,40,,,
,,,,,,,,,,
Target Class: ferret_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,36,75,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,36,75,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,36,75,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,36,75,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,36,75,0,40,,,
"Nu: 0.0001, Gamma: 0.05",7,5,32,4,22.91666667,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",7,5,31,5,25,0,40,,,
"Nu: 0.0001, Gamma: 0.1",7,5,28,8,31.25,0,40,,,
"Nu: 0.0001, Gamma: 0.2",0,12,0,36,75,0,40,,,
"Nu: 0.0001, Gamma: 0.5",2,10,1,35,77.08333333,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2,10,2,34,75,0,40,,,
"Nu: 0.0001, Gamma: 0.9",8,4,3,33,85.41666667,0,40,,,
"Nu: 0.0001, Gamma: 0.99",11,1,4,32,89.58333333,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,36,75,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,36,75,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,36,75,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,36,75,0,40,,,
"Nu: 0.0002, Gamma: 0.005",7,5,34,2,18.75,0,40,,,
"Nu: 0.0002, Gamma: 0.05",7,5,32,4,22.91666667,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",7,5,31,5,25,0,40,,,
"Nu: 0.0002, Gamma: 0.1",7,5,28,8,31.25,0,40,,,
"Nu: 0.0002, Gamma: 0.2",7,5,11,25,66.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.5",12,0,8,28,83.33333333,0,40,,,
"Nu: 0.0002, Gamma: 0.7",8,4,7,29,77.08333333,0,40,,,
"Nu: 0.0002, Gamma: 0.9",5,7,1,35,83.33333333,0,40,,,
"Nu: 0.0002, Gamma: 0.99",3,9,0,36,81.25,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,36,75,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,36,75,0,40,,,
