Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.78601997,103
"Nu: 0.0002, Gamma: 0.7",9,3,59,1331,95.57774608,0,40,,,
"Nu: 0.0002, Gamma: 0.9",11,1,46,1344,96.64764622,0,40,,,
"Nu: 0.0002, Gamma: 0.99",11,1,46,1344,96.64764622,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.0003, Gamma: 0.1",12,0,1389,1,0.92724679,0,40,,,
"Nu: 0.0003, Gamma: 0.2",12,0,174,1216,87.58915835,0,40,,,
"Nu: 0.0003, Gamma: 0.5",11,1,67,1323,95.14978602,0,40,,,
"Nu: 0.0003, Gamma: 0.7",9,3,59,1331,95.57774608,0,40,,,
"Nu: 0.0003, Gamma: 0.9",12,0,32,1358,97.71754636,0,40,,,
"Nu: 0.0003, Gamma: 0.99",12,0,39,1351,97.21825963,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0004, Gamma: 0.005",9,3,1331,59,4.85021398,0,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.0004, Gamma: 0.1",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.0004, Gamma: 0.2",12,0,174,1216,87.58915835,0,40,,,
"Nu: 0.0004, Gamma: 0.5",12,0,61,1329,95.64907275,0,40,,,
"Nu: 0.0004, Gamma: 0.7",11,1,60,1330,95.64907275,0,40,,,
"Nu: 0.0004, Gamma: 0.9",12,0,50,1340,96.43366619,0,40,,,
"Nu: 0.0004, Gamma: 0.99",12,0,39,1351,97.21825963,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.005, Gamma: 0.2",12,0,313,1077,77.67475036,0,40,,,
"Nu: 0.005, Gamma: 0.5",12,0,60,1330,95.72039943,0,40,,,
"Nu: 0.005, Gamma: 0.7",12,0,61,1329,95.64907275,0,40,,,
"Nu: 0.005, Gamma: 0.9",12,0,53,1337,96.21968616,0,40,,,
"Nu: 0.005, Gamma: 0.99",11,1,52,1338,96.21968616,0,40,,,
"Nu: 0.05, Gamma: 0.0001",11,1,1382,8,1.355206847,0,40,,,
"Nu: 0.05, Gamma: 0.0002",11,1,1382,8,1.355206847,0,40,,,
"Nu: 0.05, Gamma: 0.0003",11,1,1382,8,1.355206847,0,40,,,
"Nu: 0.05, Gamma: 0.0004",11,1,1382,8,1.355206847,0,40,,,
"Nu: 0.05, Gamma: 0.005",11,1,1382,8,1.355206847,0,40,,,
"Nu: 0.05, Gamma: 0.05",11,1,1379,11,1.569186876,0,40,,,
"Nu: 0.05, Gamma: 0.0625",11,1,1377,13,1.711840228,0,40,,,
"Nu: 0.05, Gamma: 0.1",11,1,1372,18,2.068473609,0,40,,,
"Nu: 0.05, Gamma: 0.2",10,2,390,1000,72.03994294,0,40,,,
"Nu: 0.05, Gamma: 0.5",11,1,26,1364,98.07417974,0,40,,,
"Nu: 0.05, Gamma: 0.7",11,1,25,1365,98.14550642,0,40,,,
"Nu: 0.05, Gamma: 0.9",11,1,37,1353,97.28958631,0,40,,,
"Nu: 0.05, Gamma: 0.99",11,1,44,1346,96.79029957,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",11,1,1351,39,3.566333809,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",11,1,1351,39,3.566333809,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",11,1,1351,39,3.566333809,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",11,1,1351,39,3.566333809,0,40,,,
"Nu: 0.0625, Gamma: 0.005",11,1,1350,40,3.637660485,0,40,,,
"Nu: 0.0625, Gamma: 0.05",10,2,1341,49,4.208273894,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",10,2,1338,52,4.422253923,0,40,,,
"Nu: 0.0625, Gamma: 0.1",10,2,1324,66,5.420827389,0,40,,,
"Nu: 0.0625, Gamma: 0.2",10,2,744,646,46.79029957,0,40,,,
"Nu: 0.0625, Gamma: 0.5",11,1,23,1367,98.28815977,0,40,,,
"Nu: 0.0625, Gamma: 0.7",11,1,25,1365,98.14550642,0,40,,,
"Nu: 0.0625, Gamma: 0.9",11,1,20,1370,98.5021398,0,40,,,
"Nu: 0.0625, Gamma: 0.99",10,2,19,1371,98.5021398,0,40,,,
"Nu: 0.1, Gamma: 0.0001",10,2,1339,51,4.350927247,0,40,,,
"Nu: 0.1, Gamma: 0.0002",10,2,1339,51,4.350927247,0,40,,,
"Nu: 0.1, Gamma: 0.0003",10,2,1296,94,7.417974322,0,40,,,
"Nu: 0.1, Gamma: 0.0004",10,2,1296,94,7.417974322,0,40,,,
"Nu: 0.1, Gamma: 0.005",10,2,1296,94,7.417974322,0,40,,,
"Nu: 0.1, Gamma: 0.05",10,2,1284,106,8.273894437,0,40,,,
"Nu: 0.1, Gamma: 0.0625",10,2,1277,113,8.77318117,0,40,,,
"Nu: 0.1, Gamma: 0.1",10,2,1246,144,10.98430813,0,40,,,
"Nu: 0.1, Gamma: 0.2",10,2,370,1020,73.46647646,0,40,,,
"Nu: 0.1, Gamma: 0.5",10,2,1,1389,99.78601997,0,40,,,
"Nu: 0.1, Gamma: 0.7",10,2,20,1370,98.43081312,0,40,,,
"Nu: 0.1, Gamma: 0.9",10,2,21,1369,98.35948645,0,40,,,
"Nu: 0.1, Gamma: 0.99",10,2,21,1369,98.35948645,0,40,,,
"Nu: 0.2, Gamma: 0.0001",10,2,1069,321,23.60912981,0,40,,,
"Nu: 0.2, Gamma: 0.0002",10,2,1069,321,23.60912981,0,40,,,
"Nu: 0.2, Gamma: 0.0003",8,4,849,541,39.15834522,0,40,,,
"Nu: 0.2, Gamma: 0.0004",8,4,849,541,39.15834522,0,40,,,
"Nu: 0.2, Gamma: 0.005",10,2,970,420,30.67047076,0,40,,,
"Nu: 0.2, Gamma: 0.05",10,2,802,588,42.65335235,0,40,,,
"Nu: 0.2, Gamma: 0.0625",10,2,780,610,44.22253923,0,40,,,
"Nu: 0.2, Gamma: 0.1",10,2,659,731,52.85306705,0,40,,,
"Nu: 0.2, Gamma: 0.2",10,2,44,1346,96.7189729,0,40,,,
"Nu: 0.2, Gamma: 0.5",9,3,0,1390,99.78601997,0,40,,,
"Nu: 0.2, Gamma: 0.7",9,3,0,1390,99.78601997,0,40,,,
"Nu: 0.2, Gamma: 0.9",9,3,0,1390,99.78601997,0,40,,,
"Nu: 0.2, Gamma: 0.99",9,3,0,1390,99.78601997,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,9,0,1390,99.35805991,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,9,0,1390,99.35805991,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,9,0,1390,99.35805991,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,9,0,1390,99.35805991,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,9,0,1390,99.35805991,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,9,0,1390,99.35805991,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,9,0,1390,99.35805991,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,9,0,1390,99.35805991,0,40,,,
"Nu: 0.5, Gamma: 0.2",4,8,0,1390,99.42938659,0,40,,,
"Nu: 0.5, Gamma: 0.5",3,9,0,1390,99.35805991,0,40,,,
"Nu: 0.5, Gamma: 0.7",3,9,0,1390,99.35805991,0,40,,,
"Nu: 0.5, Gamma: 0.9",4,8,0,1390,99.42938659,0,40,,,
"Nu: 0.5, Gamma: 0.99",5,7,0,1390,99.50071327,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,11,0,1390,99.21540656,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,11,0,1390,99.21540656,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,11,0,1390,99.21540656,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,11,0,1390,99.21540656,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,11,0,1390,99.21540656,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,11,0,1390,99.21540656,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,11,0,1390,99.21540656,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,11,0,1390,99.21540656,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,11,0,1390,99.21540656,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,11,0,1390,99.21540656,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,11,0,1390,99.21540656,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,11,0,1390,99.21540656,0,40,,,
"Nu: 0.9, Gamma: 0.0001",2,10,0,1390,99.28673324,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,1390,99.14407989,0,40,,,
,,,,,,,,,,
Target Class: streamcluster_dropped,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0001, Gamma: 0.005",139,0,102,14,60,0,40,,,
"Nu: 0.0001, Gamma: 0.05",139,0,103,13,59.60784314,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",139,0,103,13,59.60784314,0,40,,,
"Nu: 0.0001, Gamma: 0.1",139,0,102,14,60,0,40,,,
"Nu: 0.0001, Gamma: 0.2",138,1,81,35,67.84313725,0,40,,,
"Nu: 0.0001, Gamma: 0.5",136,3,15,101,92.94117647,0,40,,,
"Nu: 0.0001, Gamma: 0.7",135,4,12,104,93.7254902,0,40,,,
"Nu: 0.0001, Gamma: 0.9",135,4,8,108,95.29411765,0,40,,,
"Nu: 0.0001, Gamma: 0.99",135,4,9,107,94.90196078,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0002, Gamma: 0.005",139,0,102,14,60,0,40,,,
"Nu: 0.0002, Gamma: 0.05",139,0,103,13,59.60784314,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",139,0,103,13,59.60784314,0,40,,,
"Nu: 0.0002, Gamma: 0.1",139,0,101,15,60.39215686,0,40,,,
"Nu: 0.0002, Gamma: 0.2",138,1,80,36,68.23529412,0,40,,,
"Nu: 0.0002, Gamma: 0.5",136,3,14,102,93.33333333,0,40,,,
"Nu: 0.0002, Gamma: 0.7",135,4,9,107,94.90196078,0,40,,,
"Nu: 0.0002, Gamma: 0.9",135,4,8,108,95.29411765,0,40,,,
"Nu: 0.0002, Gamma: 0.99",135,4,9,107,94.90196078,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0003, Gamma: 0.005",139,0,103,13,59.60784314,0,40,,,
"Nu: 0.0003, Gamma: 0.05",139,0,103,13,59.60784314,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",139,0,103,13,59.60784314,0,40,,,
"Nu: 0.0003, Gamma: 0.1",139,0,101,15,60.39215686,0,40,,,
"Nu: 0.0003, Gamma: 0.2",138,1,80,36,68.23529412,0,40,,,
"Nu: 0.0003, Gamma: 0.5",136,3,14,102,93.33333333,0,40,,,
"Nu: 0.0003, Gamma: 0.7",135,4,11,105,94.11764706,0,40,,,
"Nu: 0.0003, Gamma: 0.9",135,4,8,108,95.29411765,0,40,,,
"Nu: 0.0003, Gamma: 0.99",135,4,8,108,95.29411765,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.0004, Gamma: 0.005",139,0,103,13,59.60784314,0,40,,,
"Nu: 0.0004, Gamma: 0.05",139,0,103,13,59.60784314,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",139,0,102,14,60,0,40,,,
"Nu: 0.0004, Gamma: 0.1",139,0,101,15,60.39215686,0,40,,,
"Nu: 0.0004, Gamma: 0.2",138,1,80,36,68.23529412,0,40,,,
"Nu: 0.0004, Gamma: 0.5",136,3,14,102,93.33333333,0,40,,,
"Nu: 0.0004, Gamma: 0.7",135,4,11,105,94.11764706,0,40,,,
"Nu: 0.0004, Gamma: 0.9",135,4,8,108,95.29411765,0,40,,,
"Nu: 0.0004, Gamma: 0.99",135,4,8,108,95.29411765,0,40,,,
"Nu: 0.005, Gamma: 0.0001",139,0,102,14,60,0,40,,,
"Nu: 0.005, Gamma: 0.0002",139,0,102,14,60,0,40,,,
"Nu: 0.005, Gamma: 0.0003",139,0,102,14,60,0,40,,,
"Nu: 0.005, Gamma: 0.0004",139,0,102,14,60,0,40,,,
"Nu: 0.005, Gamma: 0.005",139,0,100,16,60.78431373,0,40,,,
"Nu: 0.005, Gamma: 0.05",139,0,99,17,61.17647059,0,40,,,
"Nu: 0.005, Gamma: 0.0625",139,0,99,17,61.17647059,0,40,,,
"Nu: 0.005, Gamma: 0.1",139,0,99,17,61.17647059,0,40,,,
"Nu: 0.005, Gamma: 0.2",138,1,77,39,69.41176471,0,40,,,
"Nu: 0.005, Gamma: 0.5",135,4,15,101,92.54901961,0,40,,,
"Nu: 0.005, Gamma: 0.7",135,4,11,105,94.11764706,0,40,,,
"Nu: 0.005, Gamma: 0.9",135,4,7,109,95.68627451,0,40,,,
"Nu: 0.005, Gamma: 0.99",135,4,8,108,95.29411765,0,40,,,
"Nu: 0.05, Gamma: 0.0001",137,2,53,63,78.43137255,0,40,,,
"Nu: 0.05, Gamma: 0.0002",137,2,53,63,78.43137255,0,40,,,
"Nu: 0.05, Gamma: 0.0003",137,2,53,63,78.43137255,0,40,,,
"Nu: 0.05, Gamma: 0.0004",137,2,53,63,78.43137255,0,40,,,
"Nu: 0.05, Gamma: 0.005",136,3,53,63,78.03921569,0,40,,,
"Nu: 0.05, Gamma: 0.05",135,4,44,72,81.17647059,0,40,,,
"Nu: 0.05, Gamma: 0.0625",135,4,43,73,81.56862745,0,40,,,
"Nu: 0.05, Gamma: 0.1",136,3,40,76,83.1372549,0,40,,,
"Nu: 0.05, Gamma: 0.2",136,3,25,91,89.01960784,0,40,,,
"Nu: 0.05, Gamma: 0.5",134,5,8,108,94.90196078,0,40,,,
"Nu: 0.05, Gamma: 0.7",133,6,1,115,97.25490196,0,40,,,
"Nu: 0.05, Gamma: 0.9",133,6,1,115,97.25490196,0,40,,,
"Nu: 0.05, Gamma: 0.99",133,6,1,115,97.25490196,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",132,7,34,82,83.92156863,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",132,7,34,82,83.92156863,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",132,7,34,82,83.92156863,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",132,7,34,82,83.92156863,0,40,,,
"Nu: 0.0625, Gamma: 0.005",132,7,33,83,84.31372549,0,40,,,
"Nu: 0.0625, Gamma: 0.05",132,7,29,87,85.88235294,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",132,7,29,87,85.88235294,0,40,,,
"Nu: 0.0625, Gamma: 0.1",132,7,26,90,87.05882353,0,40,,,
"Nu: 0.0625, Gamma: 0.2",131,8,19,97,89.41176471,0,40,,,
"Nu: 0.0625, Gamma: 0.5",133,6,6,110,95.29411765,0,40,,,
"Nu: 0.0625, Gamma: 0.7",132,7,1,115,96.8627451,0,40,,,
"Nu: 0.0625, Gamma: 0.9",133,6,1,115,97.25490196,0,40,,,
"Nu: 0.0625, Gamma: 0.99",133,6,1,115,97.25490196,0,40,,,
"Nu: 0.1, Gamma: 0.0001",127,12,16,100,89.01960784,0,40,,,
"Nu: 0.1, Gamma: 0.0002",127,12,16,100,89.01960784,0,40,,,
"Nu: 0.1, Gamma: 0.0003",127,12,16,100,89.01960784,0,40,,,
"Nu: 0.1, Gamma: 0.0004",127,12,16,100,89.01960784,0,40,,,
"Nu: 0.1, Gamma: 0.005",126,13,15,101,89.01960784,0,40,,,
"Nu: 0.1, Gamma: 0.05",126,13,15,101,89.01960784,0,40,,,
"Nu: 0.1, Gamma: 0.0625",126,13,14,102,89.41176471,0,40,,,
"Nu: 0.1, Gamma: 0.1",126,13,14,102,89.41176471,0,40,,,
"Nu: 0.1, Gamma: 0.2",126,13,12,104,90.19607843,0,40,,,
"Nu: 0.1, Gamma: 0.5",126,13,1,115,94.50980392,0,40,,,
"Nu: 0.1, Gamma: 0.7",127,12,1,115,94.90196078,0,40,,,
"Nu: 0.1, Gamma: 0.9",126,13,1,115,94.50980392,0,40,,,
"Nu: 0.1, Gamma: 0.99",126,13,1,115,94.50980392,0,40,,,
"Nu: 0.2, Gamma: 0.0001",107,32,0,116,87.45098039,0,40,,,
"Nu: 0.2, Gamma: 0.0002",110,29,0,116,88.62745098,0,40,,,
"Nu: 0.2, Gamma: 0.0003",110,29,0,116,88.62745098,0,40,,,
"Nu: 0.2, Gamma: 0.0004",112,27,0,116,89.41176471,0,40,,,
"Nu: 0.2, Gamma: 0.005",110,29,0,116,88.62745098,0,40,,,
"Nu: 0.2, Gamma: 0.05",112,27,0,116,89.41176471,0,40,,,
"Nu: 0.2, Gamma: 0.0625",112,27,0,116,89.41176471,0,40,,,
"Nu: 0.2, Gamma: 0.1",112,27,0,116,89.41176471,0,40,,,
"Nu: 0.2, Gamma: 0.2",112,27,0,116,89.41176471,0,40,,,
"Nu: 0.2, Gamma: 0.5",112,27,0,116,89.41176471,0,40,,,
"Nu: 0.2, Gamma: 0.7",113,26,0,116,89.80392157,0,40,,,
"Nu: 0.2, Gamma: 0.9",112,27,0,116,89.41176471,0,40,,,
"Nu: 0.2, Gamma: 0.99",111,28,0,116,89.01960784,0,40,,,
"Nu: 0.5, Gamma: 0.0001",71,68,0,116,73.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.0002",70,69,0,116,72.94117647,0,40,,,
"Nu: 0.5, Gamma: 0.0003",70,69,0,116,72.94117647,0,40,,,
"Nu: 0.5, Gamma: 0.0004",70,69,0,116,72.94117647,0,40,,,
"Nu: 0.5, Gamma: 0.005",70,69,0,116,72.94117647,0,40,,,
"Nu: 0.5, Gamma: 0.05",70,69,0,116,72.94117647,0,40,,,
"Nu: 0.5, Gamma: 0.0625",70,69,0,116,72.94117647,0,40,,,
"Nu: 0.5, Gamma: 0.1",70,69,0,116,72.94117647,0,40,,,
"Nu: 0.5, Gamma: 0.2",71,68,0,116,73.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.5",71,68,0,116,73.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.7",72,67,0,116,73.7254902,0,40,,,
"Nu: 0.5, Gamma: 0.9",72,67,0,116,73.7254902,0,40,,,
"Nu: 0.5, Gamma: 0.99",71,68,0,116,73.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.0001",41,98,0,116,61.56862745,0,40,,,
"Nu: 0.7, Gamma: 0.0002",44,95,0,116,62.74509804,0,40,,,
"Nu: 0.7, Gamma: 0.0003",42,97,0,116,61.96078431,0,40,,,
"Nu: 0.7, Gamma: 0.0004",43,96,0,116,62.35294118,0,40,,,
"Nu: 0.7, Gamma: 0.005",43,96,0,116,62.35294118,0,40,,,
"Nu: 0.7, Gamma: 0.05",43,96,0,116,62.35294118,0,40,,,
"Nu: 0.7, Gamma: 0.0625",43,96,0,116,62.35294118,0,40,,,
"Nu: 0.7, Gamma: 0.1",43,96,0,116,62.35294118,0,40,,,
"Nu: 0.7, Gamma: 0.2",43,96,0,116,62.35294118,0,40,,,
"Nu: 0.7, Gamma: 0.5",44,95,0,116,62.74509804,0,40,,,
"Nu: 0.7, Gamma: 0.7",45,94,0,116,63.1372549,0,40,,,
"Nu: 0.7, Gamma: 0.9",45,94,0,116,63.1372549,0,40,,,
"Nu: 0.7, Gamma: 0.99",45,94,0,116,63.1372549,0,40,,,
"Nu: 0.9, Gamma: 0.0001",16,123,0,116,51.76470588,0,40,,,
"Nu: 0.9, Gamma: 0.0002",18,121,0,116,52.54901961,0,40,,,
"Nu: 0.9, Gamma: 0.0003",18,121,0,116,52.54901961,0,40,,,
"Nu: 0.9, Gamma: 0.0004",19,120,0,116,52.94117647,0,40,,,
"Nu: 0.9, Gamma: 0.005",18,121,0,116,52.54901961,0,40,,,
"Nu: 0.9, Gamma: 0.05",18,121,0,116,52.54901961,0,40,,,
"Nu: 0.9, Gamma: 0.0625",18,121,0,116,52.54901961,0,40,,,
"Nu: 0.9, Gamma: 0.1",18,121,0,116,52.54901961,0,40,,,
"Nu: 0.9, Gamma: 0.2",18,121,0,116,52.54901961,0,40,,,
"Nu: 0.9, Gamma: 0.5",17,122,0,116,52.15686275,0,40,,,
"Nu: 0.9, Gamma: 0.7",17,122,0,116,52.15686275,0,40,,,
"Nu: 0.9, Gamma: 0.9",18,121,0,116,52.54901961,0,40,,,
"Nu: 0.9, Gamma: 0.99",18,121,0,116,52.54901961,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,139,0,116,45.49019608,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,139,0,116,45.49019608,0,40,,,
