Features: 16,,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,92.72727273,302
"Nu: 0.1, Gamma: 0.1",5,0,41,5,19.60784314,0,40,,,
"Nu: 0.1, Gamma: 0.2",3,2,41,5,15.68627451,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,3,42,4,11.76470588,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,3,39,7,17.64705882,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,3,39,7,17.64705882,0,40,,,
"Nu: 0.1, Gamma: 0.99",2,3,36,10,23.52941176,0,40,,,
"Nu: 0.2, Gamma: 0.0001",4,1,30,16,39.21568627,0,40,,,
"Nu: 0.2, Gamma: 0.0002",4,1,30,16,39.21568627,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,1,19,27,60.78431373,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,1,19,27,60.78431373,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,1,19,27,60.78431373,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,1,19,27,60.78431373,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,1,19,27,60.78431373,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,1,19,27,60.78431373,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,2,21,25,54.90196078,0,40,,,
"Nu: 0.2, Gamma: 0.5",1,4,38,8,17.64705882,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,3,35,11,25.49019608,0,40,,,
"Nu: 0.2, Gamma: 0.9",2,3,31,15,33.33333333,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,3,31,15,33.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,2,5,41,86.2745098,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,3,5,41,84.31372549,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,3,5,41,84.31372549,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,3,5,41,84.31372549,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,3,5,41,84.31372549,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,3,5,41,84.31372549,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,3,5,41,84.31372549,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,3,6,40,82.35294118,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,3,6,40,82.35294118,0,40,,,
"Nu: 0.5, Gamma: 0.5",1,4,5,41,82.35294118,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,4,2,44,88.23529412,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,4,2,44,88.23529412,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,4,4,42,84.31372549,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,4,4,42,84.31372549,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,4,4,42,84.31372549,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,4,4,42,84.31372549,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,4,4,42,84.31372549,0,40,,,
