Features: 16,,,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.08284024,31,2924,2193
"Nu: 0.0003, Gamma: 0.0625",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0003, Gamma: 0.1",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0003, Gamma: 0.2",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0003, Gamma: 0.5",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0003, Gamma: 0.7",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0003, Gamma: 0.9",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0003, Gamma: 0.99",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0004, Gamma: 1e-05",309,25,27,6,85.83106267,0,40,,,,,
"Nu: 0.0004, Gamma: 2e-05",115,6,221,25,38.14713896,0,40,,,,,
"Nu: 0.0004, Gamma: 3e-05",145,8,191,23,45.77656676,0,40,,,,,
"Nu: 0.0004, Gamma: 4e-05",140,8,196,23,44.41416894,0,40,,,,,
"Nu: 0.0004, Gamma: 5e-05",143,8,193,23,45.23160763,0,40,,,,,
"Nu: 0.0004, Gamma: 6e-05",155,8,181,23,48.5013624,0,40,,,,,
"Nu: 0.0004, Gamma: 7e-05",336,28,0,3,92.37057221,0,40,,,,,
"Nu: 0.0004, Gamma: 8e-05",329,23,7,8,91.82561308,0,40,,,,,
"Nu: 0.0004, Gamma: 9e-05",314,17,22,14,89.373297,0,40,,,,,
"Nu: 0.0004, Gamma: 0.0001",325,21,11,10,91.28065395,0,40,,,,,
"Nu: 0.0004, Gamma: 0.0002",336,29,0,2,92.09809264,0,40,,,,,
"Nu: 0.0004, Gamma: 0.0003",336,30,0,1,91.82561308,0,40,,,,,
"Nu: 0.0004, Gamma: 0.0004",224,13,112,18,65.9400545,0,40,,,,,
"Nu: 0.0004, Gamma: 0.005",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0004, Gamma: 0.05",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0004, Gamma: 0.0625",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0004, Gamma: 0.1",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0004, Gamma: 0.2",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0004, Gamma: 0.5",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0004, Gamma: 0.7",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0004, Gamma: 0.9",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0004, Gamma: 0.99",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.005, Gamma: 1e-05",147,8,189,23,46.32152589,0,40,,,,,
"Nu: 0.005, Gamma: 2e-05",172,11,164,20,52.31607629,0,40,,,,,
"Nu: 0.005, Gamma: 3e-05",150,6,186,25,47.68392371,0,40,,,,,
"Nu: 0.005, Gamma: 4e-05",204,12,132,19,60.76294278,0,40,,,,,
"Nu: 0.005, Gamma: 5e-05",172,6,164,25,53.67847411,0,40,,,,,
"Nu: 0.005, Gamma: 6e-05",174,6,162,25,54.22343324,0,40,,,,,
"Nu: 0.005, Gamma: 7e-05",184,6,152,25,56.94822888,0,40,,,,,
"Nu: 0.005, Gamma: 8e-05",222,13,114,18,65.39509537,0,40,,,,,
"Nu: 0.005, Gamma: 9e-05",192,7,144,24,58.85558583,0,40,,,,,
"Nu: 0.005, Gamma: 0.0001",229,13,107,18,67.30245232,0,40,,,,,
"Nu: 0.005, Gamma: 0.0002",214,7,122,24,64.85013624,0,40,,,,,
"Nu: 0.005, Gamma: 0.0003",272,13,64,18,79.01907357,0,40,,,,,
"Nu: 0.005, Gamma: 0.0004",275,16,61,15,79.01907357,0,40,,,,,
"Nu: 0.005, Gamma: 0.005",323,27,13,4,89.10081744,0,40,,,,,
"Nu: 0.005, Gamma: 0.05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.005, Gamma: 0.0625",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.005, Gamma: 0.1",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.005, Gamma: 0.2",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.005, Gamma: 0.5",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.005, Gamma: 0.7",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.005, Gamma: 0.9",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.005, Gamma: 0.99",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.05, Gamma: 1e-05",114,2,222,29,38.96457766,0,40,,,,,
"Nu: 0.05, Gamma: 2e-05",136,5,200,26,44.14168937,0,40,,,,,
"Nu: 0.05, Gamma: 3e-05",154,6,182,25,48.77384196,0,40,,,,,
"Nu: 0.05, Gamma: 4e-05",162,6,174,25,50.95367847,0,40,,,,,
"Nu: 0.05, Gamma: 5e-05",171,6,165,25,53.40599455,0,40,,,,,
"Nu: 0.05, Gamma: 6e-05",209,12,127,19,62.1253406,0,40,,,,,
"Nu: 0.05, Gamma: 7e-05",184,6,152,25,56.94822888,0,40,,,,,
"Nu: 0.05, Gamma: 8e-05",190,6,146,25,58.58310627,0,40,,,,,
"Nu: 0.05, Gamma: 9e-05",192,7,144,24,58.85558583,0,40,,,,,
"Nu: 0.05, Gamma: 0.0001",195,7,141,24,59.67302452,0,40,,,,,
"Nu: 0.05, Gamma: 0.0002",248,13,88,18,72.47956403,0,40,,,,,
"Nu: 0.05, Gamma: 0.0003",263,13,73,18,76.56675749,0,40,,,,,
"Nu: 0.05, Gamma: 0.0004",270,15,66,16,77.92915531,0,40,,,,,
"Nu: 0.05, Gamma: 0.005",288,21,48,10,81.19891008,0,40,,,,,
"Nu: 0.05, Gamma: 0.05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.05, Gamma: 0.0625",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.05, Gamma: 0.1",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.05, Gamma: 0.2",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.05, Gamma: 0.5",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.05, Gamma: 0.7",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.05, Gamma: 0.9",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.05, Gamma: 0.99",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0625, Gamma: 1e-05",147,8,189,23,46.32152589,0,40,,,,,
"Nu: 0.0625, Gamma: 2e-05",136,5,200,26,44.14168937,0,40,,,,,
"Nu: 0.0625, Gamma: 3e-05",154,6,182,25,48.77384196,0,40,,,,,
"Nu: 0.0625, Gamma: 4e-05",195,12,141,19,58.3106267,0,40,,,,,
"Nu: 0.0625, Gamma: 5e-05",204,12,132,19,60.76294278,0,40,,,,,
"Nu: 0.0625, Gamma: 6e-05",209,12,127,19,62.1253406,0,40,,,,,
"Nu: 0.0625, Gamma: 7e-05",184,6,152,25,56.94822888,0,40,,,,,
"Nu: 0.0625, Gamma: 8e-05",190,6,146,25,58.58310627,0,40,,,,,
"Nu: 0.0625, Gamma: 9e-05",192,7,144,24,58.85558583,0,40,,,,,
"Nu: 0.0625, Gamma: 0.0001",227,13,109,18,66.75749319,0,40,,,,,
"Nu: 0.0625, Gamma: 0.0002",248,13,88,18,72.47956403,0,40,,,,,
"Nu: 0.0625, Gamma: 0.0003",263,13,73,18,76.56675749,0,40,,,,,
"Nu: 0.0625, Gamma: 0.0004",238,9,98,22,70.84468665,0,40,,,,,
"Nu: 0.0625, Gamma: 0.005",320,27,16,4,88.28337875,0,40,,,,,
"Nu: 0.0625, Gamma: 0.05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0625, Gamma: 0.0625",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0625, Gamma: 0.1",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0625, Gamma: 0.2",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.0625, Gamma: 0.5",336,31,0,0,91.55313351,0,40,,,,,
