Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.6744186,27
"Nu: 0.7, Gamma: 0.005",1,3,17,22,53.48837209,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,17,22,53.48837209,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,17,22,53.48837209,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,17,22,53.48837209,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,14,25,60.46511628,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,3,36,86.04651163,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,3,2,37,88.37209302,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,2,37,88.37209302,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,1,38,90.69767442,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,3,11,28,67.44186047,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,3,11,28,67.44186047,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,10,29,67.44186047,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,10,29,67.44186047,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,3,7,32,76.74418605,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,3,7,32,76.74418605,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,3,4,35,83.72093023,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,3,3,36,86.04651163,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,11,28,65.11627907,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,1,38,88.37209302,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,1,38,88.37209302,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,1,38,88.37209302,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,1,38,88.37209302,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,4,35,81.39534884,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,3,36,83.72093023,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,39,90.69767442,0,40,,,
,,,,,,,,,,
Target Class: bodytrack_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0001, Gamma: 0.05",2,2,25,14,37.20930233,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",2,2,25,14,37.20930233,0,40,,,
"Nu: 0.0001, Gamma: 0.1",2,2,20,19,48.8372093,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,2,6,33,81.39534884,0,40,,,
"Nu: 0.0001, Gamma: 0.5",2,2,15,24,60.46511628,0,40,,,
"Nu: 0.0001, Gamma: 0.7",1,3,8,31,74.41860465,0,40,,,
"Nu: 0.0001, Gamma: 0.9",1,3,2,37,88.37209302,0,40,,,
"Nu: 0.0001, Gamma: 0.99",1,3,1,38,90.69767442,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0002, Gamma: 0.05",2,2,25,14,37.20930233,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",2,2,25,14,37.20930233,0,40,,,
"Nu: 0.0002, Gamma: 0.1",2,2,20,19,48.8372093,0,40,,,
"Nu: 0.0002, Gamma: 0.2",3,1,26,13,37.20930233,0,40,,,
"Nu: 0.0002, Gamma: 0.5",3,1,14,25,65.11627907,0,40,,,
"Nu: 0.0002, Gamma: 0.7",1,3,8,31,74.41860465,0,40,,,
"Nu: 0.0002, Gamma: 0.9",1,3,2,37,88.37209302,0,40,,,
"Nu: 0.0002, Gamma: 0.99",2,2,13,26,65.11627907,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0003, Gamma: 0.05",2,2,25,14,37.20930233,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",2,2,25,14,37.20930233,0,40,,,
"Nu: 0.0003, Gamma: 0.1",2,2,20,19,48.8372093,0,40,,,
"Nu: 0.0003, Gamma: 0.2",2,2,23,16,41.86046512,0,40,,,
"Nu: 0.0003, Gamma: 0.5",3,1,14,25,65.11627907,0,40,,,
"Nu: 0.0003, Gamma: 0.7",2,2,13,26,65.11627907,0,40,,,
"Nu: 0.0003, Gamma: 0.9",1,3,4,35,83.72093023,0,40,,,
"Nu: 0.0003, Gamma: 0.99",1,3,2,37,88.37209302,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0004, Gamma: 0.05",2,2,25,14,37.20930233,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",2,2,25,14,37.20930233,0,40,,,
"Nu: 0.0004, Gamma: 0.1",2,2,20,19,48.8372093,0,40,,,
"Nu: 0.0004, Gamma: 0.2",2,2,23,16,41.86046512,0,40,,,
"Nu: 0.0004, Gamma: 0.5",1,3,8,31,74.41860465,0,40,,,
"Nu: 0.0004, Gamma: 0.7",2,2,7,32,79.06976744,0,40,,,
"Nu: 0.0004, Gamma: 0.9",1,3,4,35,83.72093023,0,40,,,
"Nu: 0.0004, Gamma: 0.99",1,3,2,37,88.37209302,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.005, Gamma: 0.005",2,2,26,13,34.88372093,0,40,,,
"Nu: 0.005, Gamma: 0.05",2,2,30,9,25.58139535,0,40,,,
"Nu: 0.005, Gamma: 0.0625",3,1,30,9,27.90697674,0,40,,,
"Nu: 0.005, Gamma: 0.1",2,2,30,9,25.58139535,0,40,,,
"Nu: 0.005, Gamma: 0.2",2,2,21,18,46.51162791,0,40,,,
"Nu: 0.005, Gamma: 0.5",2,2,11,28,69.76744186,0,40,,,
"Nu: 0.005, Gamma: 0.7",2,2,7,32,79.06976744,0,40,,,
"Nu: 0.005, Gamma: 0.9",3,1,6,33,83.72093023,0,40,,,
"Nu: 0.005, Gamma: 0.99",2,2,5,34,83.72093023,0,40,,,
"Nu: 0.05, Gamma: 0.0001",3,1,31,8,25.58139535,0,40,,,
"Nu: 0.05, Gamma: 0.0002",3,1,31,8,25.58139535,0,40,,,
"Nu: 0.05, Gamma: 0.0003",3,1,31,8,25.58139535,0,40,,,
"Nu: 0.05, Gamma: 0.0004",2,2,27,12,32.55813953,0,40,,,
"Nu: 0.05, Gamma: 0.005",3,1,31,8,25.58139535,0,40,,,
"Nu: 0.05, Gamma: 0.05",2,2,30,9,25.58139535,0,40,,,
"Nu: 0.05, Gamma: 0.0625",3,1,30,9,27.90697674,0,40,,,
"Nu: 0.05, Gamma: 0.1",2,2,30,9,25.58139535,0,40,,,
"Nu: 0.05, Gamma: 0.2",2,2,24,15,39.53488372,0,40,,,
"Nu: 0.05, Gamma: 0.5",3,1,12,27,69.76744186,0,40,,,
"Nu: 0.05, Gamma: 0.7",3,1,9,30,76.74418605,0,40,,,
"Nu: 0.05, Gamma: 0.9",2,2,7,32,79.06976744,0,40,,,
"Nu: 0.05, Gamma: 0.99",3,1,6,33,83.72093023,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",2,2,31,8,23.25581395,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",2,2,31,8,23.25581395,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",2,2,31,8,23.25581395,0,40,,,
"Nu: 0.0625, Gamma: 0.005",2,2,27,12,32.55813953,0,40,,,
"Nu: 0.0625, Gamma: 0.05",2,2,25,14,37.20930233,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",2,2,25,14,37.20930233,0,40,,,
"Nu: 0.0625, Gamma: 0.1",3,1,30,9,27.90697674,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,1,24,15,41.86046512,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,12,27,67.44186047,0,40,,,
"Nu: 0.0625, Gamma: 0.7",3,1,8,31,79.06976744,0,40,,,
"Nu: 0.0625, Gamma: 0.9",3,1,7,32,81.39534884,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,6,33,83.72093023,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,31,8,25.58139535,0,40,,,
"Nu: 0.1, Gamma: 0.0002",2,2,27,12,32.55813953,0,40,,,
"Nu: 0.1, Gamma: 0.0003",2,2,27,12,32.55813953,0,40,,,
"Nu: 0.1, Gamma: 0.0004",2,2,27,12,32.55813953,0,40,,,
"Nu: 0.1, Gamma: 0.005",2,2,27,12,32.55813953,0,40,,,
"Nu: 0.1, Gamma: 0.05",2,2,25,14,37.20930233,0,40,,,
"Nu: 0.1, Gamma: 0.0625",2,2,25,14,37.20930233,0,40,,,
"Nu: 0.1, Gamma: 0.1",2,2,24,15,39.53488372,0,40,,,
"Nu: 0.1, Gamma: 0.2",2,2,15,24,60.46511628,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,1,12,27,69.76744186,0,40,,,
"Nu: 0.1, Gamma: 0.7",3,1,8,31,79.06976744,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,2,7,32,79.06976744,0,40,,,
"Nu: 0.1, Gamma: 0.99",2,2,6,33,81.39534884,0,40,,,
"Nu: 0.2, Gamma: 0.0001",2,2,26,13,34.88372093,0,40,,,
"Nu: 0.2, Gamma: 0.0002",2,2,26,13,34.88372093,0,40,,,
"Nu: 0.2, Gamma: 0.0003",2,2,26,13,34.88372093,0,40,,,
"Nu: 0.2, Gamma: 0.0004",2,2,26,13,34.88372093,0,40,,,
"Nu: 0.2, Gamma: 0.005",2,2,26,13,34.88372093,0,40,,,
"Nu: 0.2, Gamma: 0.05",2,2,24,15,39.53488372,0,40,,,
"Nu: 0.2, Gamma: 0.0625",2,2,24,15,39.53488372,0,40,,,
"Nu: 0.2, Gamma: 0.1",2,2,24,15,39.53488372,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,2,13,26,65.11627907,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,2,6,33,81.39534884,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,2,6,33,81.39534884,0,40,,,
"Nu: 0.2, Gamma: 0.9",2,2,4,35,86.04651163,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,2,4,35,86.04651163,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,2,24,15,39.53488372,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,2,24,15,39.53488372,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,2,24,15,39.53488372,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,2,23,16,41.86046512,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,2,24,15,39.53488372,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,22,17,44.18604651,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,22,17,44.18604651,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,2,19,20,51.1627907,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,2,6,33,81.39534884,0,40,,,
"Nu: 0.5, Gamma: 0.5",1,3,5,34,81.39534884,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,3,4,35,83.72093023,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,3,3,36,86.04651163,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,3,3,36,86.04651163,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,9,30,72.09302326,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,3,14,25,60.46511628,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,3,10,29,69.76744186,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,3,10,29,69.76744186,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,10,29,69.76744186,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,10,29,69.76744186,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,8,31,74.41860465,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,8,31,74.41860465,0,40,,,
"Nu: 0.7, Gamma: 0.2",2,2,3,36,88.37209302,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,3,36,86.04651163,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,3,3,36,86.04651163,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,2,37,88.37209302,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,2,37,88.37209302,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,3,7,32,76.74418605,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,3,1,38,90.69767442,0,40,,,
