Features: 16,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percentage,Upsampling,
"Nu: 0.2, Gamma: 0.0003",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.2, Gamma: 0.0004",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.2, Gamma: 0.005",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.2, Gamma: 0.05",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.2, Gamma: 0.0625",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.2, Gamma: 0.1",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.2, Gamma: 0.2",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.2, Gamma: 0.5",12,0,0,0,100.0,0,40,
"Nu: 0.2, Gamma: 0.7",12,0,0,0,100.0,0,40,
"Nu: 0.2, Gamma: 0.9",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.2, Gamma: 0.99",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.5, Gamma: 0.0001",6,6,0,0,50.0,0,40,
"Nu: 0.5, Gamma: 0.0002",6,6,0,0,50.0,0,40,
"Nu: 0.5, Gamma: 0.0003",6,6,0,0,50.0,0,40,
"Nu: 0.5, Gamma: 0.0004",6,6,0,0,50.0,0,40,
"Nu: 0.5, Gamma: 0.005",6,6,0,0,50.0,0,40,
"Nu: 0.5, Gamma: 0.05",6,6,0,0,50.0,0,40,
"Nu: 0.5, Gamma: 0.0625",6,6,0,0,50.0,0,40,
"Nu: 0.5, Gamma: 0.1",6,6,0,0,50.0,0,40,
"Nu: 0.5, Gamma: 0.2",6,6,0,0,50.0,0,40,
"Nu: 0.5, Gamma: 0.5",9,3,0,0,75.0,0,40,
"Nu: 0.5, Gamma: 0.7",8,4,0,0,66.66666666666666,0,40,
"Nu: 0.5, Gamma: 0.9",8,4,0,0,66.66666666666666,0,40,
"Nu: 0.5, Gamma: 0.99",8,4,0,0,66.66666666666666,0,40,
"Nu: 0.7, Gamma: 0.0001",5,7,0,0,41.66666666666667,0,40,
"Nu: 0.7, Gamma: 0.0002",5,7,0,0,41.66666666666667,0,40,
"Nu: 0.7, Gamma: 0.0003",5,7,0,0,41.66666666666667,0,40,
"Nu: 0.7, Gamma: 0.0004",5,7,0,0,41.66666666666667,0,40,
"Nu: 0.7, Gamma: 0.005",5,7,0,0,41.66666666666667,0,40,
"Nu: 0.7, Gamma: 0.05",5,7,0,0,41.66666666666667,0,40,
"Nu: 0.7, Gamma: 0.0625",5,7,0,0,41.66666666666667,0,40,
"Nu: 0.7, Gamma: 0.1",4,8,0,0,33.33333333333333,0,40,
"Nu: 0.7, Gamma: 0.2",4,8,0,0,33.33333333333333,0,40,
"Nu: 0.7, Gamma: 0.5",4,8,0,0,33.33333333333333,0,40,
"Nu: 0.7, Gamma: 0.7",5,7,0,0,41.66666666666667,0,40,
"Nu: 0.7, Gamma: 0.9",4,8,0,0,33.33333333333333,0,40,
"Nu: 0.7, Gamma: 0.99",3,9,0,0,25.0,0,40,
"Nu: 0.9, Gamma: 0.0001",0,12,0,0,0.0,0,40,
"Nu: 0.9, Gamma: 0.0002",0,12,0,0,0.0,0,40,
"Nu: 0.9, Gamma: 0.0003",0,12,0,0,0.0,0,40,
"Nu: 0.9, Gamma: 0.0004",0,12,0,0,0.0,0,40,
"Nu: 0.9, Gamma: 0.005",0,12,0,0,0.0,0,40,
"Nu: 0.9, Gamma: 0.05",1,11,0,0,8.333333333333332,0,40,
"Nu: 0.9, Gamma: 0.0625",1,11,0,0,8.333333333333332,0,40,
"Nu: 0.9, Gamma: 0.1",1,11,0,0,8.333333333333332,0,40,
"Nu: 0.9, Gamma: 0.2",1,11,0,0,8.333333333333332,0,40,
"Nu: 0.9, Gamma: 0.5",2,10,0,0,16.666666666666664,0,40,
"Nu: 0.9, Gamma: 0.7",1,11,0,0,8.333333333333332,0,40,
"Nu: 0.9, Gamma: 0.9",1,11,0,0,8.333333333333332,0,40,
"Nu: 0.9, Gamma: 0.99",0,12,0,0,0.0,0,40,
"Nu: 0.99, Gamma: 0.0001",0,12,0,0,0.0,0,40,
"Nu: 0.99, Gamma: 0.0002",0,12,0,0,0.0,0,40,
"Nu: 0.99, Gamma: 0.0003",0,12,0,0,0.0,0,40,
"Nu: 0.99, Gamma: 0.0004",0,12,0,0,0.0,0,40,
"Nu: 0.99, Gamma: 0.005",0,12,0,0,0.0,0,40,
"Nu: 0.99, Gamma: 0.05",0,12,0,0,0.0,0,40,
"Nu: 0.99, Gamma: 0.0625",0,12,0,0,0.0,0,40,
"Nu: 0.99, Gamma: 0.1",0,12,0,0,0.0,0,40,
"Nu: 0.99, Gamma: 0.2",0,12,0,0,0.0,0,40,
"Nu: 0.99, Gamma: 0.5",0,12,0,0,0.0,0,40,
"Nu: 0.99, Gamma: 0.7",0,12,0,0,0.0,0,40,
"Nu: 0.99, Gamma: 0.9",0,12,0,0,0.0,0,40,
"Nu: 0.99, Gamma: 0.99",0,12,0,0,0.0,0,40,
,,,,,,,,
Features: 16,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percentage,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,0,0.0,10,40,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,0,0.0,10,40,
"Nu: 0.0001, Gamma: 0.0003",6,6,0,0,50.0,10,40,
"Nu: 0.0001, Gamma: 0.0004",6,6,0,0,50.0,10,40,
"Nu: 0.0001, Gamma: 0.005",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0001, Gamma: 0.05",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0001, Gamma: 0.0625",12,0,0,0,100.0,10,40,
"Nu: 0.0001, Gamma: 0.1",12,0,0,0,100.0,10,40,
"Nu: 0.0001, Gamma: 0.2",12,0,0,0,100.0,10,40,
"Nu: 0.0001, Gamma: 0.5",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0001, Gamma: 0.7",12,0,0,0,100.0,10,40,
"Nu: 0.0001, Gamma: 0.9",12,0,0,0,100.0,10,40,
"Nu: 0.0001, Gamma: 0.99",12,0,0,0,100.0,10,40,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,0,0.0,10,40,
"Nu: 0.0002, Gamma: 0.0002",6,6,0,0,50.0,10,40,
"Nu: 0.0002, Gamma: 0.0003",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0002, Gamma: 0.0004",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0002, Gamma: 0.005",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0002, Gamma: 0.05",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0002, Gamma: 0.0625",12,0,0,0,100.0,10,40,
"Nu: 0.0002, Gamma: 0.1",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0002, Gamma: 0.2",12,0,0,0,100.0,10,40,
"Nu: 0.0002, Gamma: 0.5",12,0,0,0,100.0,10,40,
"Nu: 0.0002, Gamma: 0.7",12,0,0,0,100.0,10,40,
"Nu: 0.0002, Gamma: 0.9",12,0,0,0,100.0,10,40,
"Nu: 0.0002, Gamma: 0.99",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0003, Gamma: 0.0001",7,5,0,0,58.333333333333336,10,40,
"Nu: 0.0003, Gamma: 0.0002",12,0,0,0,100.0,10,40,
"Nu: 0.0003, Gamma: 0.0003",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0003, Gamma: 0.0004",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0003, Gamma: 0.005",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0003, Gamma: 0.05",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0003, Gamma: 0.0625",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0003, Gamma: 0.1",12,0,0,0,100.0,10,40,
"Nu: 0.0003, Gamma: 0.2",12,0,0,0,100.0,10,40,
"Nu: 0.0003, Gamma: 0.5",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0003, Gamma: 0.7",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0003, Gamma: 0.9",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0003, Gamma: 0.99",12,0,0,0,100.0,10,40,
"Nu: 0.0004, Gamma: 0.0001",3,9,0,0,25.0,10,40,
"Nu: 0.0004, Gamma: 0.0002",12,0,0,0,100.0,10,40,
"Nu: 0.0004, Gamma: 0.0003",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0004, Gamma: 0.0004",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0004, Gamma: 0.005",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0004, Gamma: 0.05",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0004, Gamma: 0.0625",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0004, Gamma: 0.1",12,0,0,0,100.0,10,40,
"Nu: 0.0004, Gamma: 0.2",12,0,0,0,100.0,10,40,
"Nu: 0.0004, Gamma: 0.5",12,0,0,0,100.0,10,40,
"Nu: 0.0004, Gamma: 0.7",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0004, Gamma: 0.9",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0004, Gamma: 0.99",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.005, Gamma: 0.0001",10,2,0,0,83.33333333333334,10,40,
"Nu: 0.005, Gamma: 0.0002",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.005, Gamma: 0.0003",12,0,0,0,100.0,10,40,
"Nu: 0.005, Gamma: 0.0004",12,0,0,0,100.0,10,40,
"Nu: 0.005, Gamma: 0.005",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.005, Gamma: 0.05",12,0,0,0,100.0,10,40,
"Nu: 0.005, Gamma: 0.0625",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.005, Gamma: 0.1",12,0,0,0,100.0,10,40,
"Nu: 0.005, Gamma: 0.2",12,0,0,0,100.0,10,40,
"Nu: 0.005, Gamma: 0.5",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.005, Gamma: 0.7",12,0,0,0,100.0,10,40,
"Nu: 0.005, Gamma: 0.9",12,0,0,0,100.0,10,40,
"Nu: 0.005, Gamma: 0.99",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.05, Gamma: 0.0001",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.05, Gamma: 0.0002",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.05, Gamma: 0.0003",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.05, Gamma: 0.0004",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.05, Gamma: 0.005",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.05, Gamma: 0.05",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.05, Gamma: 0.0625",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.05, Gamma: 0.1",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.05, Gamma: 0.2",12,0,0,0,100.0,10,40,
"Nu: 0.05, Gamma: 0.5",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.05, Gamma: 0.7",12,0,0,0,100.0,10,40,
"Nu: 0.05, Gamma: 0.9",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.05, Gamma: 0.99",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0625, Gamma: 0.0001",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0625, Gamma: 0.0002",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0625, Gamma: 0.0003",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0625, Gamma: 0.0004",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0625, Gamma: 0.005",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0625, Gamma: 0.05",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0625, Gamma: 0.0625",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0625, Gamma: 0.1",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0625, Gamma: 0.2",12,0,0,0,100.0,10,40,
"Nu: 0.0625, Gamma: 0.5",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0625, Gamma: 0.7",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.0625, Gamma: 0.9",12,0,0,0,100.0,10,40,
"Nu: 0.0625, Gamma: 0.99",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.1, Gamma: 0.0001",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.1, Gamma: 0.0002",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.1, Gamma: 0.0003",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.1, Gamma: 0.0004",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.1, Gamma: 0.005",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.1, Gamma: 0.05",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.1, Gamma: 0.0625",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.1, Gamma: 0.1",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.1, Gamma: 0.2",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.1, Gamma: 0.5",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.1, Gamma: 0.7",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.1, Gamma: 0.9",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.1, Gamma: 0.99",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.2, Gamma: 0.0001",10,2,0,0,83.33333333333334,10,40,
"Nu: 0.2, Gamma: 0.0002",10,2,0,0,83.33333333333334,10,40,
"Nu: 0.2, Gamma: 0.0003",10,2,0,0,83.33333333333334,10,40,
"Nu: 0.2, Gamma: 0.0004",10,2,0,0,83.33333333333334,10,40,
"Nu: 0.2, Gamma: 0.005",10,2,0,0,83.33333333333334,10,40,
"Nu: 0.2, Gamma: 0.05",10,2,0,0,83.33333333333334,10,40,
"Nu: 0.2, Gamma: 0.0625",10,2,0,0,83.33333333333334,10,40,
"Nu: 0.2, Gamma: 0.1",10,2,0,0,83.33333333333334,10,40,
"Nu: 0.2, Gamma: 0.2",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.2, Gamma: 0.5",11,1,0,0,91.66666666666666,10,40,
"Nu: 0.2, Gamma: 0.7",10,2,0,0,83.33333333333334,10,40,
"Nu: 0.2, Gamma: 0.9",10,2,0,0,83.33333333333334,10,40,
"Nu: 0.2, Gamma: 0.99",10,2,0,0,83.33333333333334,10,40,
"Nu: 0.5, Gamma: 0.0001",7,5,0,0,58.333333333333336,10,40,
"Nu: 0.5, Gamma: 0.0002",7,5,0,0,58.333333333333336,10,40,
