Features: 16,,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.98266297,117
"Nu: 0.1, Gamma: 0.0004",8,2,143,22919,99.37153259,0,40,,,
"Nu: 0.1, Gamma: 0.005",8,2,143,22919,99.37153259,0,40,,,
"Nu: 0.1, Gamma: 0.05",8,2,139,22923,99.38886963,0,40,,,
"Nu: 0.1, Gamma: 0.0625",8,2,137,22925,99.39753814,0,40,,,
"Nu: 0.1, Gamma: 0.1",8,2,123,22939,99.45821775,0,40,,,
"Nu: 0.1, Gamma: 0.2",8,2,94,22968,99.58391123,0,40,,,
"Nu: 0.1, Gamma: 0.5",8,2,14,23048,99.93065187,0,40,,,
"Nu: 0.1, Gamma: 0.7",8,2,14,23048,99.93065187,0,40,,,
"Nu: 0.1, Gamma: 0.9",6,4,19,23043,99.90031207,0,40,,,
"Nu: 0.1, Gamma: 0.99",6,4,17,23045,99.90898058,0,40,,,
"Nu: 0.2, Gamma: 0.0001",8,2,120,22942,99.47122053,0,40,,,
"Nu: 0.2, Gamma: 0.0002",8,2,120,22942,99.47122053,0,40,,,
"Nu: 0.2, Gamma: 0.0003",8,2,120,22942,99.47122053,0,40,,,
"Nu: 0.2, Gamma: 0.0004",8,2,120,22942,99.47122053,0,40,,,
"Nu: 0.2, Gamma: 0.005",8,2,119,22943,99.47555479,0,40,,,
"Nu: 0.2, Gamma: 0.05",8,2,107,22955,99.52756588,0,40,,,
"Nu: 0.2, Gamma: 0.0625",8,2,105,22957,99.5362344,0,40,,,
"Nu: 0.2, Gamma: 0.1",8,2,94,22968,99.58391123,0,40,,,
"Nu: 0.2, Gamma: 0.2",8,2,68,22994,99.69660194,0,40,,,
"Nu: 0.2, Gamma: 0.5",7,3,6,23056,99.96099168,0,40,,,
"Nu: 0.2, Gamma: 0.7",7,3,1,23061,99.98266297,0,40,,,
"Nu: 0.2, Gamma: 0.9",7,3,10,23052,99.94365465,0,40,,,
"Nu: 0.2, Gamma: 0.99",6,4,10,23052,99.93932039,0,40,,,
"Nu: 0.5, Gamma: 0.0001",4,6,25,23037,99.865638,0,40,,,
"Nu: 0.5, Gamma: 0.0002",4,6,26,23036,99.86130374,0,40,,,
"Nu: 0.5, Gamma: 0.0003",4,6,26,23036,99.86130374,0,40,,,
"Nu: 0.5, Gamma: 0.0004",4,6,26,23036,99.86130374,0,40,,,
"Nu: 0.5, Gamma: 0.005",4,6,28,23034,99.85263523,0,40,,,
"Nu: 0.5, Gamma: 0.05",4,6,27,23035,99.85696949,0,40,,,
"Nu: 0.5, Gamma: 0.0625",4,6,27,23035,99.85696949,0,40,,,
"Nu: 0.5, Gamma: 0.1",4,6,26,23036,99.86130374,0,40,,,
"Nu: 0.5, Gamma: 0.2",4,6,24,23038,99.86997226,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,8,1,23061,99.96099168,0,40,,,
"Nu: 0.5, Gamma: 0.7",3,7,0,23062,99.96966019,0,40,,,
"Nu: 0.5, Gamma: 0.9",6,4,0,23062,99.98266297,0,40,,,
"Nu: 0.5, Gamma: 0.99",6,4,0,23062,99.98266297,0,40,,,
"Nu: 0.7, Gamma: 0.0001",3,7,8,23054,99.93498613,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,8,3,23059,99.95232316,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,8,0,23062,99.96532594,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,8,3,23059,99.95232316,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,8,1,23061,99.96099168,0,40,,,
"Nu: 0.7, Gamma: 0.05",2,8,0,23062,99.96532594,0,40,,,
"Nu: 0.7, Gamma: 0.0625",2,8,0,23062,99.96532594,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,8,0,23062,99.96532594,0,40,,,
"Nu: 0.7, Gamma: 0.2",2,8,0,23062,99.96532594,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,8,0,23062,99.96532594,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,8,0,23062,99.96532594,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,8,0,23062,99.96532594,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,8,0,23062,99.96532594,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,9,0,23062,99.96099168,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,9,0,23062,99.96099168,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,9,0,23062,99.96099168,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,9,0,23062,99.96099168,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,9,0,23062,99.96099168,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,9,0,23062,99.96099168,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,9,0,23062,99.96099168,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,9,0,23062,99.96099168,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,9,0,23062,99.96099168,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,9,0,23062,99.96099168,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,9,0,23062,99.96099168,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,9,0,23062,99.96099168,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,9,0,23062,99.96099168,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,10,0,23062,99.95665742,0,40,,,
