Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92,155
"Nu: 0.005, Gamma: 0.05",12,0,115,3,11.53846154,0,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,118,0,9.230769231,0,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,96,22,26.15384615,0,40,,,
"Nu: 0.005, Gamma: 0.2",12,0,97,21,25.38461538,0,40,,,
"Nu: 0.005, Gamma: 0.5",11,1,95,23,26.15384615,0,40,,,
"Nu: 0.005, Gamma: 0.7",9,3,73,45,41.53846154,0,40,,,
"Nu: 0.005, Gamma: 0.9",10,2,64,54,49.23076923,0,40,,,
"Nu: 0.005, Gamma: 0.99",11,1,60,58,53.07692308,0,40,,,
"Nu: 0.05, Gamma: 0.0001",8,4,111,7,11.53846154,0,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,113,5,13.07692308,0,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,113,5,13.07692308,0,40,,,
"Nu: 0.05, Gamma: 0.0004",12,0,113,5,13.07692308,0,40,,,
"Nu: 0.05, Gamma: 0.005",12,0,113,5,13.07692308,0,40,,,
"Nu: 0.05, Gamma: 0.05",12,0,113,5,13.07692308,0,40,,,
"Nu: 0.05, Gamma: 0.0625",12,0,95,23,26.92307692,0,40,,,
"Nu: 0.05, Gamma: 0.1",12,0,93,25,28.46153846,0,40,,,
"Nu: 0.05, Gamma: 0.2",12,0,92,26,29.23076923,0,40,,,
"Nu: 0.05, Gamma: 0.5",11,1,92,26,28.46153846,0,40,,,
"Nu: 0.05, Gamma: 0.7",11,1,69,49,46.15384615,0,40,,,
"Nu: 0.05, Gamma: 0.9",10,2,55,63,56.15384615,0,40,,,
"Nu: 0.05, Gamma: 0.99",10,2,50,68,60,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",8,4,90,28,27.69230769,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",8,4,90,28,27.69230769,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",8,4,90,28,27.69230769,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",11,1,103,15,20,0,40,,,
"Nu: 0.0625, Gamma: 0.005",11,1,101,17,21.53846154,0,40,,,
"Nu: 0.0625, Gamma: 0.05",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",11,1,93,25,27.69230769,0,40,,,
"Nu: 0.0625, Gamma: 0.1",10,2,93,25,26.92307692,0,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,89,29,31.53846154,0,40,,,
"Nu: 0.0625, Gamma: 0.5",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0625, Gamma: 0.7",11,1,67,51,47.69230769,0,40,,,
"Nu: 0.0625, Gamma: 0.9",11,1,54,64,57.69230769,0,40,,,
"Nu: 0.0625, Gamma: 0.99",10,2,53,65,57.69230769,0,40,,,
"Nu: 0.1, Gamma: 0.0001",10,2,91,27,28.46153846,0,40,,,
"Nu: 0.1, Gamma: 0.0002",10,2,91,27,28.46153846,0,40,,,
"Nu: 0.1, Gamma: 0.0003",10,2,91,27,28.46153846,0,40,,,
"Nu: 0.1, Gamma: 0.0004",10,2,91,27,28.46153846,0,40,,,
"Nu: 0.1, Gamma: 0.005",10,2,91,27,28.46153846,0,40,,,
"Nu: 0.1, Gamma: 0.05",10,2,91,27,28.46153846,0,40,,,
"Nu: 0.1, Gamma: 0.0625",10,2,91,27,28.46153846,0,40,,,
"Nu: 0.1, Gamma: 0.1",10,2,89,29,30,0,40,,,
"Nu: 0.1, Gamma: 0.2",9,3,87,31,30.76923077,0,40,,,
"Nu: 0.1, Gamma: 0.5",9,3,80,38,36.15384615,0,40,,,
"Nu: 0.1, Gamma: 0.7",10,2,54,64,56.92307692,0,40,,,
"Nu: 0.1, Gamma: 0.9",9,3,44,74,63.84615385,0,40,,,
"Nu: 0.1, Gamma: 0.99",10,2,42,76,66.15384615,0,40,,,
"Nu: 0.2, Gamma: 0.0001",8,4,86,32,30.76923077,0,40,,,
"Nu: 0.2, Gamma: 0.0002",8,4,86,32,30.76923077,0,40,,,
"Nu: 0.2, Gamma: 0.0003",8,4,86,32,30.76923077,0,40,,,
"Nu: 0.2, Gamma: 0.0004",8,4,86,32,30.76923077,0,40,,,
"Nu: 0.2, Gamma: 0.005",8,4,86,32,30.76923077,0,40,,,
"Nu: 0.2, Gamma: 0.05",8,4,85,33,31.53846154,0,40,,,
"Nu: 0.2, Gamma: 0.0625",8,4,85,33,31.53846154,0,40,,,
"Nu: 0.2, Gamma: 0.1",8,4,84,34,32.30769231,0,40,,,
"Nu: 0.2, Gamma: 0.2",6,6,78,40,35.38461538,0,40,,,
"Nu: 0.2, Gamma: 0.5",7,5,71,47,41.53846154,0,40,,,
"Nu: 0.2, Gamma: 0.7",6,6,45,73,60.76923077,0,40,,,
"Nu: 0.2, Gamma: 0.9",6,6,36,82,67.69230769,0,40,,,
"Nu: 0.2, Gamma: 0.99",5,7,33,85,69.23076923,0,40,,,
"Nu: 0.5, Gamma: 0.0001",6,6,66,52,44.61538462,0,40,,,
"Nu: 0.5, Gamma: 0.0002",6,6,65,53,45.38461538,0,40,,,
"Nu: 0.5, Gamma: 0.0003",6,6,65,53,45.38461538,0,40,,,
"Nu: 0.5, Gamma: 0.0004",6,6,65,53,45.38461538,0,40,,,
"Nu: 0.5, Gamma: 0.005",6,6,65,53,45.38461538,0,40,,,
"Nu: 0.5, Gamma: 0.05",6,6,65,53,45.38461538,0,40,,,
"Nu: 0.5, Gamma: 0.0625",6,6,65,53,45.38461538,0,40,,,
"Nu: 0.5, Gamma: 0.1",6,6,63,55,46.92307692,0,40,,,
"Nu: 0.5, Gamma: 0.2",5,7,57,61,50.76923077,0,40,,,
"Nu: 0.5, Gamma: 0.5",5,7,44,74,60.76923077,0,40,,,
"Nu: 0.5, Gamma: 0.7",3,9,21,97,76.92307692,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,10,14,104,81.53846154,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,10,13,105,82.30769231,0,40,,,
"Nu: 0.7, Gamma: 0.0001",4,8,47,71,57.69230769,0,40,,,
"Nu: 0.7, Gamma: 0.0002",4,8,47,71,57.69230769,0,40,,,
"Nu: 0.7, Gamma: 0.0003",4,8,45,73,59.23076923,0,40,,,
"Nu: 0.7, Gamma: 0.0004",4,8,45,73,59.23076923,0,40,,,
"Nu: 0.7, Gamma: 0.005",4,8,46,72,58.46153846,0,40,,,
"Nu: 0.7, Gamma: 0.05",4,8,46,72,58.46153846,0,40,,,
"Nu: 0.7, Gamma: 0.0625",4,8,46,72,58.46153846,0,40,,,
"Nu: 0.7, Gamma: 0.1",4,8,44,74,60,0,40,,,
"Nu: 0.7, Gamma: 0.2",4,8,46,72,58.46153846,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,10,24,94,73.84615385,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,10,14,104,81.53846154,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,11,4,114,88.46153846,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,11,4,114,88.46153846,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,11,4,114,88.46153846,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,11,6,112,86.92307692,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,11,6,112,86.92307692,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,11,6,112,86.92307692,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,11,6,112,86.92307692,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,11,8,110,85.38461538,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,11,10,108,83.84615385,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,10,11,107,83.84615385,0,40,,,
"Nu: 0.9, Gamma: 0.2",2,10,17,101,79.23076923,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,12,1,117,90,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,11,1,117,90.76923077,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,11,0,118,91.53846154,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,11,0,118,91.53846154,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,2,116,89.23076923,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,3,115,88.46153846,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,2,116,89.23076923,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,2,116,89.23076923,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,2,116,89.23076923,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,2,116,89.23076923,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,1,117,90,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,1,117,90,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,1,117,90,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.99, Gamma: 0.9",1,11,0,118,91.53846154,0,40,,,
"Nu: 0.99, Gamma: 0.99",1,11,0,118,91.53846154,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
