Features: 16,,,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,96.22641509,462
"Nu: 0.9, Gamma: 0.05",2,3,21,27,54.71698113,0,40,,,
"Nu: 0.9, Gamma: 0.0625",2,3,21,27,54.71698113,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,3,18,30,60.37735849,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,4,2,46,88.67924528,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,4,0,48,92.45283019,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,4,0,48,92.45283019,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,5,2,46,86.79245283,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,5,2,46,86.79245283,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,5,2,46,86.79245283,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,5,2,46,86.79245283,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,5,2,46,86.79245283,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,5,3,45,84.90566038,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,5,3,45,84.90566038,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,5,3,45,84.90566038,0,40,,,
"Nu: 0.99, Gamma: 0.2",1,4,2,46,88.67924528,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,5,0,48,90.56603774,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,5,0,48,90.56603774,0,40,,,
,,,,,,,,,,
Target Class: swaptions_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0001, Gamma: 0.05",2,3,17,27,59.18367347,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",2,3,11,33,71.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.1",2,3,4,40,85.71428571,0,40,,,
