Features: 16,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.99, Gamma: 0.005",0,4,1,37,88.09523809523809,0,40,
"Nu: 0.99, Gamma: 0.05",0,4,4,34,80.95238095238095,0,40,
"Nu: 0.99, Gamma: 0.0625",0,4,3,35,83.33333333333334,0,40,
"Nu: 0.99, Gamma: 0.1",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.99, Gamma: 0.2",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.99, Gamma: 0.5",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.99, Gamma: 0.7",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.99, Gamma: 0.9",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.99, Gamma: 0.99",0,4,0,38,90.47619047619048,0,40,
,,,,,,,,
Target Class: bodytrack_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0001, Gamma: 0.005",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0001, Gamma: 0.05",2,2,18,21,53.48837209302325,0,40,
"Nu: 0.0001, Gamma: 0.0625",2,2,18,21,53.48837209302325,0,40,
"Nu: 0.0001, Gamma: 0.1",2,2,16,23,58.139534883720934,0,40,
"Nu: 0.0001, Gamma: 0.2",2,2,2,37,90.69767441860465,0,40,
"Nu: 0.0001, Gamma: 0.5",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0001, Gamma: 0.7",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0001, Gamma: 0.9",1,3,0,39,93.02325581395348,0,40,
"Nu: 0.0001, Gamma: 0.99",1,3,0,39,93.02325581395348,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0002, Gamma: 0.005",0,4,0,39,90.69767441860465,0,40,
