Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.79296066,475
"Nu: 0.0004, Gamma: 0.05",12,0,953,1,1.345755694,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,953,1,1.345755694,0,40,,,
"Nu: 0.0004, Gamma: 0.1",12,0,953,1,1.345755694,0,40,,,
"Nu: 0.0004, Gamma: 0.2",12,0,793,161,17.90890269,0,40,,,
"Nu: 0.0004, Gamma: 0.5",12,0,50,904,94.82401656,0,40,,,
"Nu: 0.0004, Gamma: 0.7",11,1,65,889,93.16770186,0,40,,,
"Nu: 0.0004, Gamma: 0.9",12,0,47,907,95.13457557,0,40,,,
"Nu: 0.0004, Gamma: 0.99",12,0,60,894,93.78881988,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,951,3,1.552795031,0,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,951,3,1.552795031,0,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,953,1,1.345755694,0,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,953,1,1.345755694,0,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,953,1,1.345755694,0,40,,,
"Nu: 0.005, Gamma: 0.2",12,0,860,94,10.97308489,0,40,,,
"Nu: 0.005, Gamma: 0.5",12,0,79,875,91.82194617,0,40,,,
"Nu: 0.005, Gamma: 0.7",12,0,79,875,91.82194617,0,40,,,
"Nu: 0.005, Gamma: 0.9",12,0,61,893,93.68530021,0,40,,,
"Nu: 0.005, Gamma: 0.99",11,1,57,897,93.99585921,0,40,,,
"Nu: 0.05, Gamma: 0.0001",11,1,935,19,3.105590062,0,40,,,
"Nu: 0.05, Gamma: 0.0002",11,1,932,22,3.416149068,0,40,,,
"Nu: 0.05, Gamma: 0.0003",11,1,932,22,3.416149068,0,40,,,
"Nu: 0.05, Gamma: 0.0004",11,1,932,22,3.416149068,0,40,,,
"Nu: 0.05, Gamma: 0.005",11,1,932,22,3.416149068,0,40,,,
"Nu: 0.05, Gamma: 0.05",11,1,932,22,3.416149068,0,40,,,
"Nu: 0.05, Gamma: 0.0625",11,1,932,22,3.416149068,0,40,,,
"Nu: 0.05, Gamma: 0.1",11,1,933,21,3.3126294,0,40,,,
"Nu: 0.05, Gamma: 0.2",10,2,891,63,7.556935818,0,40,,,
"Nu: 0.05, Gamma: 0.5",11,1,116,838,87.88819876,0,40,,,
"Nu: 0.05, Gamma: 0.7",11,1,83,871,91.30434783,0,40,,,
"Nu: 0.05, Gamma: 0.9",11,1,66,888,93.06418219,0,40,,,
"Nu: 0.05, Gamma: 0.99",11,1,57,897,93.99585921,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",11,1,918,36,4.865424431,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",11,1,918,36,4.865424431,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",11,1,918,36,4.865424431,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",11,1,918,36,4.865424431,0,40,,,
"Nu: 0.0625, Gamma: 0.005",11,1,918,36,4.865424431,0,40,,,
"Nu: 0.0625, Gamma: 0.05",10,2,917,37,4.865424431,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",10,2,917,37,4.865424431,0,40,,,
"Nu: 0.0625, Gamma: 0.1",10,2,915,39,5.072463768,0,40,,,
"Nu: 0.0625, Gamma: 0.2",10,2,896,58,7.039337474,0,40,,,
"Nu: 0.0625, Gamma: 0.5",11,1,126,828,86.85300207,0,40,,,
"Nu: 0.0625, Gamma: 0.7",11,1,86,868,90.99378882,0,40,,,
"Nu: 0.0625, Gamma: 0.9",11,1,65,889,93.16770186,0,40,,,
"Nu: 0.0625, Gamma: 0.99",10,2,54,900,94.20289855,0,40,,,
"Nu: 0.1, Gamma: 0.0001",10,2,915,39,5.072463768,0,40,,,
"Nu: 0.1, Gamma: 0.0002",10,2,915,39,5.072463768,0,40,,,
"Nu: 0.1, Gamma: 0.0003",10,2,906,48,6.004140787,0,40,,,
"Nu: 0.1, Gamma: 0.0004",10,2,906,48,6.004140787,0,40,,,
"Nu: 0.1, Gamma: 0.005",10,2,906,48,6.004140787,0,40,,,
"Nu: 0.1, Gamma: 0.05",10,2,906,48,6.004140787,0,40,,,
"Nu: 0.1, Gamma: 0.0625",10,2,904,50,6.211180124,0,40,,,
"Nu: 0.1, Gamma: 0.1",10,2,902,52,6.418219462,0,40,,,
"Nu: 0.1, Gamma: 0.2",10,2,875,79,9.213250518,0,40,,,
"Nu: 0.1, Gamma: 0.5",10,2,100,854,89.44099379,0,40,,,
"Nu: 0.1, Gamma: 0.7",10,2,65,889,93.06418219,0,40,,,
"Nu: 0.1, Gamma: 0.9",10,2,49,905,94.72049689,0,40,,,
"Nu: 0.1, Gamma: 0.99",10,2,48,906,94.82401656,0,40,,,
"Nu: 0.2, Gamma: 0.0001",10,2,892,62,7.453416149,0,40,,,
"Nu: 0.2, Gamma: 0.0002",10,2,892,62,7.453416149,0,40,,,
"Nu: 0.2, Gamma: 0.0003",8,4,881,73,8.385093168,0,40,,,
"Nu: 0.2, Gamma: 0.0004",8,4,881,73,8.385093168,0,40,,,
"Nu: 0.2, Gamma: 0.005",10,2,888,66,7.867494824,0,40,,,
"Nu: 0.2, Gamma: 0.05",10,2,878,76,8.902691511,0,40,,,
"Nu: 0.2, Gamma: 0.0625",10,2,876,78,9.109730849,0,40,,,
"Nu: 0.2, Gamma: 0.1",10,2,873,81,9.420289855,0,40,,,
"Nu: 0.2, Gamma: 0.2",10,2,780,174,19.04761905,0,40,,,
"Nu: 0.2, Gamma: 0.5",9,3,16,938,98.03312629,0,40,,,
"Nu: 0.2, Gamma: 0.7",9,3,0,954,99.68944099,0,40,,,
"Nu: 0.2, Gamma: 0.9",9,3,0,954,99.68944099,0,40,,,
"Nu: 0.2, Gamma: 0.99",9,3,0,954,99.68944099,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,9,0,954,99.06832298,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,9,0,954,99.06832298,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,9,0,954,99.06832298,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,9,0,954,99.06832298,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,9,0,954,99.06832298,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,9,0,954,99.06832298,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,9,0,954,99.06832298,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,9,0,954,99.06832298,0,40,,,
"Nu: 0.5, Gamma: 0.2",4,8,0,954,99.17184265,0,40,,,
"Nu: 0.5, Gamma: 0.5",3,9,0,954,99.06832298,0,40,,,
"Nu: 0.5, Gamma: 0.7",3,9,0,954,99.06832298,0,40,,,
"Nu: 0.5, Gamma: 0.9",4,8,0,954,99.17184265,0,40,,,
"Nu: 0.5, Gamma: 0.99",5,7,0,954,99.27536232,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,11,0,954,98.86128364,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,11,0,954,98.86128364,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,11,0,954,98.86128364,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,11,0,954,98.86128364,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,11,0,954,98.86128364,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,11,0,954,98.86128364,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,11,0,954,98.86128364,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,11,0,954,98.86128364,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,11,0,954,98.86128364,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,11,0,954,98.86128364,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,11,0,954,98.86128364,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,11,0,954,98.86128364,0,40,,,
"Nu: 0.9, Gamma: 0.0001",2,10,0,954,98.96480331,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,954,98.75776398,0,40,,,
,,,,,,,,,,
Target Class: streamcluster_dropcore,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0001, Gamma: 0.005",96,0,112,4,47.16981132,0,40,,,
"Nu: 0.0001, Gamma: 0.05",96,0,112,4,47.16981132,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",96,0,111,5,47.64150943,0,40,,,
"Nu: 0.0001, Gamma: 0.1",96,0,109,7,48.58490566,0,40,,,
"Nu: 0.0001, Gamma: 0.2",96,0,75,41,64.62264151,0,40,,,
"Nu: 0.0001, Gamma: 0.5",96,0,16,100,92.45283019,0,40,,,
"Nu: 0.0001, Gamma: 0.7",95,1,11,105,94.33962264,0,40,,,
"Nu: 0.0001, Gamma: 0.9",95,1,12,104,93.86792453,0,40,,,
"Nu: 0.0001, Gamma: 0.99",94,2,11,105,93.86792453,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0002, Gamma: 0.005",96,0,112,4,47.16981132,0,40,,,
"Nu: 0.0002, Gamma: 0.05",96,0,112,4,47.16981132,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",96,0,111,5,47.64150943,0,40,,,
"Nu: 0.0002, Gamma: 0.1",96,0,109,7,48.58490566,0,40,,,
"Nu: 0.0002, Gamma: 0.2",96,0,76,40,64.1509434,0,40,,,
"Nu: 0.0002, Gamma: 0.5",95,1,17,99,91.50943396,0,40,,,
"Nu: 0.0002, Gamma: 0.7",95,1,15,101,92.45283019,0,40,,,
"Nu: 0.0002, Gamma: 0.9",94,2,9,107,94.81132075,0,40,,,
"Nu: 0.0002, Gamma: 0.99",94,2,10,106,94.33962264,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0003, Gamma: 0.005",96,0,112,4,47.16981132,0,40,,,
"Nu: 0.0003, Gamma: 0.05",96,0,112,4,47.16981132,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",96,0,111,5,47.64150943,0,40,,,
"Nu: 0.0003, Gamma: 0.1",96,0,109,7,48.58490566,0,40,,,
"Nu: 0.0003, Gamma: 0.2",95,1,75,41,64.1509434,0,40,,,
"Nu: 0.0003, Gamma: 0.5",96,0,18,98,91.50943396,0,40,,,
"Nu: 0.0003, Gamma: 0.7",96,0,14,102,93.39622642,0,40,,,
"Nu: 0.0003, Gamma: 0.9",95,1,13,103,93.39622642,0,40,,,
"Nu: 0.0003, Gamma: 0.99",94,2,11,105,93.86792453,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.0004, Gamma: 0.005",96,0,112,4,47.16981132,0,40,,,
"Nu: 0.0004, Gamma: 0.05",96,0,112,4,47.16981132,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",96,0,111,5,47.64150943,0,40,,,
"Nu: 0.0004, Gamma: 0.1",96,0,109,7,48.58490566,0,40,,,
"Nu: 0.0004, Gamma: 0.2",95,1,75,41,64.1509434,0,40,,,
"Nu: 0.0004, Gamma: 0.5",96,0,18,98,91.50943396,0,40,,,
"Nu: 0.0004, Gamma: 0.7",96,0,14,102,93.39622642,0,40,,,
"Nu: 0.0004, Gamma: 0.9",94,2,9,107,94.81132075,0,40,,,
"Nu: 0.0004, Gamma: 0.99",94,2,9,107,94.81132075,0,40,,,
"Nu: 0.005, Gamma: 0.0001",79,17,1,115,91.50943396,0,40,,,
"Nu: 0.005, Gamma: 0.0002",94,2,107,9,48.58490566,0,40,,,
"Nu: 0.005, Gamma: 0.0003",94,2,107,9,48.58490566,0,40,,,
"Nu: 0.005, Gamma: 0.0004",94,2,107,9,48.58490566,0,40,,,
"Nu: 0.005, Gamma: 0.005",94,2,106,10,49.05660377,0,40,,,
"Nu: 0.005, Gamma: 0.05",95,1,106,10,49.52830189,0,40,,,
"Nu: 0.005, Gamma: 0.0625",95,1,106,10,49.52830189,0,40,,,
"Nu: 0.005, Gamma: 0.1",95,1,106,10,49.52830189,0,40,,,
"Nu: 0.005, Gamma: 0.2",96,0,83,33,60.8490566,0,40,,,
"Nu: 0.005, Gamma: 0.5",96,0,20,96,90.56603774,0,40,,,
"Nu: 0.005, Gamma: 0.7",95,1,13,103,93.39622642,0,40,,,
"Nu: 0.005, Gamma: 0.9",94,2,9,107,94.81132075,0,40,,,
"Nu: 0.005, Gamma: 0.99",94,2,9,107,94.81132075,0,40,,,
"Nu: 0.05, Gamma: 0.0001",90,6,73,43,62.73584906,0,40,,,
"Nu: 0.05, Gamma: 0.0002",90,6,73,43,62.73584906,0,40,,,
"Nu: 0.05, Gamma: 0.0003",88,8,71,45,62.73584906,0,40,,,
"Nu: 0.05, Gamma: 0.0004",88,8,73,43,61.79245283,0,40,,,
"Nu: 0.05, Gamma: 0.005",88,8,73,43,61.79245283,0,40,,,
"Nu: 0.05, Gamma: 0.05",88,8,70,46,63.20754717,0,40,,,
"Nu: 0.05, Gamma: 0.0625",88,8,70,46,63.20754717,0,40,,,
"Nu: 0.05, Gamma: 0.1",88,8,68,48,64.1509434,0,40,,,
"Nu: 0.05, Gamma: 0.2",88,8,54,62,70.75471698,0,40,,,
"Nu: 0.05, Gamma: 0.5",89,7,11,105,91.50943396,0,40,,,
"Nu: 0.05, Gamma: 0.7",88,8,4,112,94.33962264,0,40,,,
"Nu: 0.05, Gamma: 0.9",88,8,4,112,94.33962264,0,40,,,
"Nu: 0.05, Gamma: 0.99",88,8,3,113,94.81132075,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",88,8,71,45,62.73584906,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",88,8,71,45,62.73584906,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",88,8,71,45,62.73584906,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",88,8,70,46,63.20754717,0,40,,,
"Nu: 0.0625, Gamma: 0.005",88,8,70,46,63.20754717,0,40,,,
"Nu: 0.0625, Gamma: 0.05",88,8,69,47,63.67924528,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",88,8,67,49,64.62264151,0,40,,,
"Nu: 0.0625, Gamma: 0.1",88,8,63,53,66.50943396,0,40,,,
"Nu: 0.0625, Gamma: 0.2",88,8,49,67,73.11320755,0,40,,,
"Nu: 0.0625, Gamma: 0.5",88,8,10,106,91.50943396,0,40,,,
"Nu: 0.0625, Gamma: 0.7",87,9,4,112,93.86792453,0,40,,,
"Nu: 0.0625, Gamma: 0.9",87,9,2,114,94.81132075,0,40,,,
"Nu: 0.0625, Gamma: 0.99",87,9,1,115,95.28301887,0,40,,,
"Nu: 0.1, Gamma: 0.0001",85,11,43,73,74.52830189,0,40,,,
"Nu: 0.1, Gamma: 0.0002",85,11,43,73,74.52830189,0,40,,,
"Nu: 0.1, Gamma: 0.0003",85,11,43,73,74.52830189,0,40,,,
"Nu: 0.1, Gamma: 0.0004",85,11,43,73,74.52830189,0,40,,,
"Nu: 0.1, Gamma: 0.005",85,11,43,73,74.52830189,0,40,,,
"Nu: 0.1, Gamma: 0.05",85,11,38,78,76.88679245,0,40,,,
"Nu: 0.1, Gamma: 0.0625",85,11,36,80,77.83018868,0,40,,,
"Nu: 0.1, Gamma: 0.1",85,11,31,85,80.18867925,0,40,,,
"Nu: 0.1, Gamma: 0.2",85,11,21,95,84.90566038,0,40,,,
"Nu: 0.1, Gamma: 0.5",84,12,1,115,93.86792453,0,40,,,
"Nu: 0.1, Gamma: 0.7",83,13,0,116,93.86792453,0,40,,,
"Nu: 0.1, Gamma: 0.9",85,11,0,116,94.81132075,0,40,,,
"Nu: 0.1, Gamma: 0.99",85,11,1,115,94.33962264,0,40,,,
"Nu: 0.2, Gamma: 0.0001",71,25,0,116,88.20754717,0,40,,,
"Nu: 0.2, Gamma: 0.0002",80,16,0,116,92.45283019,0,40,,,
"Nu: 0.2, Gamma: 0.0003",80,16,0,116,92.45283019,0,40,,,
"Nu: 0.2, Gamma: 0.0004",80,16,0,116,92.45283019,0,40,,,
"Nu: 0.2, Gamma: 0.005",80,16,0,116,92.45283019,0,40,,,
"Nu: 0.2, Gamma: 0.05",80,16,0,116,92.45283019,0,40,,,
"Nu: 0.2, Gamma: 0.0625",80,16,0,116,92.45283019,0,40,,,
"Nu: 0.2, Gamma: 0.1",80,16,0,116,92.45283019,0,40,,,
"Nu: 0.2, Gamma: 0.2",80,16,0,116,92.45283019,0,40,,,
"Nu: 0.2, Gamma: 0.5",77,19,0,116,91.03773585,0,40,,,
"Nu: 0.2, Gamma: 0.7",75,21,0,116,90.09433962,0,40,,,
"Nu: 0.2, Gamma: 0.9",75,21,0,116,90.09433962,0,40,,,
"Nu: 0.2, Gamma: 0.99",75,21,0,116,90.09433962,0,40,,,
"Nu: 0.5, Gamma: 0.0001",43,53,0,116,75,0,40,,,
"Nu: 0.5, Gamma: 0.0002",45,51,0,116,75.94339623,0,40,,,
"Nu: 0.5, Gamma: 0.0003",46,50,0,116,76.41509434,0,40,,,
"Nu: 0.5, Gamma: 0.0004",47,49,0,116,76.88679245,0,40,,,
"Nu: 0.5, Gamma: 0.005",48,48,0,116,77.35849057,0,40,,,
"Nu: 0.5, Gamma: 0.05",46,50,0,116,76.41509434,0,40,,,
"Nu: 0.5, Gamma: 0.0625",46,50,0,116,76.41509434,0,40,,,
"Nu: 0.5, Gamma: 0.1",46,50,0,116,76.41509434,0,40,,,
"Nu: 0.5, Gamma: 0.2",45,51,0,116,75.94339623,0,40,,,
"Nu: 0.5, Gamma: 0.5",42,54,0,116,74.52830189,0,40,,,
"Nu: 0.5, Gamma: 0.7",40,56,0,116,73.58490566,0,40,,,
"Nu: 0.5, Gamma: 0.9",42,54,0,116,74.52830189,0,40,,,
"Nu: 0.5, Gamma: 0.99",42,54,0,116,74.52830189,0,40,,,
"Nu: 0.7, Gamma: 0.0001",23,73,0,116,65.56603774,0,40,,,
"Nu: 0.7, Gamma: 0.0002",23,73,0,116,65.56603774,0,40,,,
"Nu: 0.7, Gamma: 0.0003",23,73,0,116,65.56603774,0,40,,,
"Nu: 0.7, Gamma: 0.0004",23,73,0,116,65.56603774,0,40,,,
"Nu: 0.7, Gamma: 0.005",23,73,0,116,65.56603774,0,40,,,
"Nu: 0.7, Gamma: 0.05",23,73,0,116,65.56603774,0,40,,,
"Nu: 0.7, Gamma: 0.0625",23,73,0,116,65.56603774,0,40,,,
"Nu: 0.7, Gamma: 0.1",23,73,0,116,65.56603774,0,40,,,
"Nu: 0.7, Gamma: 0.2",23,73,0,116,65.56603774,0,40,,,
"Nu: 0.7, Gamma: 0.5",21,75,0,116,64.62264151,0,40,,,
"Nu: 0.7, Gamma: 0.7",23,73,0,116,65.56603774,0,40,,,
"Nu: 0.7, Gamma: 0.9",23,73,0,116,65.56603774,0,40,,,
"Nu: 0.7, Gamma: 0.99",23,73,0,116,65.56603774,0,40,,,
"Nu: 0.9, Gamma: 0.0001",2,94,0,116,55.66037736,0,40,,,
"Nu: 0.9, Gamma: 0.0002",2,94,0,116,55.66037736,0,40,,,
"Nu: 0.9, Gamma: 0.0003",3,93,0,116,56.13207547,0,40,,,
"Nu: 0.9, Gamma: 0.0004",3,93,0,116,56.13207547,0,40,,,
"Nu: 0.9, Gamma: 0.005",3,93,0,116,56.13207547,0,40,,,
"Nu: 0.9, Gamma: 0.05",2,94,0,116,55.66037736,0,40,,,
"Nu: 0.9, Gamma: 0.0625",2,94,0,116,55.66037736,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,94,0,116,55.66037736,0,40,,,
"Nu: 0.9, Gamma: 0.2",3,93,0,116,56.13207547,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,94,0,116,55.66037736,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,94,0,116,55.66037736,0,40,,,
"Nu: 0.9, Gamma: 0.9",2,94,0,116,55.66037736,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,94,0,116,55.66037736,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,96,0,116,54.71698113,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,96,0,116,54.71698113,0,40,,,
