Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.44444444,312
"Nu: 0.1, Gamma: 0.5",2,2,29,8,24.3902439,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,2,29,8,24.3902439,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,2,27,10,29.26829268,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,1,24,13,39.02439024,0,40,,,
"Nu: 0.2, Gamma: 0.0001",3,1,35,2,12.19512195,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.2, Gamma: 0.0003",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.2, Gamma: 0.0004",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.2, Gamma: 0.005",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.2, Gamma: 0.05",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.2, Gamma: 0.0625",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.2, Gamma: 0.1",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,2,29,8,24.3902439,0,40,,,
"Nu: 0.2, Gamma: 0.5",1,3,28,9,24.3902439,0,40,,,
"Nu: 0.2, Gamma: 0.7",1,3,27,10,26.82926829,0,40,,,
"Nu: 0.2, Gamma: 0.9",1,3,26,11,29.26829268,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,2,24,13,36.58536585,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,2,25,12,34.14634146,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,2,25,12,34.14634146,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,2,25,12,34.14634146,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,2,25,12,34.14634146,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,2,24,13,36.58536585,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,24,13,36.58536585,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,24,13,36.58536585,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,2,25,12,34.14634146,0,40,,,
"Nu: 0.5, Gamma: 0.2",1,3,24,13,34.14634146,0,40,,,
"Nu: 0.5, Gamma: 0.5",1,3,25,12,31.70731707,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,3,23,14,36.58536585,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,3,18,19,48.7804878,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,3,9,28,70.73170732,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,4,15,22,53.65853659,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,2,22,15,41.46341463,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,2,22,15,41.46341463,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,2,22,15,41.46341463,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,22,15,39.02439024,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,21,16,41.46341463,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,21,16,41.46341463,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,20,17,43.90243902,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,19,18,46.34146341,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,3,34,85.36585366,0,40,,,
"Nu: 0.7, Gamma: 0.7",0,4,3,34,82.92682927,0,40,,,
"Nu: 0.7, Gamma: 0.9",0,4,3,34,82.92682927,0,40,,,
"Nu: 0.7, Gamma: 0.99",0,4,3,34,82.92682927,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,2,35,85.36585366,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,2,35,85.36585366,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,2,35,85.36585366,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,2,35,85.36585366,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,2,35,85.36585366,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,14,23,56.09756098,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,14,23,56.09756098,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,3,17,20,51.2195122,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,3,14,23,58.53658537,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,2,35,85.36585366,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,2,35,85.36585366,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,13,24,58.53658537,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,37,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,37,90.24390244,0,40,,,
,,,,,,,,,,
Target Class: raytrace_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0001, Gamma: 0.05",4,0,28,4,22.22222222,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,0,28,4,22.22222222,0,40,,,
"Nu: 0.0001, Gamma: 0.1",4,0,28,4,22.22222222,0,40,,,
"Nu: 0.0001, Gamma: 0.2",1,3,17,15,44.44444444,0,40,,,
"Nu: 0.0001, Gamma: 0.5",3,1,19,13,44.44444444,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2,2,19,13,41.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,2,19,13,41.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,4,19,13,36.11111111,0,40,,,
