Features: 16,,,,,,,,,,
Target Class: facesim,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.9263623,116
"Nu: 0.5, Gamma: 0.0001",22,1,232,1103,82.84241532,0,40,,,
"Nu: 0.5, Gamma: 0.0002",20,3,43,1292,96.61266568,0,40,,,
"Nu: 0.5, Gamma: 0.0003",1,22,0,1335,98.37997054,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,20,0,1335,98.52724595,0,40,,,
"Nu: 0.5, Gamma: 0.005",13,10,0,1335,99.26362297,0,40,,,
"Nu: 0.5, Gamma: 0.05",16,7,0,1335,99.48453608,0,40,,,
"Nu: 0.5, Gamma: 0.0625",16,7,0,1335,99.48453608,0,40,,,
"Nu: 0.5, Gamma: 0.1",15,8,0,1335,99.41089838,0,40,,,
"Nu: 0.5, Gamma: 0.2",14,9,0,1335,99.33726068,0,40,,,
"Nu: 0.5, Gamma: 0.5",11,12,0,1335,99.11634757,0,40,,,
"Nu: 0.5, Gamma: 0.7",11,12,2,1333,98.96907216,0,40,,,
"Nu: 0.5, Gamma: 0.9",11,12,2,1333,98.96907216,0,40,,,
"Nu: 0.5, Gamma: 0.99",11,12,2,1333,98.96907216,0,40,,,
"Nu: 0.7, Gamma: 0.0001",20,3,195,1140,85.4197349,0,40,,,
"Nu: 0.7, Gamma: 0.0002",20,3,17,1318,98.52724595,0,40,,,
"Nu: 0.7, Gamma: 0.0003",17,6,0,1335,99.55817378,0,40,,,
"Nu: 0.7, Gamma: 0.0004",15,8,0,1335,99.41089838,0,40,,,
"Nu: 0.7, Gamma: 0.005",5,18,0,1335,98.67452135,0,40,,,
"Nu: 0.7, Gamma: 0.05",10,13,0,1335,99.04270987,0,40,,,
"Nu: 0.7, Gamma: 0.0625",9,14,0,1335,98.96907216,0,40,,,
"Nu: 0.7, Gamma: 0.1",8,15,0,1335,98.89543446,0,40,,,
"Nu: 0.7, Gamma: 0.2",6,17,0,1335,98.74815906,0,40,,,
"Nu: 0.7, Gamma: 0.5",8,15,0,1335,98.89543446,0,40,,,
"Nu: 0.7, Gamma: 0.7",7,16,2,1333,98.67452135,0,40,,,
"Nu: 0.7, Gamma: 0.9",6,17,2,1333,98.60088365,0,40,,,
"Nu: 0.7, Gamma: 0.99",7,16,2,1333,98.67452135,0,40,,,
"Nu: 0.9, Gamma: 0.0001",6,17,0,1335,98.74815906,0,40,,,
"Nu: 0.9, Gamma: 0.0002",6,17,0,1335,98.74815906,0,40,,,
"Nu: 0.9, Gamma: 0.0003",6,17,0,1335,98.74815906,0,40,,,
"Nu: 0.9, Gamma: 0.0004",6,17,0,1335,98.74815906,0,40,,,
"Nu: 0.9, Gamma: 0.005",6,17,0,1335,98.74815906,0,40,,,
"Nu: 0.9, Gamma: 0.05",5,18,0,1335,98.67452135,0,40,,,
"Nu: 0.9, Gamma: 0.0625",3,20,0,1335,98.52724595,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,21,0,1335,98.45360825,0,40,,,
"Nu: 0.9, Gamma: 0.2",3,20,0,1335,98.52724595,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,21,0,1335,98.45360825,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,21,0,1335,98.45360825,0,40,,,
"Nu: 0.9, Gamma: 0.9",2,21,0,1335,98.45360825,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,21,0,1335,98.45360825,0,40,,,
"Nu: 0.99, Gamma: 0.0001",18,5,2,1333,99.48453608,0,40,,,
"Nu: 0.99, Gamma: 0.0002",18,5,2,1333,99.48453608,0,40,,,
"Nu: 0.99, Gamma: 0.0003",18,5,2,1333,99.48453608,0,40,,,
"Nu: 0.99, Gamma: 0.0004",17,6,1,1334,99.48453608,0,40,,,
"Nu: 0.99, Gamma: 0.005",3,20,0,1335,98.52724595,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,23,0,1335,98.30633284,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,23,0,1335,98.30633284,0,40,,,
,,,,,,,,,,
Target Class: facesim_cachehalf,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,134,0,230,63.18681319,0,40,,,
