Features: 16,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,91.54929577
"Nu: 0.0625, Gamma: 0.5",13,0,85,34,35.60606061,0,40,,
"Nu: 0.0625, Gamma: 0.7",13,0,83,36,37.12121212,0,40,,
"Nu: 0.0625, Gamma: 0.9",13,0,82,37,37.87878788,0,40,,
"Nu: 0.0625, Gamma: 0.99",13,0,77,42,41.66666667,0,40,,
"Nu: 0.1, Gamma: 0.0001",11,2,92,27,28.78787879,0,40,,
"Nu: 0.1, Gamma: 0.0002",11,2,87,32,32.57575758,0,40,,
"Nu: 0.1, Gamma: 0.0003",12,1,87,32,33.33333333,0,40,,
"Nu: 0.1, Gamma: 0.0004",13,0,89,30,32.57575758,0,40,,
"Nu: 0.1, Gamma: 0.005",13,0,89,30,32.57575758,0,40,,
"Nu: 0.1, Gamma: 0.05",13,0,89,30,32.57575758,0,40,,
"Nu: 0.1, Gamma: 0.0625",11,2,89,30,31.06060606,0,40,,
"Nu: 0.1, Gamma: 0.1",11,2,87,32,32.57575758,0,40,,
"Nu: 0.1, Gamma: 0.2",10,3,81,38,36.36363636,0,40,,
"Nu: 0.1, Gamma: 0.5",10,3,78,41,38.63636364,0,40,,
"Nu: 0.1, Gamma: 0.7",10,3,76,43,40.15151515,0,40,,
"Nu: 0.1, Gamma: 0.9",10,3,75,44,40.90909091,0,40,,
"Nu: 0.1, Gamma: 0.99",10,3,79,40,37.87878788,0,40,,
"Nu: 0.2, Gamma: 0.0001",8,5,86,33,31.06060606,0,40,,
"Nu: 0.2, Gamma: 0.0002",8,5,86,33,31.06060606,0,40,,
"Nu: 0.2, Gamma: 0.0003",11,2,86,33,33.33333333,0,40,,
"Nu: 0.2, Gamma: 0.0004",11,2,86,33,33.33333333,0,40,,
"Nu: 0.2, Gamma: 0.005",11,2,86,33,33.33333333,0,40,,
"Nu: 0.2, Gamma: 0.05",11,2,85,34,34.09090909,0,40,,
"Nu: 0.2, Gamma: 0.0625",11,2,85,34,34.09090909,0,40,,
"Nu: 0.2, Gamma: 0.1",8,5,82,37,34.09090909,0,40,,
"Nu: 0.2, Gamma: 0.2",7,6,74,45,39.39393939,0,40,,
"Nu: 0.2, Gamma: 0.5",8,5,68,51,44.6969697,0,40,,
"Nu: 0.2, Gamma: 0.7",8,5,62,57,49.24242424,0,40,,
"Nu: 0.2, Gamma: 0.9",9,4,58,61,53.03030303,0,40,,
"Nu: 0.2, Gamma: 0.99",9,4,52,67,57.57575758,0,40,,
"Nu: 0.5, Gamma: 0.0001",4,9,59,60,48.48484848,0,40,,
"Nu: 0.5, Gamma: 0.0002",4,9,59,60,48.48484848,0,40,,
"Nu: 0.5, Gamma: 0.0003",4,9,58,61,49.24242424,0,40,,
"Nu: 0.5, Gamma: 0.0004",4,9,59,60,48.48484848,0,40,,
"Nu: 0.5, Gamma: 0.005",4,9,59,60,48.48484848,0,40,,
"Nu: 0.5, Gamma: 0.05",4,9,59,60,48.48484848,0,40,,
"Nu: 0.5, Gamma: 0.0625",4,9,59,60,48.48484848,0,40,,
"Nu: 0.5, Gamma: 0.1",4,9,57,62,50,0,40,,
"Nu: 0.5, Gamma: 0.2",4,9,45,74,59.09090909,0,40,,
"Nu: 0.5, Gamma: 0.5",7,6,40,79,65.15151515,0,40,,
"Nu: 0.5, Gamma: 0.7",6,7,28,91,73.48484848,0,40,,
"Nu: 0.5, Gamma: 0.9",6,7,19,100,80.3030303,0,40,,
"Nu: 0.5, Gamma: 0.99",6,7,12,107,85.60606061,0,40,,
"Nu: 0.7, Gamma: 0.0001",2,11,31,88,68.18181818,0,40,,
"Nu: 0.7, Gamma: 0.0002",2,11,32,87,67.42424242,0,40,,
"Nu: 0.7, Gamma: 0.0003",2,11,32,87,67.42424242,0,40,,
"Nu: 0.7, Gamma: 0.0004",2,11,32,87,67.42424242,0,40,,
"Nu: 0.7, Gamma: 0.005",2,11,32,87,67.42424242,0,40,,
"Nu: 0.7, Gamma: 0.05",2,11,31,88,68.18181818,0,40,,
"Nu: 0.7, Gamma: 0.0625",2,11,31,88,68.18181818,0,40,,
"Nu: 0.7, Gamma: 0.1",2,11,34,85,65.90909091,0,40,,
"Nu: 0.7, Gamma: 0.2",2,11,31,88,68.18181818,0,40,,
"Nu: 0.7, Gamma: 0.5",3,10,6,113,87.87878788,0,40,,
"Nu: 0.7, Gamma: 0.7",4,9,8,111,87.12121212,0,40,,
"Nu: 0.7, Gamma: 0.9",4,9,5,114,89.39393939,0,40,,
"Nu: 0.7, Gamma: 0.99",4,9,5,114,89.39393939,0,40,,
"Nu: 0.9, Gamma: 0.0001",0,13,9,110,83.33333333,0,40,,
"Nu: 0.9, Gamma: 0.0002",0,13,9,110,83.33333333,0,40,,
"Nu: 0.9, Gamma: 0.0003",0,13,9,110,83.33333333,0,40,,
"Nu: 0.9, Gamma: 0.0004",0,13,9,110,83.33333333,0,40,,
"Nu: 0.9, Gamma: 0.005",0,13,9,110,83.33333333,0,40,,
"Nu: 0.9, Gamma: 0.05",0,13,10,109,82.57575758,0,40,,
"Nu: 0.9, Gamma: 0.0625",0,13,10,109,82.57575758,0,40,,
"Nu: 0.9, Gamma: 0.1",0,13,10,109,82.57575758,0,40,,
"Nu: 0.9, Gamma: 0.2",0,13,5,114,86.36363636,0,40,,
"Nu: 0.9, Gamma: 0.5",0,13,0,119,90.15151515,0,40,,
"Nu: 0.9, Gamma: 0.7",1,12,1,118,90.15151515,0,40,,
"Nu: 0.9, Gamma: 0.9",1,12,0,119,90.90909091,0,40,,
"Nu: 0.9, Gamma: 0.99",1,12,0,119,90.90909091,0,40,,
"Nu: 0.99, Gamma: 0.0001",0,13,0,119,90.15151515,0,40,,
"Nu: 0.99, Gamma: 0.0002",0,13,0,119,90.15151515,0,40,,
"Nu: 0.99, Gamma: 0.0003",0,13,0,119,90.15151515,0,40,,
"Nu: 0.99, Gamma: 0.0004",0,13,0,119,90.15151515,0,40,,
"Nu: 0.99, Gamma: 0.005",0,13,0,119,90.15151515,0,40,,
"Nu: 0.99, Gamma: 0.05",0,13,0,119,90.15151515,0,40,,
"Nu: 0.99, Gamma: 0.0625",0,13,1,118,89.39393939,0,40,,
"Nu: 0.99, Gamma: 0.1",0,13,1,118,89.39393939,0,40,,
"Nu: 0.99, Gamma: 0.2",0,13,0,119,90.15151515,0,40,,
"Nu: 0.99, Gamma: 0.5",0,13,0,119,90.15151515,0,40,,
"Nu: 0.99, Gamma: 0.7",0,13,0,119,90.15151515,0,40,,
"Nu: 0.99, Gamma: 0.9",0,13,0,119,90.15151515,0,40,,
