Features: 16,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,90.90909091
"Nu: 0.9, Gamma: 0.05",0,5,9,41,74.54545455,0,40,,
"Nu: 0.9, Gamma: 0.0625",0,5,9,41,74.54545455,0,40,,
"Nu: 0.9, Gamma: 0.1",0,5,8,42,76.36363636,0,40,,
"Nu: 0.9, Gamma: 0.2",0,5,6,44,80,0,40,,
"Nu: 0.9, Gamma: 0.5",0,5,6,44,80,0,40,,
"Nu: 0.9, Gamma: 0.7",0,5,5,45,81.81818182,0,40,,
"Nu: 0.9, Gamma: 0.9",0,5,2,48,87.27272727,0,40,,
"Nu: 0.9, Gamma: 0.99",0,5,2,48,87.27272727,0,40,,
"Nu: 0.99, Gamma: 0.0001",0,5,21,29,52.72727273,0,40,,
"Nu: 0.99, Gamma: 0.0002",0,5,12,38,69.09090909,0,40,,
"Nu: 0.99, Gamma: 0.0003",0,5,12,38,69.09090909,0,40,,
"Nu: 0.99, Gamma: 0.0004",0,5,12,38,69.09090909,0,40,,
"Nu: 0.99, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,
"Nu: 0.99, Gamma: 0.05",0,5,0,50,90.90909091,0,40,,
"Nu: 0.99, Gamma: 0.0625",0,5,0,50,90.90909091,0,40,,
"Nu: 0.99, Gamma: 0.1",0,5,0,50,90.90909091,0,40,,
"Nu: 0.99, Gamma: 0.2",0,5,0,50,90.90909091,0,40,,
"Nu: 0.99, Gamma: 0.5",0,5,0,50,90.90909091,0,40,,
"Nu: 0.99, Gamma: 0.7",0,5,0,50,90.90909091,0,40,,
"Nu: 0.99, Gamma: 0.9",0,5,0,50,90.90909091,0,40,,
"Nu: 0.99, Gamma: 0.99",0,5,0,50,90.90909091,0,40,,
,,,,,,,,,
Target Class: canneal_MRUCache,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,
