Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.29078014,290
"Nu: 0.005, Gamma: 0.0002",10,14,91,26,25.53191489,0,40,,,
"Nu: 0.005, Gamma: 0.0003",24,0,116,1,17.73049645,0,40,,,
"Nu: 0.005, Gamma: 0.0004",24,0,116,1,17.73049645,0,40,,,
"Nu: 0.005, Gamma: 0.005",24,0,116,1,17.73049645,0,40,,,
"Nu: 0.005, Gamma: 0.05",24,0,114,3,19.14893617,0,40,,,
"Nu: 0.005, Gamma: 0.0625",24,0,113,4,19.85815603,0,40,,,
"Nu: 0.005, Gamma: 0.1",24,0,106,11,24.82269504,0,40,,,
"Nu: 0.005, Gamma: 0.2",24,0,28,89,80.14184397,0,40,,,
"Nu: 0.005, Gamma: 0.5",24,0,22,95,84.39716312,0,40,,,
"Nu: 0.005, Gamma: 0.7",24,0,22,95,84.39716312,0,40,,,
"Nu: 0.005, Gamma: 0.9",24,0,20,97,85.81560284,0,40,,,
"Nu: 0.005, Gamma: 0.99",24,0,18,99,87.23404255,0,40,,,
"Nu: 0.05, Gamma: 0.0001",24,0,114,3,19.14893617,0,40,,,
"Nu: 0.05, Gamma: 0.0002",24,0,114,3,19.14893617,0,40,,,
"Nu: 0.05, Gamma: 0.0003",21,3,113,4,17.73049645,0,40,,,
"Nu: 0.05, Gamma: 0.0004",24,0,113,4,19.85815603,0,40,,,
"Nu: 0.05, Gamma: 0.005",24,0,113,4,19.85815603,0,40,,,
"Nu: 0.05, Gamma: 0.05",24,0,111,6,21.27659574,0,40,,,
"Nu: 0.05, Gamma: 0.0625",24,0,110,7,21.9858156,0,40,,,
"Nu: 0.05, Gamma: 0.1",24,0,105,12,25.53191489,0,40,,,
"Nu: 0.05, Gamma: 0.2",24,0,29,88,79.43262411,0,40,,,
"Nu: 0.05, Gamma: 0.5",24,0,19,98,86.5248227,0,40,,,
"Nu: 0.05, Gamma: 0.7",24,0,18,99,87.23404255,0,40,,,
"Nu: 0.05, Gamma: 0.9",24,0,16,101,88.65248227,0,40,,,
