Features: 16,,,,,,,,,,
Target Class: facesim,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.92614476,91
"Nu: 0.0003, Gamma: 0.05",23,0,1328,3,1.920236337,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",23,0,1327,4,1.994091581,0,40,,,
"Nu: 0.0003, Gamma: 0.1",23,0,1327,4,1.994091581,0,40,,,
"Nu: 0.0003, Gamma: 0.2",22,1,1301,30,3.840472674,0,40,,,
"Nu: 0.0003, Gamma: 0.5",20,3,1074,257,20.45790251,0,40,,,
"Nu: 0.0003, Gamma: 0.7",23,0,598,733,55.83456425,0,40,,,
"Nu: 0.0003, Gamma: 0.9",7,16,413,918,68.31610044,0,40,,,
"Nu: 0.0003, Gamma: 0.99",6,17,229,1102,81.83161004,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0004, Gamma: 0.005",23,0,1328,3,1.920236337,0,40,,,
"Nu: 0.0004, Gamma: 0.05",23,0,1328,3,1.920236337,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",23,0,1327,4,1.994091581,0,40,,,
"Nu: 0.0004, Gamma: 0.1",23,0,1327,4,1.994091581,0,40,,,
"Nu: 0.0004, Gamma: 0.2",22,1,1301,30,3.840472674,0,40,,,
"Nu: 0.0004, Gamma: 0.5",23,0,1095,236,19.12850812,0,40,,,
"Nu: 0.0004, Gamma: 0.7",23,0,598,733,55.83456425,0,40,,,
"Nu: 0.0004, Gamma: 0.9",7,16,413,918,68.31610044,0,40,,,
"Nu: 0.0004, Gamma: 0.99",6,17,229,1102,81.83161004,0,40,,,
"Nu: 0.005, Gamma: 0.0001",6,17,850,481,35.96750369,0,40,,,
"Nu: 0.005, Gamma: 0.0002",6,17,850,481,35.96750369,0,40,,,
"Nu: 0.005, Gamma: 0.0003",23,0,1328,3,1.920236337,0,40,,,
"Nu: 0.005, Gamma: 0.0004",23,0,1328,3,1.920236337,0,40,,,
"Nu: 0.005, Gamma: 0.005",23,0,1328,3,1.920236337,0,40,,,
"Nu: 0.005, Gamma: 0.05",23,0,1328,3,1.920236337,0,40,,,
"Nu: 0.005, Gamma: 0.0625",23,0,1327,4,1.994091581,0,40,,,
"Nu: 0.005, Gamma: 0.1",23,0,1327,4,1.994091581,0,40,,,
"Nu: 0.005, Gamma: 0.2",23,0,1309,22,3.323485968,0,40,,,
"Nu: 0.005, Gamma: 0.5",23,0,1233,98,8.93648449,0,40,,,
"Nu: 0.005, Gamma: 0.7",23,0,743,588,45.12555391,0,40,,,
"Nu: 0.005, Gamma: 0.9",23,0,431,900,68.16838996,0,40,,,
"Nu: 0.005, Gamma: 0.99",23,0,425,906,68.61152142,0,40,,,
"Nu: 0.05, Gamma: 0.0001",1,22,281,1050,77.62186115,0,40,,,
"Nu: 0.05, Gamma: 0.0002",17,6,304,1027,77.10487445,0,40,,,
"Nu: 0.05, Gamma: 0.0003",23,0,657,674,51.47710487,0,40,,,
"Nu: 0.05, Gamma: 0.0004",23,0,656,675,51.55096012,0,40,,,
"Nu: 0.05, Gamma: 0.005",23,0,638,693,52.88035451,0,40,,,
"Nu: 0.05, Gamma: 0.05",23,0,642,689,52.58493353,0,40,,,
"Nu: 0.05, Gamma: 0.0625",23,0,642,689,52.58493353,0,40,,,
"Nu: 0.05, Gamma: 0.1",23,0,641,690,52.65878877,0,40,,,
"Nu: 0.05, Gamma: 0.2",23,0,628,703,53.61890694,0,40,,,
"Nu: 0.05, Gamma: 0.5",23,0,378,953,72.08271787,0,40,,,
"Nu: 0.05, Gamma: 0.7",22,1,8,1323,99.33530281,0,40,,,
"Nu: 0.05, Gamma: 0.9",22,1,23,1308,98.22747415,0,40,,,
"Nu: 0.05, Gamma: 0.99",22,1,186,1145,86.18906942,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",23,0,780,551,42.3929099,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",16,7,293,1038,77.84342688,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",23,0,638,693,52.88035451,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",23,0,638,693,52.88035451,0,40,,,
"Nu: 0.0625, Gamma: 0.005",23,0,609,722,55.02215657,0,40,,,
"Nu: 0.0625, Gamma: 0.05",23,0,610,721,54.94830133,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",23,0,611,720,54.87444609,0,40,,,
"Nu: 0.0625, Gamma: 0.1",23,0,616,715,54.50516987,0,40,,,
"Nu: 0.0625, Gamma: 0.2",23,0,612,719,54.80059084,0,40,,,
"Nu: 0.0625, Gamma: 0.5",23,0,343,988,74.6676514,0,40,,,
"Nu: 0.0625, Gamma: 0.7",22,1,0,1331,99.92614476,0,40,HERE,,
"Nu: 0.0625, Gamma: 0.9",22,1,0,1331,99.92614476,0,40,,,
"Nu: 0.0625, Gamma: 0.99",22,1,0,1331,99.92614476,0,40,,,
"Nu: 0.1, Gamma: 0.0001",20,3,573,758,57.45937962,0,40,,,
"Nu: 0.1, Gamma: 0.0002",21,2,582,749,56.86853767,0,40,,,
"Nu: 0.1, Gamma: 0.0003",23,0,590,741,56.4254062,0,40,,,
"Nu: 0.1, Gamma: 0.0004",21,2,570,761,57.75480059,0,40,,,
"Nu: 0.1, Gamma: 0.005",23,0,580,751,57.16395864,0,40,,,
"Nu: 0.1, Gamma: 0.05",22,1,577,754,57.31166913,0,40,,,
"Nu: 0.1, Gamma: 0.0625",22,1,577,754,57.31166913,0,40,,,
"Nu: 0.1, Gamma: 0.1",22,1,577,754,57.31166913,0,40,,,
"Nu: 0.1, Gamma: 0.2",22,1,575,756,57.45937962,0,40,,,
"Nu: 0.1, Gamma: 0.5",22,1,417,914,69.12850812,0,40,,,
"Nu: 0.1, Gamma: 0.7",22,1,0,1331,99.92614476,0,40,,,
"Nu: 0.1, Gamma: 0.9",22,1,0,1331,99.92614476,0,40,,,
"Nu: 0.1, Gamma: 0.99",22,1,0,1331,99.92614476,0,40,,,
"Nu: 0.2, Gamma: 0.0001",22,1,538,793,60.19202363,0,40,,,
"Nu: 0.2, Gamma: 0.0002",20,3,376,955,72.00886263,0,40,,,
"Nu: 0.2, Gamma: 0.0003",20,3,376,955,72.00886263,0,40,,,
"Nu: 0.2, Gamma: 0.0004",20,3,376,955,72.00886263,0,40,,,
"Nu: 0.2, Gamma: 0.005",20,3,375,956,72.08271787,0,40,,,
"Nu: 0.2, Gamma: 0.05",20,3,277,1054,79.32053176,0,40,,,
"Nu: 0.2, Gamma: 0.0625",20,3,237,1094,82.27474151,0,40,,,
"Nu: 0.2, Gamma: 0.1",20,3,196,1135,85.3028065,0,40,,,
"Nu: 0.2, Gamma: 0.2",20,3,22,1309,98.15361891,0,40,,,
"Nu: 0.2, Gamma: 0.5",22,1,0,1331,99.92614476,0,40,,,
"Nu: 0.2, Gamma: 0.7",22,1,0,1331,99.92614476,0,40,,,
"Nu: 0.2, Gamma: 0.9",22,1,0,1331,99.92614476,0,40,,,
"Nu: 0.2, Gamma: 0.99",22,1,0,1331,99.92614476,0,40,,,
"Nu: 0.5, Gamma: 0.0001",22,1,323,1008,76.07090103,0,40,,,
"Nu: 0.5, Gamma: 0.0002",20,3,68,1263,94.7562777,0,40,,,
"Nu: 0.5, Gamma: 0.0003",1,22,0,1331,98.37518464,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,20,0,1331,98.52289513,0,40,,,
"Nu: 0.5, Gamma: 0.005",13,10,0,1331,99.26144756,0,40,,,
"Nu: 0.5, Gamma: 0.05",16,7,0,1331,99.48301329,0,40,,,
"Nu: 0.5, Gamma: 0.0625",16,7,0,1331,99.48301329,0,40,,,
"Nu: 0.5, Gamma: 0.1",15,8,0,1331,99.40915805,0,40,,,
"Nu: 0.5, Gamma: 0.2",14,9,0,1331,99.33530281,0,40,,,
"Nu: 0.5, Gamma: 0.5",11,12,0,1331,99.11373708,0,40,,,
"Nu: 0.5, Gamma: 0.7",11,12,0,1331,99.11373708,0,40,,,
"Nu: 0.5, Gamma: 0.9",11,12,0,1331,99.11373708,0,40,,,
"Nu: 0.5, Gamma: 0.99",11,12,0,1331,99.11373708,0,40,,,
"Nu: 0.7, Gamma: 0.0001",20,3,172,1159,87.07533235,0,40,,,
"Nu: 0.7, Gamma: 0.0002",20,3,30,1301,97.56277696,0,40,,,
"Nu: 0.7, Gamma: 0.0003",17,6,0,1331,99.55686854,0,40,,,
"Nu: 0.7, Gamma: 0.0004",15,8,0,1331,99.40915805,0,40,,,
"Nu: 0.7, Gamma: 0.005",5,18,0,1331,98.67060561,0,40,,,
"Nu: 0.7, Gamma: 0.05",10,13,0,1331,99.03988183,0,40,,,
"Nu: 0.7, Gamma: 0.0625",9,14,0,1331,98.96602659,0,40,,,
"Nu: 0.7, Gamma: 0.1",8,15,0,1331,98.89217134,0,40,,,
"Nu: 0.7, Gamma: 0.2",6,17,0,1331,98.74446086,0,40,,,
"Nu: 0.7, Gamma: 0.5",8,15,0,1331,98.89217134,0,40,,,
"Nu: 0.7, Gamma: 0.7",7,16,0,1331,98.8183161,0,40,,,
"Nu: 0.7, Gamma: 0.9",6,17,0,1331,98.74446086,0,40,,,
"Nu: 0.7, Gamma: 0.99",7,16,0,1331,98.8183161,0,40,,,
"Nu: 0.9, Gamma: 0.0001",6,17,0,1331,98.74446086,0,40,,,
"Nu: 0.9, Gamma: 0.0002",6,17,0,1331,98.74446086,0,40,,,
"Nu: 0.9, Gamma: 0.0003",6,17,0,1331,98.74446086,0,40,,,
"Nu: 0.9, Gamma: 0.0004",6,17,0,1331,98.74446086,0,40,,,
"Nu: 0.9, Gamma: 0.005",6,17,0,1331,98.74446086,0,40,,,
"Nu: 0.9, Gamma: 0.05",5,18,0,1331,98.67060561,0,40,,,
"Nu: 0.9, Gamma: 0.0625",3,20,0,1331,98.52289513,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,21,0,1331,98.44903988,0,40,,,
"Nu: 0.9, Gamma: 0.2",3,20,0,1331,98.52289513,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,21,0,1331,98.44903988,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,21,0,1331,98.44903988,0,40,,,
"Nu: 0.9, Gamma: 0.9",2,21,0,1331,98.44903988,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,21,0,1331,98.44903988,0,40,,,
"Nu: 0.99, Gamma: 0.0001",18,5,0,1331,99.63072378,0,40,,,
"Nu: 0.99, Gamma: 0.0002",18,5,0,1331,99.63072378,0,40,,,
"Nu: 0.99, Gamma: 0.0003",18,5,0,1331,99.63072378,0,40,,,
"Nu: 0.99, Gamma: 0.0004",17,6,0,1331,99.55686854,0,40,,,
"Nu: 0.99, Gamma: 0.005",3,20,0,1331,98.52289513,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,23,0,1331,98.30132939,0,40,,,
,,,,,,,,,,
Target Class: facesim_drop,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0001, Gamma: 0.005",130,4,229,1,35.98901099,0,40,,,
"Nu: 0.0001, Gamma: 0.05",134,0,230,0,36.81318681,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0001, Gamma: 0.1",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0001, Gamma: 0.2",129,5,225,5,36.81318681,0,40,,,
"Nu: 0.0001, Gamma: 0.5",113,21,192,38,41.48351648,0,40,,,
"Nu: 0.0001, Gamma: 0.7",99,35,196,34,36.53846154,0,40,,,
"Nu: 0.0001, Gamma: 0.9",100,34,195,35,37.08791209,0,40,,,
"Nu: 0.0001, Gamma: 0.99",100,34,200,30,35.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",130,4,229,1,35.98901099,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",130,4,229,1,35.98901099,0,40,,,
"Nu: 0.0002, Gamma: 0.005",134,0,230,0,36.81318681,0,40,,,
"Nu: 0.0002, Gamma: 0.05",134,0,230,0,36.81318681,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0002, Gamma: 0.1",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0002, Gamma: 0.2",129,5,225,5,36.81318681,0,40,,,
"Nu: 0.0002, Gamma: 0.5",114,20,215,15,35.43956044,0,40,,,
"Nu: 0.0002, Gamma: 0.7",132,2,203,27,43.68131868,0,40,,,
"Nu: 0.0002, Gamma: 0.9",125,9,193,37,44.50549451,0,40,,,
"Nu: 0.0002, Gamma: 0.99",109,25,192,38,40.38461538,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",130,4,229,1,35.98901099,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",130,4,229,1,35.98901099,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",130,4,229,1,35.98901099,0,40,,,
"Nu: 0.0003, Gamma: 0.005",134,0,230,0,36.81318681,0,40,,,
"Nu: 0.0003, Gamma: 0.05",134,0,230,0,36.81318681,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0003, Gamma: 0.1",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0003, Gamma: 0.2",127,7,223,7,36.81318681,0,40,,,
"Nu: 0.0003, Gamma: 0.5",126,8,196,34,43.95604396,0,40,,,
"Nu: 0.0003, Gamma: 0.7",132,2,203,27,43.68131868,0,40,,,
"Nu: 0.0003, Gamma: 0.9",120,14,188,42,44.50549451,0,40,,,
"Nu: 0.0003, Gamma: 0.99",117,17,189,41,43.40659341,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",130,4,229,1,35.98901099,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",130,4,229,1,35.98901099,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",130,4,229,1,35.98901099,0,40,,,
"Nu: 0.0004, Gamma: 0.005",134,0,230,0,36.81318681,0,40,,,
"Nu: 0.0004, Gamma: 0.05",134,0,230,0,36.81318681,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0004, Gamma: 0.1",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0004, Gamma: 0.2",127,7,223,7,36.81318681,0,40,,,
"Nu: 0.0004, Gamma: 0.5",126,8,196,34,43.95604396,0,40,,,
"Nu: 0.0004, Gamma: 0.7",134,0,201,29,44.78021978,0,40,,,
"Nu: 0.0004, Gamma: 0.9",120,14,188,42,44.50549451,0,40,,,
"Nu: 0.0004, Gamma: 0.99",127,7,183,47,47.8021978,0,40,,,
"Nu: 0.005, Gamma: 0.0001",107,27,189,41,40.65934066,0,40,,,
"Nu: 0.005, Gamma: 0.0002",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.0003",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.0004",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.005",134,0,228,2,37.36263736,0,40,,,
"Nu: 0.005, Gamma: 0.05",134,0,228,2,37.36263736,0,40,,,
"Nu: 0.005, Gamma: 0.0625",134,0,228,2,37.36263736,0,40,,,
"Nu: 0.005, Gamma: 0.1",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.2",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.5",134,0,194,36,46.7032967,0,40,,,
"Nu: 0.005, Gamma: 0.7",134,0,200,30,45.05494505,0,40,,,
"Nu: 0.005, Gamma: 0.9",134,0,189,41,48.07692308,0,40,,,
"Nu: 0.005, Gamma: 0.99",133,1,185,45,48.9010989,0,40,,,
"Nu: 0.05, Gamma: 0.0001",133,1,227,3,37.36263736,0,40,,,
"Nu: 0.05, Gamma: 0.0002",130,4,227,3,36.53846154,0,40,,,
"Nu: 0.05, Gamma: 0.0003",132,2,227,3,37.08791209,0,40,,,
"Nu: 0.05, Gamma: 0.0004",132,2,227,3,37.08791209,0,40,,,
"Nu: 0.05, Gamma: 0.005",132,2,227,3,37.08791209,0,40,,,
"Nu: 0.05, Gamma: 0.05",132,2,227,3,37.08791209,0,40,,,
"Nu: 0.05, Gamma: 0.0625",132,2,227,3,37.08791209,0,40,,,
"Nu: 0.05, Gamma: 0.1",132,2,227,3,37.08791209,0,40,,,
"Nu: 0.05, Gamma: 0.2",130,4,225,5,37.08791209,0,40,,,
"Nu: 0.05, Gamma: 0.5",126,8,191,39,45.32967033,0,40,,,
"Nu: 0.05, Gamma: 0.7",133,1,187,43,48.35164835,0,40,,,
"Nu: 0.05, Gamma: 0.9",133,1,187,43,48.35164835,0,40,,,
"Nu: 0.05, Gamma: 0.99",132,2,181,49,49.72527473,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",131,3,227,3,36.81318681,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",131,3,227,3,36.81318681,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",131,3,227,3,36.81318681,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",131,3,227,3,36.81318681,0,40,,,
"Nu: 0.0625, Gamma: 0.005",131,3,227,3,36.81318681,0,40,,,
"Nu: 0.0625, Gamma: 0.05",131,3,227,3,36.81318681,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",131,3,227,3,36.81318681,0,40,,,
"Nu: 0.0625, Gamma: 0.1",131,3,227,3,36.81318681,0,40,,,
"Nu: 0.0625, Gamma: 0.2",128,6,225,5,36.53846154,0,40,,,
"Nu: 0.0625, Gamma: 0.5",126,8,191,39,45.32967033,0,40,,,
"Nu: 0.0625, Gamma: 0.7",133,1,187,43,48.35164835,0,40,,,
"Nu: 0.0625, Gamma: 0.9",132,2,186,44,48.35164835,0,40,,,
"Nu: 0.0625, Gamma: 0.99",131,3,182,48,49.17582418,0,40,,,
"Nu: 0.1, Gamma: 0.0001",125,9,227,3,35.16483516,0,40,,,
"Nu: 0.1, Gamma: 0.0002",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.1, Gamma: 0.0003",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.1, Gamma: 0.0004",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.1, Gamma: 0.005",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.1, Gamma: 0.05",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.1, Gamma: 0.0625",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.1, Gamma: 0.1",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.1, Gamma: 0.2",122,12,215,15,37.63736264,0,40,,,
"Nu: 0.1, Gamma: 0.5",122,12,191,39,44.23076923,0,40,,,
"Nu: 0.1, Gamma: 0.7",131,3,186,44,48.07692308,0,40,,,
"Nu: 0.1, Gamma: 0.9",131,3,187,43,47.8021978,0,40,,,
"Nu: 0.1, Gamma: 0.99",129,5,184,46,48.07692308,0,40,,,
"Nu: 0.2, Gamma: 0.0001",109,25,222,8,32.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.0002",108,26,222,8,31.86813187,0,40,,,
"Nu: 0.2, Gamma: 0.0003",108,26,222,8,31.86813187,0,40,,,
"Nu: 0.2, Gamma: 0.0004",108,26,222,8,31.86813187,0,40,,,
"Nu: 0.2, Gamma: 0.005",108,26,222,8,31.86813187,0,40,,,
"Nu: 0.2, Gamma: 0.05",108,26,221,9,32.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.0625",108,26,221,9,32.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.1",108,26,218,12,32.96703297,0,40,,,
"Nu: 0.2, Gamma: 0.2",106,28,186,44,41.20879121,0,40,,,
"Nu: 0.2, Gamma: 0.5",110,24,179,51,44.23076923,0,40,,,
"Nu: 0.2, Gamma: 0.7",113,21,177,53,45.6043956,0,40,,,
"Nu: 0.2, Gamma: 0.9",115,19,177,53,46.15384615,0,40,,,
"Nu: 0.2, Gamma: 0.99",115,19,175,55,46.7032967,0,40,,,
"Nu: 0.5, Gamma: 0.0001",70,64,154,76,40.10989011,0,40,,,
"Nu: 0.5, Gamma: 0.0002",72,62,154,76,40.65934066,0,40,,,
"Nu: 0.5, Gamma: 0.0003",72,62,154,76,40.65934066,0,40,,,
"Nu: 0.5, Gamma: 0.0004",72,62,154,76,40.65934066,0,40,,,
"Nu: 0.5, Gamma: 0.005",72,62,154,76,40.65934066,0,40,,,
"Nu: 0.5, Gamma: 0.05",73,61,154,76,40.93406593,0,40,,,
"Nu: 0.5, Gamma: 0.0625",74,60,154,76,41.20879121,0,40,,,
"Nu: 0.5, Gamma: 0.1",74,60,153,77,41.48351648,0,40,,,
"Nu: 0.5, Gamma: 0.2",73,61,159,71,39.56043956,0,40,,,
"Nu: 0.5, Gamma: 0.5",59,75,147,83,39.01098901,0,40,,,
"Nu: 0.5, Gamma: 0.7",60,74,147,83,39.28571429,0,40,,,
"Nu: 0.5, Gamma: 0.9",63,71,145,85,40.65934066,0,40,,,
"Nu: 0.5, Gamma: 0.99",64,70,144,86,41.20879121,0,40,,,
"Nu: 0.7, Gamma: 0.0001",44,90,10,220,72.52747253,0,40,,,
"Nu: 0.7, Gamma: 0.0002",44,90,10,220,72.52747253,0,40,,,
"Nu: 0.7, Gamma: 0.0003",44,90,10,220,72.52747253,0,40,,,
"Nu: 0.7, Gamma: 0.0004",44,90,10,220,72.52747253,0,40,,,
"Nu: 0.7, Gamma: 0.005",45,89,10,220,72.8021978,0,40,,,
"Nu: 0.7, Gamma: 0.05",47,87,10,220,73.35164835,0,40,,,
"Nu: 0.7, Gamma: 0.0625",46,88,10,220,73.07692308,0,40,,,
"Nu: 0.7, Gamma: 0.1",47,87,10,220,73.35164835,0,40,,,
"Nu: 0.7, Gamma: 0.2",47,87,10,220,73.35164835,0,40,,,
"Nu: 0.7, Gamma: 0.5",37,97,147,83,32.96703297,0,40,,,
"Nu: 0.7, Gamma: 0.7",35,99,147,83,32.41758242,0,40,,,
"Nu: 0.7, Gamma: 0.9",32,102,147,83,31.59340659,0,40,,,
"Nu: 0.7, Gamma: 0.99",32,102,147,83,31.59340659,0,40,,,
"Nu: 0.9, Gamma: 0.0001",14,120,7,223,65.10989011,0,40,,,
"Nu: 0.9, Gamma: 0.0002",15,119,7,223,65.38461538,0,40,,,
"Nu: 0.9, Gamma: 0.0003",15,119,7,223,65.38461538,0,40,,,
"Nu: 0.9, Gamma: 0.0004",15,119,7,223,65.38461538,0,40,,,
"Nu: 0.9, Gamma: 0.005",17,117,7,223,65.93406593,0,40,,,
"Nu: 0.9, Gamma: 0.05",18,116,6,224,66.48351648,0,40,,,
"Nu: 0.9, Gamma: 0.0625",18,116,6,224,66.48351648,0,40,,,
"Nu: 0.9, Gamma: 0.1",16,118,3,227,66.75824176,0,40,,,
"Nu: 0.9, Gamma: 0.2",11,123,0,230,66.20879121,0,40,,,
"Nu: 0.9, Gamma: 0.5",14,120,133,97,30.49450549,0,40,,,
"Nu: 0.9, Gamma: 0.7",13,121,133,97,30.21978022,0,40,,,
"Nu: 0.9, Gamma: 0.9",10,124,133,97,29.3956044,0,40,,,
"Nu: 0.9, Gamma: 0.99",10,124,132,98,29.67032967,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,134,0,230,63.18681319,0,40,,,
