Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.81021898,156
"Nu: 0.5, Gamma: 0.05",3,1,51,82,62.04379562,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,1,51,82,62.04379562,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,1,50,83,62.77372263,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,1,48,85,64.23357664,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,48,85,63.50364964,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,3,44,89,65.69343066,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,3,42,91,67.15328467,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,3,39,94,69.34306569,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,14,119,87.59124088,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,3,19,114,83.94160584,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,3,19,114,83.94160584,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,3,19,114,83.94160584,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,2,23,110,81.75182482,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,20,113,83.21167883,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,20,113,83.21167883,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,2,25,108,80.2919708,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,21,112,82.48175182,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,22,111,81.75182482,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,3,16,117,86.13138686,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,11,122,89.7810219,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,10,123,90.51094891,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,3,23,110,81.02189781,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,11,122,89.05109489,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,11,122,89.05109489,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,11,122,89.05109489,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,5,128,93.43065693,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,6,127,92.70072993,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,8,125,91.24087591,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,7,126,91.97080292,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,8,125,91.24087591,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,3,4,129,94.89051095,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,3,0,133,97.81021898,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,3,0,133,97.81021898,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,3,0,133,97.81021898,0,40,,,
"Nu: 0.99, Gamma: 0.0001",1,3,22,111,81.75182482,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,5,128,93.43065693,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,5,128,93.43065693,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,5,128,93.43065693,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,5,128,93.43065693,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,4,129,94.16058394,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,4,129,94.16058394,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,3,130,94.89051095,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,1,132,96.35036496,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,133,97.08029197,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,133,97.08029197,0,40,,,
