Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,212
"Nu: 0.99, Gamma: 0.0625",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,41,91.11111111,0,40,,,
,,,,,,,,,,
Target Class: bodytrack_Pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.05",2,3,8,31,75,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",1,4,8,31,72.72727273,0,40,,,
"Nu: 0.0001, Gamma: 0.1",0,5,8,31,70.45454545,0,40,,,
"Nu: 0.0001, Gamma: 0.2",0,5,2,37,84.09090909,0,40,,,
"Nu: 0.0001, Gamma: 0.5",2,3,3,36,86.36363636,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,5,1,38,86.36363636,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.05",2,3,8,31,75,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",1,4,8,31,72.72727273,0,40,,,
"Nu: 0.0002, Gamma: 0.1",4,1,30,9,29.54545455,0,40,,,
"Nu: 0.0002, Gamma: 0.2",5,0,25,14,43.18181818,0,40,,,
"Nu: 0.0002, Gamma: 0.5",4,1,4,35,88.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.7",2,3,1,38,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.9",3,2,1,38,93.18181818,0,40,,,
"Nu: 0.0002, Gamma: 0.99",3,2,1,38,93.18181818,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.05",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",5,0,31,8,29.54545455,0,40,,,
