Features: 16,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.7, Gamma: 0.05",1,4,19,29,56.60377358490566,0,40,
"Nu: 0.7, Gamma: 0.0625",1,4,19,29,56.60377358490566,0,40,
"Nu: 0.7, Gamma: 0.1",1,4,19,29,56.60377358490566,0,40,
"Nu: 0.7, Gamma: 0.2",1,4,19,29,56.60377358490566,0,40,
"Nu: 0.7, Gamma: 0.5",1,4,15,33,64.15094339622641,0,40,
"Nu: 0.7, Gamma: 0.7",1,4,14,34,66.0377358490566,0,40,
"Nu: 0.7, Gamma: 0.9",2,3,12,36,71.69811320754717,0,40,
"Nu: 0.7, Gamma: 0.99",2,3,10,38,75.47169811320755,0,40,
"Nu: 0.9, Gamma: 0.0001",1,4,13,35,67.9245283018868,0,40,
"Nu: 0.9, Gamma: 0.0002",1,4,3,45,86.79245283018868,0,40,
"Nu: 0.9, Gamma: 0.0003",1,4,3,45,86.79245283018868,0,40,
"Nu: 0.9, Gamma: 0.0004",1,4,3,45,86.79245283018868,0,40,
"Nu: 0.9, Gamma: 0.005",1,4,5,43,83.01886792452831,0,40,
"Nu: 0.9, Gamma: 0.05",1,4,5,43,83.01886792452831,0,40,
"Nu: 0.9, Gamma: 0.0625",1,4,5,43,83.01886792452831,0,40,
"Nu: 0.9, Gamma: 0.1",1,4,6,42,81.13207547169812,0,40,
"Nu: 0.9, Gamma: 0.2",1,4,7,41,79.24528301886792,0,40,
"Nu: 0.9, Gamma: 0.5",1,4,6,42,81.13207547169812,0,40,
"Nu: 0.9, Gamma: 0.7",1,4,5,43,83.01886792452831,0,40,
"Nu: 0.9, Gamma: 0.9",1,4,4,44,84.90566037735849,0,40,
"Nu: 0.9, Gamma: 0.99",1,4,4,44,84.90566037735849,0,40,
"Nu: 0.99, Gamma: 0.0001",1,4,12,36,69.81132075471697,0,40,
"Nu: 0.99, Gamma: 0.0002",1,4,3,45,86.79245283018868,0,40,
"Nu: 0.99, Gamma: 0.0003",1,4,3,45,86.79245283018868,0,40,
"Nu: 0.99, Gamma: 0.0004",1,4,3,45,86.79245283018868,0,40,
