Features: 16,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.9, Gamma: 0.7",2,3,13,37,70.9090909090909,10,40,
"Nu: 0.9, Gamma: 0.9",4,1,14,36,72.72727272727273,10,40,
"Nu: 0.9, Gamma: 0.99",4,1,14,36,72.72727272727273,10,40,
"Nu: 0.99, Gamma: 0.0001",0,5,4,46,83.63636363636363,10,40,
"Nu: 0.99, Gamma: 0.0002",0,5,4,46,83.63636363636363,10,40,
"Nu: 0.99, Gamma: 0.0003",0,5,4,46,83.63636363636363,10,40,
"Nu: 0.99, Gamma: 0.0004",0,5,4,46,83.63636363636363,10,40,
"Nu: 0.99, Gamma: 0.005",0,5,4,46,83.63636363636363,10,40,
"Nu: 0.99, Gamma: 0.05",0,5,4,46,83.63636363636363,10,40,
"Nu: 0.99, Gamma: 0.0625",0,5,4,46,83.63636363636363,10,40,
"Nu: 0.99, Gamma: 0.1",0,5,4,46,83.63636363636363,10,40,
"Nu: 0.99, Gamma: 0.2",0,5,4,46,83.63636363636363,10,40,
"Nu: 0.99, Gamma: 0.5",0,5,5,45,81.81818181818183,10,40,
"Nu: 0.99, Gamma: 0.7",0,5,3,47,85.45454545454545,10,40,
"Nu: 0.99, Gamma: 0.9",0,5,2,48,87.27272727272727,10,40,
"Nu: 0.99, Gamma: 0.99",0,5,2,48,87.27272727272727,10,40,
,,,,,,,,
