Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,91.07142857,174
"Nu: 0.1, Gamma: 0.9",2,4,22,27,52.72727273,0,40,,,
"Nu: 0.1, Gamma: 0.99",2,4,20,29,56.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.0001",4,2,37,12,29.09090909,0,40,,,
"Nu: 0.2, Gamma: 0.0002",4,2,37,12,29.09090909,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,2,37,12,29.09090909,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,2,37,12,29.09090909,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,2,37,12,29.09090909,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,2,36,13,30.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,2,36,13,30.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,2,34,15,34.54545455,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,3,22,27,54.54545455,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,4,36,13,27.27272727,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,4,33,16,32.72727273,0,40,,,
"Nu: 0.2, Gamma: 0.9",2,4,22,27,52.72727273,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,4,21,28,54.54545455,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,3,20,29,58.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,3,20,29,58.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,3,20,29,58.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,3,20,29,58.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,3,20,29,58.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,3,20,29,58.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,3,20,29,58.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,3,20,29,58.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,3,20,29,58.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.5",1,5,20,29,54.54545455,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,5,20,29,54.54545455,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,5,17,32,60,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,5,17,32,60,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,6,7,42,76.36363636,0,40,,,
"Nu: 0.7, Gamma: 0.0002",0,6,15,34,61.81818182,0,40,,,
