Features: 16,,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.20143885,26
"Nu: 0.1, Gamma: 0.05",9,1,218,50,21.22302158,0,40,,,
"Nu: 0.1, Gamma: 0.0625",9,1,209,59,24.46043165,0,40,,,
"Nu: 0.1, Gamma: 0.1",9,1,183,85,33.81294964,0,40,,,
"Nu: 0.1, Gamma: 0.2",9,1,119,149,56.83453237,0,40,,,
"Nu: 0.1, Gamma: 0.5",10,0,21,247,92.44604317,0,40,,,
"Nu: 0.1, Gamma: 0.7",10,0,15,253,94.60431655,0,40,,,
"Nu: 0.1, Gamma: 0.9",9,1,13,255,94.96402878,0,40,,,
"Nu: 0.1, Gamma: 0.99",8,2,13,255,94.60431655,0,40,,,
"Nu: 0.2, Gamma: 0.0001",7,3,210,58,23.38129496,0,40,,,
"Nu: 0.2, Gamma: 0.0002",7,3,210,58,23.38129496,0,40,,,
"Nu: 0.2, Gamma: 0.0003",7,3,210,58,23.38129496,0,40,,,
"Nu: 0.2, Gamma: 0.0004",7,3,209,59,23.74100719,0,40,,,
"Nu: 0.2, Gamma: 0.005",7,3,211,57,23.02158273,0,40,,,
"Nu: 0.2, Gamma: 0.05",7,3,192,76,29.85611511,0,40,,,
"Nu: 0.2, Gamma: 0.0625",7,3,187,81,31.65467626,0,40,,,
"Nu: 0.2, Gamma: 0.1",8,2,159,109,42.08633094,0,40,,,
"Nu: 0.2, Gamma: 0.2",7,3,83,185,69.0647482,0,40,,,
"Nu: 0.2, Gamma: 0.5",8,2,13,255,94.60431655,0,40,,,
"Nu: 0.2, Gamma: 0.7",7,3,6,262,96.76258993,0,40,,,
"Nu: 0.2, Gamma: 0.9",7,3,8,260,96.04316547,0,40,,,
"Nu: 0.2, Gamma: 0.99",7,3,8,260,96.04316547,0,40,,,
"Nu: 0.5, Gamma: 0.0001",1,9,19,249,89.92805755,0,40,,,
"Nu: 0.5, Gamma: 0.0002",1,9,18,250,90.28776978,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,8,23,245,88.84892086,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,8,23,245,88.84892086,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,8,20,248,89.92805755,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,8,20,248,89.92805755,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,8,20,248,89.92805755,0,40,,,
"Nu: 0.5, Gamma: 0.1",1,9,19,249,89.92805755,0,40,,,
"Nu: 0.5, Gamma: 0.2",1,9,12,256,92.44604317,0,40,,,
"Nu: 0.5, Gamma: 0.5",3,7,5,263,95.68345324,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,8,0,268,97.12230216,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,8,0,268,97.12230216,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,8,0,268,97.12230216,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.7, Gamma: 0.0002",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,9,5,263,94.96402878,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,9,5,263,94.96402878,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,9,3,265,95.68345324,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,9,3,265,95.68345324,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,9,2,266,96.04316547,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,9,2,266,96.04316547,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,9,2,266,96.04316547,0,40,,,
"Nu: 0.7, Gamma: 0.5",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.7, Gamma: 0.7",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.7, Gamma: 0.9",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.7, Gamma: 0.99",0,10,0,268,96.4028777,0,40,,,
