Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.91281604,421
"Nu: 0.7, Gamma: 0.99",51,63,0,116,72.60869565,10,40,,,
"Nu: 0.9, Gamma: 0.0001",23,91,0,116,60.43478261,10,40,,,
"Nu: 0.9, Gamma: 0.0002",23,91,0,116,60.43478261,10,40,,,
"Nu: 0.9, Gamma: 0.0003",23,91,0,116,60.43478261,10,40,,,
"Nu: 0.9, Gamma: 0.0004",23,91,0,116,60.43478261,10,40,,,
"Nu: 0.9, Gamma: 0.005",23,91,0,116,60.43478261,10,40,,,
"Nu: 0.9, Gamma: 0.05",23,91,0,116,60.43478261,10,40,,,
"Nu: 0.9, Gamma: 0.0625",23,91,0,116,60.43478261,10,40,,,
"Nu: 0.9, Gamma: 0.1",23,91,0,116,60.43478261,10,40,,,
"Nu: 0.9, Gamma: 0.2",23,91,0,116,60.43478261,10,40,,,
"Nu: 0.9, Gamma: 0.5",23,91,0,116,60.43478261,10,40,,,
"Nu: 0.9, Gamma: 0.7",22,92,0,116,60,10,40,,,
"Nu: 0.9, Gamma: 0.9",22,92,0,116,60,10,40,,,
"Nu: 0.9, Gamma: 0.99",22,92,0,116,60,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,114,0,116,50.43478261,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,114,0,116,50.43478261,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,114,0,116,50.43478261,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,114,0,116,50.43478261,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,114,0,116,50.43478261,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,114,0,116,50.43478261,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,114,0,116,50.43478261,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,114,0,116,50.43478261,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,114,0,116,50.43478261,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,114,0,116,50.43478261,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,114,0,116,50.43478261,10,40,,,
"Nu: 0.99, Gamma: 0.9",1,113,0,116,50.86956522,10,40,,,
"Nu: 0.99, Gamma: 0.99",1,113,0,116,50.86956522,10,40,,,
