Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.91281604,421
"Nu: 0.5, Gamma: 0.0001",3,9,0,1135,99.21534438,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,9,0,1135,99.21534438,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,9,0,1135,99.21534438,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,9,0,1135,99.21534438,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,9,0,1135,99.21534438,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,9,0,1135,99.21534438,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,9,0,1135,99.21534438,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,9,0,1135,99.21534438,0,40,,,
"Nu: 0.5, Gamma: 0.2",4,8,0,1135,99.30252833,0,40,,,
"Nu: 0.5, Gamma: 0.5",3,9,0,1135,99.21534438,0,40,,,
"Nu: 0.5, Gamma: 0.7",3,9,0,1135,99.21534438,0,40,,,
"Nu: 0.5, Gamma: 0.9",4,8,0,1135,99.30252833,0,40,,,
"Nu: 0.5, Gamma: 0.99",5,7,0,1135,99.38971229,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,11,0,1135,99.04097646,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,11,0,1135,99.04097646,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,11,0,1135,99.04097646,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,11,0,1135,99.04097646,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,11,0,1135,99.04097646,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,11,0,1135,99.04097646,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,11,0,1135,99.04097646,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,11,0,1135,99.04097646,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,11,0,1135,99.04097646,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,11,0,1135,99.04097646,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,11,0,1135,99.04097646,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,11,0,1135,99.04097646,0,40,,,
"Nu: 0.9, Gamma: 0.0001",2,10,0,1135,99.12816042,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,1135,98.9537925,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,1135,98.9537925,0,40,,,
,,,,,,,,,,
Target Class: streamcluster_dropped,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0001, Gamma: 0.005",114,0,102,14,55.65217391,0,40,,,
"Nu: 0.0001, Gamma: 0.05",114,0,103,13,55.2173913,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",114,0,103,13,55.2173913,0,40,,,
"Nu: 0.0001, Gamma: 0.1",114,0,102,14,55.65217391,0,40,,,
"Nu: 0.0001, Gamma: 0.2",113,1,74,42,67.39130435,0,40,,,
"Nu: 0.0001, Gamma: 0.5",112,2,16,100,92.17391304,0,40,,,
"Nu: 0.0001, Gamma: 0.7",112,2,13,103,93.47826087,0,40,,,
"Nu: 0.0001, Gamma: 0.9",109,5,12,104,92.60869565,0,40,,,
"Nu: 0.0001, Gamma: 0.99",111,3,11,105,93.91304348,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0002, Gamma: 0.005",114,0,102,14,55.65217391,0,40,,,
"Nu: 0.0002, Gamma: 0.05",114,0,103,13,55.2173913,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",114,0,103,13,55.2173913,0,40,,,
"Nu: 0.0002, Gamma: 0.1",114,0,102,14,55.65217391,0,40,,,
"Nu: 0.0002, Gamma: 0.2",113,1,74,42,67.39130435,0,40,,,
"Nu: 0.0002, Gamma: 0.5",112,2,15,101,92.60869565,0,40,,,
"Nu: 0.0002, Gamma: 0.7",112,2,13,103,93.47826087,0,40,,,
"Nu: 0.0002, Gamma: 0.9",111,3,12,104,93.47826087,0,40,,,
"Nu: 0.0002, Gamma: 0.99",111,3,12,104,93.47826087,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0003, Gamma: 0.005",114,0,103,13,55.2173913,0,40,,,
"Nu: 0.0003, Gamma: 0.05",114,0,103,13,55.2173913,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",114,0,103,13,55.2173913,0,40,,,
"Nu: 0.0003, Gamma: 0.1",114,0,102,14,55.65217391,0,40,,,
"Nu: 0.0003, Gamma: 0.2",113,1,74,42,67.39130435,0,40,,,
"Nu: 0.0003, Gamma: 0.5",112,2,15,101,92.60869565,0,40,,,
"Nu: 0.0003, Gamma: 0.7",112,2,13,103,93.47826087,0,40,,,
"Nu: 0.0003, Gamma: 0.9",111,3,12,104,93.47826087,0,40,,,
"Nu: 0.0003, Gamma: 0.99",111,3,12,104,93.47826087,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.0004, Gamma: 0.005",114,0,103,13,55.2173913,0,40,,,
"Nu: 0.0004, Gamma: 0.05",114,0,103,13,55.2173913,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",114,0,103,13,55.2173913,0,40,,,
"Nu: 0.0004, Gamma: 0.1",114,0,102,14,55.65217391,0,40,,,
"Nu: 0.0004, Gamma: 0.2",113,1,74,42,67.39130435,0,40,,,
"Nu: 0.0004, Gamma: 0.5",112,2,16,100,92.17391304,0,40,,,
"Nu: 0.0004, Gamma: 0.7",112,2,13,103,93.47826087,0,40,,,
"Nu: 0.0004, Gamma: 0.9",111,3,12,104,93.47826087,0,40,,,
"Nu: 0.0004, Gamma: 0.99",111,3,12,104,93.47826087,0,40,,,
"Nu: 0.005, Gamma: 0.0001",114,0,103,13,55.2173913,0,40,,,
"Nu: 0.005, Gamma: 0.0002",113,1,102,14,55.2173913,0,40,,,
"Nu: 0.005, Gamma: 0.0003",113,1,102,14,55.2173913,0,40,,,
"Nu: 0.005, Gamma: 0.0004",113,1,102,14,55.2173913,0,40,,,
"Nu: 0.005, Gamma: 0.005",113,1,102,14,55.2173913,0,40,,,
"Nu: 0.005, Gamma: 0.05",113,1,101,15,55.65217391,0,40,,,
"Nu: 0.005, Gamma: 0.0625",113,1,101,15,55.65217391,0,40,,,
"Nu: 0.005, Gamma: 0.1",113,1,99,17,56.52173913,0,40,,,
"Nu: 0.005, Gamma: 0.2",113,1,70,46,69.13043478,0,40,,,
"Nu: 0.005, Gamma: 0.5",112,2,15,101,92.60869565,0,40,,,
"Nu: 0.005, Gamma: 0.7",112,2,12,104,93.91304348,0,40,,,
"Nu: 0.005, Gamma: 0.9",111,3,12,104,93.47826087,0,40,,,
"Nu: 0.005, Gamma: 0.99",111,3,11,105,93.91304348,0,40,,,
"Nu: 0.05, Gamma: 0.0001",110,4,52,64,75.65217391,0,40,,,
"Nu: 0.05, Gamma: 0.0002",110,4,52,64,75.65217391,0,40,,,
"Nu: 0.05, Gamma: 0.0003",110,4,52,64,75.65217391,0,40,,,
"Nu: 0.05, Gamma: 0.0004",110,4,52,64,75.65217391,0,40,,,
"Nu: 0.05, Gamma: 0.005",110,4,50,66,76.52173913,0,40,,,
