Features: 16,,,,,,,,,,
Target Class: facesim,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.92657856,104
"Nu: 0.0004, Gamma: 0.7",23,0,599,740,56.020558,0,40,,,
"Nu: 0.0004, Gamma: 0.9",7,16,404,935,69.16299559,0,40,,,
"Nu: 0.0004, Gamma: 0.99",6,17,224,1115,82.30543319,0,40,,,
"Nu: 0.005, Gamma: 0.0001",6,17,891,448,33.33333333,0,40,,,
"Nu: 0.005, Gamma: 0.0002",6,17,891,448,33.33333333,0,40,,,
"Nu: 0.005, Gamma: 0.0003",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.005, Gamma: 0.0004",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.005, Gamma: 0.005",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.005, Gamma: 0.05",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.005, Gamma: 0.0625",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.005, Gamma: 0.1",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.005, Gamma: 0.2",23,0,1302,37,4.405286344,0,40,,,
"Nu: 0.005, Gamma: 0.5",23,0,1135,204,16.66666667,0,40,,,
"Nu: 0.005, Gamma: 0.7",23,0,710,629,47.87077827,0,40,,,
"Nu: 0.005, Gamma: 0.9",23,0,421,918,69.08957416,0,40,,,
"Nu: 0.005, Gamma: 0.99",23,0,410,929,69.89720999,0,40,,,
"Nu: 0.05, Gamma: 0.0001",1,22,359,980,72.02643172,0,40,,,
"Nu: 0.05, Gamma: 0.0002",17,6,385,954,71.29221733,0,40,,,
"Nu: 0.05, Gamma: 0.0003",23,0,693,646,49.11894273,0,40,,,
"Nu: 0.05, Gamma: 0.0004",23,0,693,646,49.11894273,0,40,,,
"Nu: 0.05, Gamma: 0.005",23,0,681,658,50,0,40,,,
"Nu: 0.05, Gamma: 0.05",23,0,680,659,50.07342144,0,40,,,
"Nu: 0.05, Gamma: 0.0625",23,0,680,659,50.07342144,0,40,,,
"Nu: 0.05, Gamma: 0.1",23,0,677,662,50.29368576,0,40,,,
"Nu: 0.05, Gamma: 0.2",23,0,672,667,50.66079295,0,40,,,
"Nu: 0.05, Gamma: 0.5",23,0,343,996,74.8164464,0,40,,,
"Nu: 0.05, Gamma: 0.7",22,1,12,1327,99.04552129,0,40,,,
"Nu: 0.05, Gamma: 0.9",22,1,21,1318,98.38472834,0,40,,,
"Nu: 0.05, Gamma: 0.99",22,1,186,1153,86.2701909,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",23,0,821,518,39.72099853,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",16,7,371,968,72.24669604,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",23,0,672,667,50.66079295,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",23,0,672,667,50.66079295,0,40,,,
"Nu: 0.0625, Gamma: 0.005",23,0,644,695,52.71659325,0,40,,,
"Nu: 0.0625, Gamma: 0.05",23,0,646,693,52.56975037,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",23,0,646,693,52.56975037,0,40,,,
"Nu: 0.0625, Gamma: 0.1",23,0,660,679,51.54185022,0,40,,,
"Nu: 0.0625, Gamma: 0.2",23,0,656,683,51.83553598,0,40,,,
"Nu: 0.0625, Gamma: 0.5",23,0,295,1044,78.34067548,0,40,,,
"Nu: 0.0625, Gamma: 0.7",22,1,2,1337,99.77973568,0,40,,,
"Nu: 0.0625, Gamma: 0.9",22,1,2,1337,99.77973568,0,40,,,
"Nu: 0.0625, Gamma: 0.99",22,1,2,1337,99.77973568,0,40,,,
"Nu: 0.1, Gamma: 0.0001",20,3,599,740,55.80029369,0,40,,,
"Nu: 0.1, Gamma: 0.0002",21,2,614,725,54.77239354,0,40,,,
"Nu: 0.1, Gamma: 0.0003",23,0,626,713,54.03817915,0,40,,,
"Nu: 0.1, Gamma: 0.0004",21,2,604,735,55.50660793,0,40,,,
"Nu: 0.1, Gamma: 0.005",23,0,615,724,54.84581498,0,40,,,
"Nu: 0.1, Gamma: 0.05",22,1,609,730,55.21292217,0,40,,,
"Nu: 0.1, Gamma: 0.0625",22,1,609,730,55.21292217,0,40,,,
"Nu: 0.1, Gamma: 0.1",22,1,608,731,55.28634361,0,40,,,
"Nu: 0.1, Gamma: 0.2",22,1,603,736,55.65345081,0,40,,,
"Nu: 0.1, Gamma: 0.5",22,1,449,890,66.96035242,0,40,,,
"Nu: 0.1, Gamma: 0.7",22,1,0,1339,99.92657856,0,40,HERE,,
"Nu: 0.1, Gamma: 0.9",22,1,0,1339,99.92657856,0,40,,,
"Nu: 0.1, Gamma: 0.99",22,1,0,1339,99.92657856,0,40,,,
"Nu: 0.2, Gamma: 0.0001",22,1,541,798,60.20558003,0,40,,,
"Nu: 0.2, Gamma: 0.0002",20,3,370,969,72.61380323,0,40,,,
"Nu: 0.2, Gamma: 0.0003",20,3,370,969,72.61380323,0,40,,,
"Nu: 0.2, Gamma: 0.0004",20,3,370,969,72.61380323,0,40,,,
"Nu: 0.2, Gamma: 0.005",20,3,366,973,72.90748899,0,40,,,
"Nu: 0.2, Gamma: 0.05",20,3,248,1091,81.5712188,0,40,,,
"Nu: 0.2, Gamma: 0.0625",20,3,194,1145,85.53597651,0,40,,,
"Nu: 0.2, Gamma: 0.1",20,3,153,1186,88.54625551,0,40,,,
"Nu: 0.2, Gamma: 0.2",20,3,20,1319,98.3113069,0,40,,,
"Nu: 0.2, Gamma: 0.5",22,1,0,1339,99.92657856,0,40,,,
"Nu: 0.2, Gamma: 0.7",22,1,0,1339,99.92657856,0,40,,,
"Nu: 0.2, Gamma: 0.9",22,1,0,1339,99.92657856,0,40,,,
"Nu: 0.2, Gamma: 0.99",22,1,0,1339,99.92657856,0,40,,,
"Nu: 0.5, Gamma: 0.0001",22,1,204,1135,84.94860499,0,40,,,
"Nu: 0.5, Gamma: 0.0002",20,3,75,1264,94.27312775,0,40,,,
"Nu: 0.5, Gamma: 0.0003",1,22,0,1339,98.38472834,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,20,0,1339,98.53157122,0,40,,,
"Nu: 0.5, Gamma: 0.005",13,10,0,1339,99.26578561,0,40,,,
"Nu: 0.5, Gamma: 0.05",16,7,0,1339,99.48604993,0,40,,,
"Nu: 0.5, Gamma: 0.0625",16,7,0,1339,99.48604993,0,40,,,
"Nu: 0.5, Gamma: 0.1",15,8,0,1339,99.41262849,0,40,,,
"Nu: 0.5, Gamma: 0.2",14,9,0,1339,99.33920705,0,40,,,
"Nu: 0.5, Gamma: 0.5",11,12,0,1339,99.11894273,0,40,,,
"Nu: 0.5, Gamma: 0.7",11,12,0,1339,99.11894273,0,40,,,
"Nu: 0.5, Gamma: 0.9",11,12,0,1339,99.11894273,0,40,,,
"Nu: 0.5, Gamma: 0.99",11,12,0,1339,99.11894273,0,40,,,
"Nu: 0.7, Gamma: 0.0001",20,3,126,1213,90.52863436,0,40,,,
"Nu: 0.7, Gamma: 0.0002",20,3,22,1317,98.16446402,0,40,,,
"Nu: 0.7, Gamma: 0.0003",17,6,0,1339,99.55947137,0,40,,,
"Nu: 0.7, Gamma: 0.0004",15,8,0,1339,99.41262849,0,40,,,
"Nu: 0.7, Gamma: 0.005",5,18,0,1339,98.6784141,0,40,,,
"Nu: 0.7, Gamma: 0.05",10,13,0,1339,99.04552129,0,40,,,
"Nu: 0.7, Gamma: 0.0625",9,14,0,1339,98.97209985,0,40,,,
"Nu: 0.7, Gamma: 0.1",8,15,0,1339,98.89867841,0,40,,,
"Nu: 0.7, Gamma: 0.2",6,17,0,1339,98.75183554,0,40,,,
"Nu: 0.7, Gamma: 0.5",8,15,0,1339,98.89867841,0,40,,,
"Nu: 0.7, Gamma: 0.7",7,16,0,1339,98.82525698,0,40,,,
"Nu: 0.7, Gamma: 0.9",6,17,0,1339,98.75183554,0,40,,,
"Nu: 0.7, Gamma: 0.99",7,16,0,1339,98.82525698,0,40,,,
"Nu: 0.9, Gamma: 0.0001",6,17,0,1339,98.75183554,0,40,,,
"Nu: 0.9, Gamma: 0.0002",6,17,0,1339,98.75183554,0,40,,,
"Nu: 0.9, Gamma: 0.0003",6,17,0,1339,98.75183554,0,40,,,
"Nu: 0.9, Gamma: 0.0004",6,17,0,1339,98.75183554,0,40,,,
"Nu: 0.9, Gamma: 0.005",6,17,0,1339,98.75183554,0,40,,,
"Nu: 0.9, Gamma: 0.05",5,18,0,1339,98.6784141,0,40,,,
"Nu: 0.9, Gamma: 0.0625",3,20,0,1339,98.53157122,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,21,0,1339,98.45814978,0,40,,,
"Nu: 0.9, Gamma: 0.2",3,20,0,1339,98.53157122,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,21,0,1339,98.45814978,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,21,0,1339,98.45814978,0,40,,,
"Nu: 0.9, Gamma: 0.9",2,21,0,1339,98.45814978,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,21,0,1339,98.45814978,0,40,,,
"Nu: 0.99, Gamma: 0.0001",18,5,0,1339,99.6328928,0,40,,,
"Nu: 0.99, Gamma: 0.0002",18,5,0,1339,99.6328928,0,40,,,
"Nu: 0.99, Gamma: 0.0003",18,5,0,1339,99.6328928,0,40,,,
"Nu: 0.99, Gamma: 0.0004",17,6,0,1339,99.55947137,0,40,,,
"Nu: 0.99, Gamma: 0.005",3,20,0,1339,98.53157122,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,23,0,1339,98.3113069,0,40,,,
,,,,,,,,,,
Target Class: facesim_Drop,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0001, Gamma: 0.005",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0001, Gamma: 0.05",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0001, Gamma: 0.1",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0001, Gamma: 0.2",125,9,221,9,36.81318681,0,40,,,
"Nu: 0.0001, Gamma: 0.5",122,12,215,15,37.63736264,0,40,,,
"Nu: 0.0001, Gamma: 0.7",124,10,226,4,35.16483516,0,40,,,
"Nu: 0.0001, Gamma: 0.9",101,33,194,36,37.63736264,0,40,,,
"Nu: 0.0001, Gamma: 0.99",91,43,199,31,33.51648352,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0002, Gamma: 0.005",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0002, Gamma: 0.05",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0002, Gamma: 0.1",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0002, Gamma: 0.2",131,3,226,4,37.08791209,0,40,,,
"Nu: 0.0002, Gamma: 0.5",134,0,225,5,38.18681319,0,40,,,
"Nu: 0.0002, Gamma: 0.7",132,2,203,27,43.68131868,0,40,,,
"Nu: 0.0002, Gamma: 0.9",118,16,197,33,41.48351648,0,40,,,
"Nu: 0.0002, Gamma: 0.99",119,15,194,36,42.58241758,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",64,70,11,219,77.74725275,0,40,,,
"Nu: 0.0003, Gamma: 0.005",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0003, Gamma: 0.05",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0003, Gamma: 0.1",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0003, Gamma: 0.2",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0003, Gamma: 0.5",134,0,225,5,38.18681319,0,40,,,
"Nu: 0.0003, Gamma: 0.7",127,7,203,27,42.30769231,0,40,,,
"Nu: 0.0003, Gamma: 0.9",119,15,198,32,41.48351648,0,40,,,
"Nu: 0.0003, Gamma: 0.99",120,14,192,38,43.40659341,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",64,70,11,219,77.74725275,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",64,70,11,219,77.74725275,0,40,,,
"Nu: 0.0004, Gamma: 0.005",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0004, Gamma: 0.05",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0004, Gamma: 0.1",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0004, Gamma: 0.2",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.0004, Gamma: 0.5",134,0,225,5,38.18681319,0,40,,,
"Nu: 0.0004, Gamma: 0.7",122,12,203,27,40.93406593,0,40,,,
"Nu: 0.0004, Gamma: 0.9",118,16,198,32,41.20879121,0,40,,,
"Nu: 0.0004, Gamma: 0.99",131,3,193,37,46.15384615,0,40,,,
"Nu: 0.005, Gamma: 0.0001",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.0002",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.0003",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.0004",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.005",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.05",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.0625",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.1",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.2",134,0,229,1,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.5",134,0,225,5,38.18681319,0,40,,,
"Nu: 0.005, Gamma: 0.7",130,4,203,27,43.13186813,0,40,,,
"Nu: 0.005, Gamma: 0.9",132,2,198,32,45.05494505,0,40,,,
"Nu: 0.005, Gamma: 0.99",133,1,193,37,46.7032967,0,40,,,
"Nu: 0.05, Gamma: 0.0001",127,7,227,3,35.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.0002",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.05, Gamma: 0.0003",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.05, Gamma: 0.0004",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.05, Gamma: 0.005",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.05, Gamma: 0.05",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.05, Gamma: 0.0625",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.05, Gamma: 0.1",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.05, Gamma: 0.2",125,9,225,5,35.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.5",129,5,192,38,45.87912088,0,40,,,
"Nu: 0.05, Gamma: 0.7",124,10,188,42,45.6043956,0,40,,,
"Nu: 0.05, Gamma: 0.9",122,12,187,43,45.32967033,0,40,,,
"Nu: 0.05, Gamma: 0.99",124,10,180,50,47.8021978,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",123,11,227,3,34.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",123,11,227,3,34.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",125,9,227,3,35.16483516,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",125,9,227,3,35.16483516,0,40,,,
"Nu: 0.0625, Gamma: 0.005",125,9,227,3,35.16483516,0,40,,,
"Nu: 0.0625, Gamma: 0.05",125,9,227,3,35.16483516,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",125,9,227,3,35.16483516,0,40,,,
"Nu: 0.0625, Gamma: 0.1",125,9,227,3,35.16483516,0,40,,,
"Nu: 0.0625, Gamma: 0.2",124,10,225,5,35.43956044,0,40,,,
"Nu: 0.0625, Gamma: 0.5",125,9,190,40,45.32967033,0,40,,,
"Nu: 0.0625, Gamma: 0.7",120,14,187,43,44.78021978,0,40,,,
"Nu: 0.0625, Gamma: 0.9",121,13,187,43,45.05494505,0,40,,,
"Nu: 0.0625, Gamma: 0.99",122,12,181,49,46.97802198,0,40,,,
"Nu: 0.1, Gamma: 0.0001",122,12,227,3,34.34065934,0,40,,,
"Nu: 0.1, Gamma: 0.0002",122,12,226,4,34.61538462,0,40,,,
"Nu: 0.1, Gamma: 0.0003",122,12,226,4,34.61538462,0,40,,,
"Nu: 0.1, Gamma: 0.0004",122,12,226,4,34.61538462,0,40,,,
"Nu: 0.1, Gamma: 0.005",122,12,226,4,34.61538462,0,40,,,
"Nu: 0.1, Gamma: 0.05",122,12,226,4,34.61538462,0,40,,,
"Nu: 0.1, Gamma: 0.0625",122,12,226,4,34.61538462,0,40,,,
"Nu: 0.1, Gamma: 0.1",122,12,226,4,34.61538462,0,40,,,
"Nu: 0.1, Gamma: 0.2",121,13,223,7,35.16483516,0,40,,,
"Nu: 0.1, Gamma: 0.5",120,14,191,39,43.68131868,0,40,,,
"Nu: 0.1, Gamma: 0.7",114,20,186,44,43.40659341,0,40,,,
"Nu: 0.1, Gamma: 0.9",113,21,186,44,43.13186813,0,40,,,
"Nu: 0.1, Gamma: 0.99",113,21,181,49,44.50549451,0,40,,,
"Nu: 0.2, Gamma: 0.0001",111,23,223,7,32.41758242,0,40,,,
"Nu: 0.2, Gamma: 0.0002",111,23,223,7,32.41758242,0,40,,,
"Nu: 0.2, Gamma: 0.0003",111,23,223,7,32.41758242,0,40,,,
"Nu: 0.2, Gamma: 0.0004",111,23,223,7,32.41758242,0,40,,,
"Nu: 0.2, Gamma: 0.005",111,23,223,7,32.41758242,0,40,,,
"Nu: 0.2, Gamma: 0.05",111,23,223,7,32.41758242,0,40,,,
"Nu: 0.2, Gamma: 0.0625",111,23,223,7,32.41758242,0,40,,,
"Nu: 0.2, Gamma: 0.1",111,23,221,9,32.96703297,0,40,,,
"Nu: 0.2, Gamma: 0.2",110,24,193,37,40.38461538,0,40,,,
"Nu: 0.2, Gamma: 0.5",110,24,179,51,44.23076923,0,40,,,
"Nu: 0.2, Gamma: 0.7",103,31,177,53,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.9",100,34,180,50,41.20879121,0,40,,,
"Nu: 0.2, Gamma: 0.99",102,32,171,59,44.23076923,0,40,,,
"Nu: 0.5, Gamma: 0.0001",72,62,156,74,40.10989011,0,40,,,
"Nu: 0.5, Gamma: 0.0002",72,62,158,72,39.56043956,0,40,,,
"Nu: 0.5, Gamma: 0.0003",72,62,158,72,39.56043956,0,40,,,
"Nu: 0.5, Gamma: 0.0004",72,62,158,72,39.56043956,0,40,,,
"Nu: 0.5, Gamma: 0.005",72,62,158,72,39.56043956,0,40,,,
"Nu: 0.5, Gamma: 0.05",70,64,158,72,39.01098901,0,40,,,
"Nu: 0.5, Gamma: 0.0625",71,63,158,72,39.28571429,0,40,,,
"Nu: 0.5, Gamma: 0.1",71,63,158,72,39.28571429,0,40,,,
"Nu: 0.5, Gamma: 0.2",70,64,162,68,37.91208791,0,40,,,
"Nu: 0.5, Gamma: 0.5",68,66,147,83,41.48351648,0,40,,,
"Nu: 0.5, Gamma: 0.7",63,71,147,83,40.10989011,0,40,,,
"Nu: 0.5, Gamma: 0.9",66,68,145,85,41.48351648,0,40,,,
"Nu: 0.5, Gamma: 0.99",65,69,145,85,41.20879121,0,40,,,
"Nu: 0.7, Gamma: 0.0001",49,85,10,220,73.9010989,0,40,,,
"Nu: 0.7, Gamma: 0.0002",49,85,10,220,73.9010989,0,40,,,
"Nu: 0.7, Gamma: 0.0003",49,85,10,220,73.9010989,0,40,,,
"Nu: 0.7, Gamma: 0.0004",49,85,10,220,73.9010989,0,40,,,
"Nu: 0.7, Gamma: 0.005",49,85,10,220,73.9010989,0,40,,,
"Nu: 0.7, Gamma: 0.05",49,85,10,220,73.9010989,0,40,,,
"Nu: 0.7, Gamma: 0.0625",49,85,10,220,73.9010989,0,40,,,
"Nu: 0.7, Gamma: 0.1",46,88,10,220,73.07692308,0,40,,,
"Nu: 0.7, Gamma: 0.2",48,86,10,220,73.62637363,0,40,,,
"Nu: 0.7, Gamma: 0.5",33,101,148,82,31.59340659,0,40,,,
"Nu: 0.7, Gamma: 0.7",35,99,147,83,32.41758242,0,40,,,
"Nu: 0.7, Gamma: 0.9",33,101,147,83,31.86813187,0,40,,,
"Nu: 0.7, Gamma: 0.99",36,98,145,85,33.24175824,0,40,,,
"Nu: 0.9, Gamma: 0.0001",16,118,5,225,66.20879121,0,40,,,
"Nu: 0.9, Gamma: 0.0002",16,118,5,225,66.20879121,0,40,,,
"Nu: 0.9, Gamma: 0.0003",16,118,5,225,66.20879121,0,40,,,
"Nu: 0.9, Gamma: 0.0004",16,118,5,225,66.20879121,0,40,,,
"Nu: 0.9, Gamma: 0.005",16,118,5,225,66.20879121,0,40,,,
"Nu: 0.9, Gamma: 0.05",17,117,3,227,67.03296703,0,40,,,
"Nu: 0.9, Gamma: 0.0625",16,118,2,228,67.03296703,0,40,,,
"Nu: 0.9, Gamma: 0.1",15,119,0,230,67.30769231,0,40,,,
"Nu: 0.9, Gamma: 0.2",16,118,0,230,67.58241758,0,40,,,
"Nu: 0.9, Gamma: 0.5",14,120,0,230,67.03296703,0,40,,,
"Nu: 0.9, Gamma: 0.7",13,121,135,95,29.67032967,0,40,,,
"Nu: 0.9, Gamma: 0.9",12,122,135,95,29.3956044,0,40,,,
"Nu: 0.9, Gamma: 0.99",12,122,134,96,29.67032967,0,40,,,
"Nu: 0.99, Gamma: 0.0001",1,133,0,230,63.46153846,0,40,,,
"Nu: 0.99, Gamma: 0.0002",1,133,0,230,63.46153846,0,40,,,
