Features: 16,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.5, Gamma: 0.1",2,3,21,8,29.411764705882355,0,40,
"Nu: 0.5, Gamma: 0.2",2,3,16,13,44.11764705882353,0,40,
"Nu: 0.5, Gamma: 0.5",1,4,0,29,88.23529411764706,0,40,
"Nu: 0.5, Gamma: 0.7",1,4,0,29,88.23529411764706,0,40,
"Nu: 0.5, Gamma: 0.9",1,4,0,29,88.23529411764706,0,40,
"Nu: 0.5, Gamma: 0.99",1,4,0,29,88.23529411764706,0,40,
"Nu: 0.7, Gamma: 0.0001",2,3,24,5,20.588235294117645,0,40,
"Nu: 0.7, Gamma: 0.0002",2,3,24,5,20.588235294117645,0,40,
"Nu: 0.7, Gamma: 0.0003",2,3,23,6,23.52941176470588,0,40,
"Nu: 0.7, Gamma: 0.0004",2,3,22,7,26.47058823529412,0,40,
"Nu: 0.7, Gamma: 0.005",2,3,22,7,26.47058823529412,0,40,
"Nu: 0.7, Gamma: 0.05",2,3,22,7,26.47058823529412,0,40,
"Nu: 0.7, Gamma: 0.0625",2,3,22,7,26.47058823529412,0,40,
"Nu: 0.7, Gamma: 0.1",2,3,21,8,29.411764705882355,0,40,
"Nu: 0.7, Gamma: 0.2",1,4,16,13,41.17647058823529,0,40,
"Nu: 0.7, Gamma: 0.5",1,4,0,29,88.23529411764706,0,40,
"Nu: 0.7, Gamma: 0.7",1,4,0,29,88.23529411764706,0,40,
"Nu: 0.7, Gamma: 0.9",1,4,0,29,88.23529411764706,0,40,
"Nu: 0.7, Gamma: 0.99",1,4,0,29,88.23529411764706,0,40,
"Nu: 0.9, Gamma: 0.0001",1,4,22,7,23.52941176470588,0,40,
"Nu: 0.9, Gamma: 0.0002",1,4,22,7,23.52941176470588,0,40,
"Nu: 0.9, Gamma: 0.0003",1,4,22,7,23.52941176470588,0,40,
"Nu: 0.9, Gamma: 0.0004",1,4,22,7,23.52941176470588,0,40,
"Nu: 0.9, Gamma: 0.005",1,4,22,7,23.52941176470588,0,40,
"Nu: 0.9, Gamma: 0.05",2,3,22,7,26.47058823529412,0,40,
"Nu: 0.9, Gamma: 0.0625",2,3,22,7,26.47058823529412,0,40,
"Nu: 0.9, Gamma: 0.1",2,3,20,9,32.35294117647059,0,40,
"Nu: 0.9, Gamma: 0.2",1,4,16,13,41.17647058823529,0,40,
"Nu: 0.9, Gamma: 0.5",1,4,0,29,88.23529411764706,0,40,
"Nu: 0.9, Gamma: 0.7",1,4,0,29,88.23529411764706,0,40,
"Nu: 0.9, Gamma: 0.9",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.9, Gamma: 0.99",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.99, Gamma: 0.0001",0,5,2,27,79.41176470588235,0,40,
"Nu: 0.99, Gamma: 0.0002",0,5,2,27,79.41176470588235,0,40,
"Nu: 0.99, Gamma: 0.0003",0,5,2,27,79.41176470588235,0,40,
"Nu: 0.99, Gamma: 0.0004",0,5,2,27,79.41176470588235,0,40,
"Nu: 0.99, Gamma: 0.005",0,5,2,27,79.41176470588235,0,40,
"Nu: 0.99, Gamma: 0.05",0,5,5,24,70.58823529411765,0,40,
"Nu: 0.99, Gamma: 0.0625",0,5,13,16,47.05882352941176,0,40,
"Nu: 0.99, Gamma: 0.1",0,5,17,12,35.294117647058826,0,40,
"Nu: 0.99, Gamma: 0.2",1,4,15,14,44.11764705882353,0,40,
"Nu: 0.99, Gamma: 0.5",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.99, Gamma: 0.7",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.99, Gamma: 0.9",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.99, Gamma: 0.99",0,5,0,29,85.29411764705883,0,40,
,,,,,,,,
Target Class: swaptions_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0001, Gamma: 0.005",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0001, Gamma: 0.05",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0001, Gamma: 0.0625",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0001, Gamma: 0.1",1,2,1,43,93.61702127659575,0,40,
"Nu: 0.0001, Gamma: 0.2",1,2,4,40,87.2340425531915,0,40,
"Nu: 0.0001, Gamma: 0.5",0,3,15,29,61.702127659574465,0,40,
"Nu: 0.0001, Gamma: 0.7",0,3,3,41,87.2340425531915,0,40,
"Nu: 0.0001, Gamma: 0.9",0,3,3,41,87.2340425531915,0,40,
"Nu: 0.0001, Gamma: 0.99",0,3,3,41,87.2340425531915,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0002, Gamma: 0.005",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0002, Gamma: 0.05",1,2,6,38,82.97872340425532,0,40,
"Nu: 0.0002, Gamma: 0.0625",3,0,20,24,57.446808510638306,0,40,
"Nu: 0.0002, Gamma: 0.1",3,0,9,35,80.85106382978722,0,40,
"Nu: 0.0002, Gamma: 0.2",1,2,16,28,61.702127659574465,0,40,
"Nu: 0.0002, Gamma: 0.5",0,3,4,40,85.1063829787234,0,40,
"Nu: 0.0002, Gamma: 0.7",1,2,4,40,87.2340425531915,0,40,
"Nu: 0.0002, Gamma: 0.9",0,3,4,40,85.1063829787234,0,40,
"Nu: 0.0002, Gamma: 0.99",0,3,4,40,85.1063829787234,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0003, Gamma: 0.005",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0003, Gamma: 0.05",3,0,21,23,55.319148936170215,0,40,
"Nu: 0.0003, Gamma: 0.0625",3,0,20,24,57.446808510638306,0,40,
"Nu: 0.0003, Gamma: 0.1",3,0,9,35,80.85106382978722,0,40,
"Nu: 0.0003, Gamma: 0.2",2,1,1,43,95.74468085106383,0,40,
"Nu: 0.0003, Gamma: 0.5",2,1,1,43,95.74468085106383,0,40,
"Nu: 0.0003, Gamma: 0.7",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0003, Gamma: 0.9",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.0003, Gamma: 0.99",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.0004, Gamma: 0.005",0,3,0,44,93.61702127659575,0,40,
