Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.10526316,160
"Nu: 0.99, Gamma: 0.0625",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,2,32,84.21052632,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,2,32,84.21052632,0,40,,,
"Nu: 0.99, Gamma: 0.7",1,3,0,34,92.10526316,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,34,89.47368421,0,40,,,
,,,,,,,,,,
Target Class: fluidanimate_pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.05",2,2,29,2,11.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",2,2,29,2,11.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.1",2,2,29,2,11.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,2,25,6,22.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,4,1,30,85.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,4,1,30,85.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,4,1,30,85.71428571,0,40,,,
