Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.5,169
"Nu: 0.5, Gamma: 0.0003",3,1,22,14,42.5,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,1,22,14,42.5,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,1,22,14,42.5,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,22,14,40,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,1,22,14,42.5,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,1,23,13,40,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,1,22,14,42.5,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,18,18,50,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,2,17,19,52.5,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,2,16,20,55,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,2,16,20,55,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,13,23,60,0,40,,,
"Nu: 0.7, Gamma: 0.0002",3,1,22,14,42.5,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,3,11,25,65,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,3,11,25,65,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,13,23,60,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,16,20,52.5,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,16,20,52.5,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,16,20,52.5,0,40,,,
"Nu: 0.7, Gamma: 0.2",0,4,19,17,42.5,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,13,23,60,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,2,13,23,62.5,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,2,12,24,65,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,2,12,24,65,0,40,,,
"Nu: 0.9, Gamma: 0.0001",4,0,22,14,45,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,3,11,25,65,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,3,11,25,65,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,3,6,30,77.5,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,3,11,25,65,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,3,11,25,65,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,3,11,25,65,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,11,25,62.5,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,5,31,77.5,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,3,2,34,87.5,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,3,3,33,85,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,3,3,33,85,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,3,3,33,85,0,40,,,
"Nu: 0.99, Gamma: 0.0001",3,1,21,15,45,0,40,,,
"Nu: 0.99, Gamma: 0.0002",1,3,1,35,90,0,40,,,
"Nu: 0.99, Gamma: 0.0003",1,3,1,35,90,0,40,,,
"Nu: 0.99, Gamma: 0.0004",1,3,1,35,90,0,40,,,
"Nu: 0.99, Gamma: 0.005",1,3,1,35,90,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,1,35,87.5,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,1,35,87.5,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,1,35,87.5,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,3,33,82.5,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,1,35,87.5,0,40,,,
"Nu: 0.99, Gamma: 0.7",1,3,0,36,92.5,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,36,90,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,36,90,0,40,,,
,,,,,,,,,,
Target Class: fluidanimate_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.05",3,1,30,1,11.42857143,0,40,,,
