Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.91902834,447
"Nu: 0.9, Gamma: 0.9",2,22,0,1211,98.21862348,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,22,0,1211,98.21862348,0,40,,,
"Nu: 0.99, Gamma: 0.0001",12,12,0,1211,99.02834008,0,40,,,
"Nu: 0.99, Gamma: 0.0002",12,12,0,1211,99.02834008,0,40,,,
"Nu: 0.99, Gamma: 0.0003",12,12,0,1211,99.02834008,0,40,,,
"Nu: 0.99, Gamma: 0.0004",12,12,0,1211,99.02834008,0,40,,,
"Nu: 0.99, Gamma: 0.005",3,21,0,1211,98.29959514,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,24,0,1211,98.05668016,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,24,0,1211,98.05668016,0,40,,,
,,,,,,,,,,
Target Class: facesim_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,122,0,231,65.43909348,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,122,0,231,65.43909348,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,122,0,231,65.43909348,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,122,0,231,65.43909348,0,40,,,
"Nu: 0.0001, Gamma: 0.005",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0001, Gamma: 0.05",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0001, Gamma: 0.1",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0001, Gamma: 0.2",120,2,224,7,35.97733711,0,40,,,
"Nu: 0.0001, Gamma: 0.5",118,4,218,13,37.11048159,0,40,,,
"Nu: 0.0001, Gamma: 0.7",119,3,222,9,36.26062323,0,40,,,
"Nu: 0.0001, Gamma: 0.9",120,2,224,7,35.97733711,0,40,,,
"Nu: 0.0001, Gamma: 0.99",116,6,228,3,33.71104816,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,122,0,231,65.43909348,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,122,0,231,65.43909348,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,122,0,231,65.43909348,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,122,0,231,65.43909348,0,40,,,
"Nu: 0.0002, Gamma: 0.005",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0002, Gamma: 0.05",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0002, Gamma: 0.1",121,1,229,2,34.84419263,0,40,,,
