Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.63126844,116
"Nu: 0.9, Gamma: 0.1",3,21,1,1331,98.37758112,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,23,0,1332,98.30383481,0,40,,,
"Nu: 0.9, Gamma: 0.5",3,21,0,1332,98.45132743,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,22,0,1332,98.37758112,0,40,,,
"Nu: 0.9, Gamma: 0.9",2,22,0,1332,98.37758112,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,22,0,1332,98.37758112,0,40,,,
"Nu: 0.99, Gamma: 0.0001",12,12,5,1327,98.74631268,0,40,,,
"Nu: 0.99, Gamma: 0.0002",12,12,5,1327,98.74631268,0,40,,,
"Nu: 0.99, Gamma: 0.0003",12,12,5,1327,98.74631268,0,40,,,
"Nu: 0.99, Gamma: 0.0004",12,12,5,1327,98.74631268,0,40,,,
"Nu: 0.99, Gamma: 0.005",3,21,5,1327,98.08259587,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,24,2,1330,98.08259587,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,24,0,1332,98.2300885,0,40,,,
,,,,,,,,,,
Target Class: facesim_MRU,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0001, Gamma: 0.005",134,0,231,0,36.71232877,0,40,,,
"Nu: 0.0001, Gamma: 0.05",134,0,231,0,36.71232877,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",134,0,229,2,37.26027397,0,40,,,
"Nu: 0.0001, Gamma: 0.1",134,0,229,2,37.26027397,0,40,,,
"Nu: 0.0001, Gamma: 0.2",126,8,224,7,36.43835616,0,40,,,
"Nu: 0.0001, Gamma: 0.5",118,16,209,22,38.35616438,0,40,,,
"Nu: 0.0001, Gamma: 0.7",125,9,204,27,41.64383562,0,40,,,
"Nu: 0.0001, Gamma: 0.9",111,23,200,31,38.90410959,0,40,,,
"Nu: 0.0001, Gamma: 0.99",113,21,203,28,38.63013699,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0002, Gamma: 0.005",134,0,231,0,36.71232877,0,40,,,
"Nu: 0.0002, Gamma: 0.05",134,0,231,0,36.71232877,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",134,0,229,2,37.26027397,0,40,,,
"Nu: 0.0002, Gamma: 0.1",134,0,229,2,37.26027397,0,40,,,
"Nu: 0.0002, Gamma: 0.2",126,8,224,7,36.43835616,0,40,,,
"Nu: 0.0002, Gamma: 0.5",126,8,225,6,36.16438356,0,40,,,
"Nu: 0.0002, Gamma: 0.7",130,4,205,26,42.73972603,0,40,,,
"Nu: 0.0002, Gamma: 0.9",131,3,203,28,43.56164384,0,40,,,
"Nu: 0.0002, Gamma: 0.99",129,5,193,38,45.75342466,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0003, Gamma: 0.005",134,0,231,0,36.71232877,0,40,,,
"Nu: 0.0003, Gamma: 0.05",134,0,231,0,36.71232877,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",134,0,229,2,37.26027397,0,40,,,
"Nu: 0.0003, Gamma: 0.1",134,0,229,2,37.26027397,0,40,,,
"Nu: 0.0003, Gamma: 0.2",131,3,230,1,36.16438356,0,40,,,
"Nu: 0.0003, Gamma: 0.5",131,3,226,5,37.26027397,0,40,,,
"Nu: 0.0003, Gamma: 0.7",133,1,205,26,43.56164384,0,40,,,
"Nu: 0.0003, Gamma: 0.9",134,0,197,34,46.02739726,0,40,,,
"Nu: 0.0003, Gamma: 0.99",130,4,193,38,46.02739726,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,134,0,231,63.28767123,0,40,,,
"Nu: 0.0004, Gamma: 0.005",134,0,231,0,36.71232877,0,40,,,
"Nu: 0.0004, Gamma: 0.05",134,0,231,0,36.71232877,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",134,0,229,2,37.26027397,0,40,,,
