Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.28571429,681
"Nu: 0.99, Gamma: 0.5",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,25,86.20689655,0,40,,,
,,,,,,,,,,
Target Class: raytrace_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.05",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.1",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.2",3,0,12,20,65.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.05",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.2",3,0,12,20,65.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.5",0,3,20,12,34.28571429,0,40,,,
"Nu: 0.0002, Gamma: 0.7",0,3,18,14,40,0,40,,,
"Nu: 0.0002, Gamma: 0.9",0,3,18,14,40,0,40,,,
"Nu: 0.0002, Gamma: 0.99",0,3,18,14,40,0,40,,,
