Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.67105263,804
"Nu: 0.5, Gamma: 0.0003",3,9,0,292,97.03947368,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,9,0,292,97.03947368,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,9,0,292,97.03947368,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,9,0,292,97.03947368,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,9,0,292,97.03947368,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,9,0,292,97.03947368,0,40,,,
"Nu: 0.5, Gamma: 0.2",4,8,0,292,97.36842105,0,40,,,
"Nu: 0.5, Gamma: 0.5",3,9,0,292,97.03947368,0,40,,,
"Nu: 0.5, Gamma: 0.7",3,9,0,292,97.03947368,0,40,,,
"Nu: 0.5, Gamma: 0.9",4,8,0,292,97.36842105,0,40,,,
"Nu: 0.5, Gamma: 0.99",5,7,0,292,97.69736842,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,11,0,292,96.38157895,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,11,0,292,96.38157895,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,11,0,292,96.38157895,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,11,0,292,96.38157895,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,11,0,292,96.38157895,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,11,0,292,96.38157895,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,11,0,292,96.38157895,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,11,0,292,96.38157895,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,11,0,292,96.38157895,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,11,0,292,96.38157895,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,11,0,292,96.38157895,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,11,0,292,96.38157895,0,40,,,
"Nu: 0.9, Gamma: 0.0001",2,10,0,292,96.71052632,0,40,,,
