Features: 16,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling
"Nu: 0.2, Gamma: 0.0625",11,1,89,36,34.30656934,0,40
"Nu: 0.2, Gamma: 0.1",11,1,89,36,34.30656934,0,40
"Nu: 0.2, Gamma: 0.2",10,2,82,43,38.68613139,0,40
"Nu: 0.2, Gamma: 0.5",10,2,71,54,46.71532847,0,40
"Nu: 0.2, Gamma: 0.7",11,1,68,57,49.6350365,0,40
"Nu: 0.2, Gamma: 0.9",11,1,60,65,55.47445255,0,40
"Nu: 0.2, Gamma: 0.99",10,2,59,66,55.47445255,0,40
"Nu: 0.5, Gamma: 0.0001",7,5,73,52,43.06569343,0,40
"Nu: 0.5, Gamma: 0.0002",7,5,73,52,43.06569343,0,40
"Nu: 0.5, Gamma: 0.0003",7,5,75,50,41.60583942,0,40
"Nu: 0.5, Gamma: 0.0004",7,5,75,50,41.60583942,0,40
"Nu: 0.5, Gamma: 0.005",7,5,75,50,41.60583942,0,40
"Nu: 0.5, Gamma: 0.05",8,4,75,50,42.33576642,0,40
"Nu: 0.5, Gamma: 0.0625",8,4,75,50,42.33576642,0,40
"Nu: 0.5, Gamma: 0.1",7,5,74,51,42.33576642,0,40
"Nu: 0.5, Gamma: 0.2",8,4,70,55,45.98540146,0,40
"Nu: 0.5, Gamma: 0.5",6,6,55,70,55.47445255,0,40
"Nu: 0.5, Gamma: 0.7",5,7,49,76,59.12408759,0,40
"Nu: 0.5, Gamma: 0.9",6,6,42,83,64.96350365,0,40
"Nu: 0.5, Gamma: 0.99",6,6,39,86,67.15328467,0,40
"Nu: 0.7, Gamma: 0.0001",5,7,46,79,61.31386861,0,40
"Nu: 0.7, Gamma: 0.0002",5,7,46,79,61.31386861,0,40
"Nu: 0.7, Gamma: 0.0003",5,7,46,79,61.31386861,0,40
"Nu: 0.7, Gamma: 0.0004",5,7,46,79,61.31386861,0,40
"Nu: 0.7, Gamma: 0.005",5,7,46,79,61.31386861,0,40
"Nu: 0.7, Gamma: 0.05",5,7,45,80,62.04379562,0,40
"Nu: 0.7, Gamma: 0.0625",5,7,45,80,62.04379562,0,40
"Nu: 0.7, Gamma: 0.1",5,7,45,80,62.04379562,0,40
"Nu: 0.7, Gamma: 0.2",4,8,53,72,55.47445255,0,40
"Nu: 0.7, Gamma: 0.5",4,8,35,90,68.61313869,0,40
"Nu: 0.7, Gamma: 0.7",4,8,29,96,72.99270073,0,40
"Nu: 0.7, Gamma: 0.9",4,8,24,101,76.64233577,0,40
"Nu: 0.7, Gamma: 0.99",4,8,24,101,76.64233577,0,40
"Nu: 0.9, Gamma: 0.0001",3,9,9,116,86.86131387,0,40
"Nu: 0.9, Gamma: 0.0002",3,9,13,112,83.94160584,0,40
"Nu: 0.9, Gamma: 0.0003",3,9,13,112,83.94160584,0,40
"Nu: 0.9, Gamma: 0.0004",3,9,13,112,83.94160584,0,40
"Nu: 0.9, Gamma: 0.005",3,9,13,112,83.94160584,0,40
"Nu: 0.9, Gamma: 0.05",3,9,13,112,83.94160584,0,40
"Nu: 0.9, Gamma: 0.0625",3,9,14,111,83.21167883,0,40
"Nu: 0.9, Gamma: 0.1",4,8,21,104,78.83211679,0,40
"Nu: 0.9, Gamma: 0.2",2,10,19,106,78.83211679,0,40
"Nu: 0.9, Gamma: 0.5",0,12,9,116,84.67153285,0,40
"Nu: 0.9, Gamma: 0.7",1,11,6,119,87.59124088,0,40
"Nu: 0.9, Gamma: 0.9",1,11,3,122,89.7810219,0,40
"Nu: 0.9, Gamma: 0.99",1,11,3,122,89.7810219,0,40
"Nu: 0.99, Gamma: 0.0001",2,10,6,119,88.32116788,0,40
"Nu: 0.99, Gamma: 0.0002",0,12,0,125,91.24087591,0,40
"Nu: 0.99, Gamma: 0.0003",0,12,0,125,91.24087591,0,40
"Nu: 0.99, Gamma: 0.0004",0,12,0,125,91.24087591,0,40
"Nu: 0.99, Gamma: 0.005",0,12,0,125,91.24087591,0,40
"Nu: 0.99, Gamma: 0.05",1,11,0,125,91.97080292,0,40
"Nu: 0.99, Gamma: 0.0625",1,11,0,125,91.97080292,0,40
"Nu: 0.99, Gamma: 0.1",1,11,1,124,91.24087591,0,40
"Nu: 0.99, Gamma: 0.2",0,12,0,125,91.24087591,0,40
"Nu: 0.99, Gamma: 0.5",0,12,0,125,91.24087591,0,40
"Nu: 0.99, Gamma: 0.7",0,12,0,125,91.24087591,0,40
"Nu: 0.99, Gamma: 0.9",0,12,0,125,91.24087591,0,40
"Nu: 0.99, Gamma: 0.99",0,12,0,125,91.24087591,0,40
,,,,,,,
Target Class: vips_Halfcache,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling
"Nu: 0.0001, Gamma: 0.0001",0,13,0,111,89.51612903,0,40
"Nu: 0.0001, Gamma: 0.0002",0,13,0,111,89.51612903,0,40
"Nu: 0.0001, Gamma: 0.0003",0,13,0,111,89.51612903,0,40
"Nu: 0.0001, Gamma: 0.0004",0,13,0,111,89.51612903,0,40
"Nu: 0.0001, Gamma: 0.005",0,13,0,111,89.51612903,0,40
"Nu: 0.0001, Gamma: 0.05",13,0,110,1,11.29032258,0,40
"Nu: 0.0001, Gamma: 0.0625",13,0,110,1,11.29032258,0,40
"Nu: 0.0001, Gamma: 0.1",13,0,90,21,27.41935484,0,40
"Nu: 0.0001, Gamma: 0.2",3,10,60,51,43.5483871,0,40
"Nu: 0.0001, Gamma: 0.5",8,5,18,93,81.4516129,0,40
"Nu: 0.0001, Gamma: 0.7",4,9,15,96,80.64516129,0,40
"Nu: 0.0001, Gamma: 0.9",2,11,25,86,70.96774194,0,40
"Nu: 0.0001, Gamma: 0.99",2,11,20,91,75,0,40
"Nu: 0.0002, Gamma: 0.0001",0,13,0,111,89.51612903,0,40
"Nu: 0.0002, Gamma: 0.0002",0,13,0,111,89.51612903,0,40
"Nu: 0.0002, Gamma: 0.0003",0,13,0,111,89.51612903,0,40
"Nu: 0.0002, Gamma: 0.0004",0,13,0,111,89.51612903,0,40
"Nu: 0.0002, Gamma: 0.005",0,13,0,111,89.51612903,0,40
