Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.302866,128
"Nu: 0.1, Gamma: 0.9",22,1,50,1218,96.04957397,0,40,,,
"Nu: 0.1, Gamma: 0.99",22,1,50,1218,96.04957397,0,40,,,
"Nu: 0.2, Gamma: 0.0001",22,1,510,758,60.4182804,0,40,,,
"Nu: 0.2, Gamma: 0.0002",20,3,349,919,72.73431448,0,40,,,
"Nu: 0.2, Gamma: 0.0003",20,3,349,919,72.73431448,0,40,,,
"Nu: 0.2, Gamma: 0.0004",20,3,349,919,72.73431448,0,40,,,
"Nu: 0.2, Gamma: 0.005",20,3,347,921,72.88923315,0,40,,,
"Nu: 0.2, Gamma: 0.05",20,3,272,996,78.69868319,0,40,,,
"Nu: 0.2, Gamma: 0.0625",20,3,204,1064,83.96591789,0,40,,,
"Nu: 0.2, Gamma: 0.1",20,3,122,1146,90.31758327,0,40,,,
"Nu: 0.2, Gamma: 0.2",20,3,81,1187,93.49341596,0,40,,,
"Nu: 0.2, Gamma: 0.5",22,1,10,1258,99.14794733,0,40,,,
"Nu: 0.2, Gamma: 0.7",22,1,50,1218,96.04957397,0,40,,,
"Nu: 0.2, Gamma: 0.9",22,1,50,1218,96.04957397,0,40,,,
"Nu: 0.2, Gamma: 0.99",22,1,50,1218,96.04957397,0,40,,,
"Nu: 0.5, Gamma: 0.0001",22,1,113,1155,91.16963594,0,40,,,
"Nu: 0.5, Gamma: 0.0002",20,3,94,1174,92.48644462,0,40,,,
"Nu: 0.5, Gamma: 0.0003",1,22,17,1251,96.97908598,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,20,18,1250,97.05654531,0,40,,,
"Nu: 0.5, Gamma: 0.005",13,10,16,1252,97.98605732,0,40,,,
"Nu: 0.5, Gamma: 0.05",16,7,10,1258,98.68319132,0,40,,,
"Nu: 0.5, Gamma: 0.0625",16,7,9,1259,98.76065066,0,40,,,
"Nu: 0.5, Gamma: 0.1",15,8,6,1262,98.91556933,0,40,,,
"Nu: 0.5, Gamma: 0.2",14,9,0,1268,99.302866,0,40,,,
"Nu: 0.5, Gamma: 0.5",11,12,10,1258,98.29589466,0,40,,,
"Nu: 0.5, Gamma: 0.7",11,12,49,1219,95.27498064,0,40,,,
"Nu: 0.5, Gamma: 0.9",11,12,49,1219,95.27498064,0,40,,,
"Nu: 0.5, Gamma: 0.99",11,12,49,1219,95.27498064,0,40,,,
"Nu: 0.7, Gamma: 0.0001",20,3,96,1172,92.33152595,0,40,,,
"Nu: 0.7, Gamma: 0.0002",20,3,77,1191,93.80325329,0,40,,,
"Nu: 0.7, Gamma: 0.0003",17,6,16,1252,98.29589466,0,40,,,
"Nu: 0.7, Gamma: 0.0004",15,8,14,1254,98.29589466,0,40,,,
"Nu: 0.7, Gamma: 0.005",5,18,11,1257,97.75367932,0,40,,,
"Nu: 0.7, Gamma: 0.05",10,13,8,1260,98.37335399,0,40,,,
"Nu: 0.7, Gamma: 0.0625",9,14,7,1261,98.37335399,0,40,,,
"Nu: 0.7, Gamma: 0.1",8,15,3,1265,98.60573199,0,40,,,
