Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.61904762,157
"Nu: 0.7, Gamma: 0.7",1,3,27,95,76.19047619,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,24,98,78.57142857,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,22,100,80.15873016,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,3,26,96,76.98412698,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,13,109,86.50793651,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,13,109,86.50793651,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,13,109,86.50793651,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,11,111,88.0952381,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,14,108,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,14,108,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,16,106,84.12698413,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,18,104,82.53968254,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,3,12,110,88.0952381,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,3,1,121,96.82539683,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,3,0,122,97.61904762,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,3,0,122,97.61904762,0,40,,,
"Nu: 0.99, Gamma: 0.0001",1,3,26,96,76.98412698,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,5,117,92.85714286,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,5,117,92.85714286,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,5,117,92.85714286,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,5,117,92.85714286,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,5,117,92.85714286,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,5,117,92.85714286,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,4,118,93.65079365,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,2,120,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,122,96.82539683,0,40,,,
,,,,,,,,,,
Target Class: ferret_pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0001, Gamma: 0.05",13,0,33,3,32.65306122,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",13,0,33,3,32.65306122,0,40,,,
"Nu: 0.0001, Gamma: 0.1",13,0,30,6,38.7755102,0,40,,,
"Nu: 0.0001, Gamma: 0.2",11,2,16,20,63.26530612,0,40,,,
"Nu: 0.0001, Gamma: 0.5",1,12,0,36,75.51020408,0,40,,,
"Nu: 0.0001, Gamma: 0.7",5,8,7,29,69.3877551,0,40,,,
"Nu: 0.0001, Gamma: 0.9",11,2,7,29,81.63265306,0,40,,,
"Nu: 0.0001, Gamma: 0.99",7,6,3,33,81.63265306,0,40,,,
