Features: 16,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.9, Gamma: 0.1",1,13,8,29,58.82352941176471,10,40,
"Nu: 0.9, Gamma: 0.2",1,13,8,29,58.82352941176471,10,40,
"Nu: 0.9, Gamma: 0.5",2,12,3,34,70.58823529411765,10,40,
"Nu: 0.9, Gamma: 0.7",2,12,2,35,72.54901960784314,10,40,
"Nu: 0.9, Gamma: 0.9",2,12,2,35,72.54901960784314,10,40,
"Nu: 0.9, Gamma: 0.99",2,12,0,37,76.47058823529412,10,40,
"Nu: 0.99, Gamma: 0.0001",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.99, Gamma: 0.0002",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.99, Gamma: 0.0003",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.99, Gamma: 0.0004",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.99, Gamma: 0.005",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.99, Gamma: 0.05",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.99, Gamma: 0.0625",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.99, Gamma: 0.1",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.99, Gamma: 0.2",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.99, Gamma: 0.5",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.99, Gamma: 0.7",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.99, Gamma: 0.9",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.99, Gamma: 0.99",0,14,0,37,72.54901960784314,10,40,
,,,,,,,,
