Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,93.10344828,163
"Nu: 0.2, Gamma: 0.99",3,2,42,11,24.13793103,0,40,,,
"Nu: 0.5, Gamma: 0.0001",1,4,31,22,39.65517241,0,40,,,
"Nu: 0.5, Gamma: 0.0002",1,4,28,25,44.82758621,0,40,,,
"Nu: 0.5, Gamma: 0.0003",1,4,28,25,44.82758621,0,40,,,
"Nu: 0.5, Gamma: 0.0004",1,4,28,25,44.82758621,0,40,,,
"Nu: 0.5, Gamma: 0.005",1,4,30,23,41.37931034,0,40,,,
"Nu: 0.5, Gamma: 0.05",1,4,30,23,41.37931034,0,40,,,
"Nu: 0.5, Gamma: 0.0625",1,4,31,22,39.65517241,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,3,34,19,36.20689655,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,3,33,20,37.93103448,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,3,41,12,24.13793103,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,3,39,14,27.5862069,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,3,38,15,29.31034483,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,3,38,15,29.31034483,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,4,22,31,55.17241379,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,4,19,34,60.34482759,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,4,13,40,70.68965517,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,4,13,40,70.68965517,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,4,13,40,70.68965517,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,4,14,39,68.96551724,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,4,14,39,68.96551724,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,4,14,39,68.96551724,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,4,13,40,70.68965517,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,4,13,40,70.68965517,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,4,17,36,63.79310345,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,3,20,33,60.34482759,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,3,20,33,60.34482759,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,4,13,40,70.68965517,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,4,5,48,84.48275862,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,4,5,48,84.48275862,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,4,5,48,84.48275862,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,4,6,47,82.75862069,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,4,7,46,81.03448276,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,4,8,45,79.31034483,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,4,8,45,79.31034483,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,4,9,44,77.5862069,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,4,9,44,77.5862069,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,4,5,48,84.48275862,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,4,5,48,84.48275862,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,4,5,48,84.48275862,0,40,,,
"Nu: 0.99, Gamma: 0.0001",1,4,11,42,74.13793103,0,40,,,
"Nu: 0.99, Gamma: 0.0002",1,4,5,48,84.48275862,0,40,,,
"Nu: 0.99, Gamma: 0.0003",1,4,5,48,84.48275862,0,40,,,
"Nu: 0.99, Gamma: 0.0004",1,4,5,48,84.48275862,0,40,,,
"Nu: 0.99, Gamma: 0.005",1,4,0,53,93.10344828,0,40,,,
"Nu: 0.99, Gamma: 0.05",1,4,0,53,93.10344828,0,40,,,
"Nu: 0.99, Gamma: 0.0625",1,4,0,53,93.10344828,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,5,2,51,87.93103448,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,5,2,51,87.93103448,0,40,,,
,,,,,,,,,,
Target Class: canneal_Pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0001, Gamma: 0.05",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.1",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.2",0,6,14,36,64.28571429,0,40,,,
"Nu: 0.0001, Gamma: 0.5",4,2,25,25,51.78571429,0,40,,,
"Nu: 0.0001, Gamma: 0.7",4,2,20,30,60.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.9",4,2,22,28,57.14285714,0,40,,,
"Nu: 0.0001, Gamma: 0.99",4,2,22,28,57.14285714,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0002, Gamma: 0.05",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.1",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.2",0,6,14,36,64.28571429,0,40,,,
"Nu: 0.0002, Gamma: 0.5",4,2,25,25,51.78571429,0,40,,,
"Nu: 0.0002, Gamma: 0.7",6,0,40,10,28.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.9",3,3,42,8,19.64285714,0,40,,,
"Nu: 0.0002, Gamma: 0.99",2,4,37,13,26.78571429,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0003, Gamma: 0.005",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0003, Gamma: 0.05",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0003, Gamma: 0.1",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0003, Gamma: 0.2",0,6,5,45,80.35714286,0,40,,,
"Nu: 0.0003, Gamma: 0.5",4,2,25,25,51.78571429,0,40,,,
"Nu: 0.0003, Gamma: 0.7",6,0,40,10,28.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.9",3,3,42,8,19.64285714,0,40,,,
"Nu: 0.0003, Gamma: 0.99",2,4,37,13,26.78571429,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.0004, Gamma: 0.005",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0004, Gamma: 0.05",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0004, Gamma: 0.1",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.0004, Gamma: 0.2",3,3,31,19,39.28571429,0,40,,,
"Nu: 0.0004, Gamma: 0.5",5,1,44,6,19.64285714,0,40,,,
"Nu: 0.0004, Gamma: 0.7",5,1,34,16,37.5,0,40,,,
"Nu: 0.0004, Gamma: 0.9",3,3,42,8,19.64285714,0,40,,,
"Nu: 0.0004, Gamma: 0.99",2,4,37,13,26.78571429,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,6,0,50,89.28571429,0,40,,,
"Nu: 0.005, Gamma: 0.0003",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.0004",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.005",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.05",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.0625",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.1",6,0,50,0,10.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.2",4,2,31,19,41.07142857,0,40,,,
"Nu: 0.005, Gamma: 0.5",3,3,33,17,35.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.7",3,3,39,11,25,0,40,,,
"Nu: 0.005, Gamma: 0.9",2,4,32,18,35.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.99",2,4,27,23,44.64285714,0,40,,,
"Nu: 0.05, Gamma: 0.0001",5,1,30,20,44.64285714,0,40,,,
"Nu: 0.05, Gamma: 0.0002",5,1,30,20,44.64285714,0,40,,,
"Nu: 0.05, Gamma: 0.0003",6,0,35,15,37.5,0,40,,,
"Nu: 0.05, Gamma: 0.0004",6,0,35,15,37.5,0,40,,,
"Nu: 0.05, Gamma: 0.005",6,0,35,15,37.5,0,40,,,
"Nu: 0.05, Gamma: 0.05",6,0,35,15,37.5,0,40,,,
"Nu: 0.05, Gamma: 0.0625",6,0,35,15,37.5,0,40,,,
"Nu: 0.05, Gamma: 0.1",6,0,35,15,37.5,0,40,,,
"Nu: 0.05, Gamma: 0.2",4,2,28,22,46.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.5",3,3,37,13,28.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.7",2,4,33,17,33.92857143,0,40,,,
"Nu: 0.05, Gamma: 0.9",2,4,34,16,32.14285714,0,40,,,
"Nu: 0.05, Gamma: 0.99",2,4,30,20,39.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",5,1,30,20,44.64285714,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",6,0,37,13,33.92857143,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",6,0,35,15,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",6,0,35,15,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.005",6,0,35,15,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.05",6,0,35,15,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",6,0,35,15,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.1",6,0,35,15,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.2",4,2,25,25,51.78571429,0,40,,,
"Nu: 0.0625, Gamma: 0.5",3,3,34,16,33.92857143,0,40,,,
"Nu: 0.0625, Gamma: 0.7",3,3,32,18,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,4,35,15,30.35714286,0,40,,,
"Nu: 0.0625, Gamma: 0.99",2,4,30,20,39.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.0001",5,1,31,19,42.85714286,0,40,,,
"Nu: 0.1, Gamma: 0.0002",6,0,35,15,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.0003",6,0,35,15,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.0004",6,0,35,15,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.005",6,0,35,15,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.05",6,0,35,15,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.0625",6,0,35,15,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.1",6,0,35,15,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.2",4,2,25,25,51.78571429,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,3,22,28,55.35714286,0,40,,,
"Nu: 0.1, Gamma: 0.7",4,2,16,34,67.85714286,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,4,13,37,69.64285714,0,40,,,
"Nu: 0.1, Gamma: 0.99",2,4,11,39,73.21428571,0,40,,,
"Nu: 0.2, Gamma: 0.0001",6,0,34,16,39.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.0002",6,0,34,16,39.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.0003",6,0,34,16,39.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.0004",6,0,34,16,39.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.005",6,0,34,16,39.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.05",6,0,34,16,39.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.0625",6,0,34,16,39.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.1",6,0,34,16,39.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.2",5,1,33,17,39.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.5",3,3,20,30,58.92857143,0,40,,,
"Nu: 0.2, Gamma: 0.7",3,3,12,38,73.21428571,0,40,,,
"Nu: 0.2, Gamma: 0.9",4,2,12,38,75,0,40,,,
"Nu: 0.2, Gamma: 0.99",3,3,13,37,71.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0001",5,1,30,20,44.64285714,0,40,,,
"Nu: 0.5, Gamma: 0.0002",5,1,23,27,57.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.0003",4,2,14,36,71.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0004",5,1,20,30,62.5,0,40,,,
"Nu: 0.5, Gamma: 0.005",5,1,21,29,60.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.05",5,1,21,29,60.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.0625",5,1,21,29,60.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.1",5,1,21,29,60.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.2",5,1,23,27,57.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,4,12,38,71.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,4,10,40,75,0,40,,,
"Nu: 0.5, Gamma: 0.9",3,3,11,39,75,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,4,7,43,80.35714286,0,40,,,
"Nu: 0.7, Gamma: 0.0001",5,1,15,35,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.0002",5,1,15,35,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.0003",3,3,13,37,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.0004",3,3,13,37,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.005",5,1,13,37,75,0,40,,,
"Nu: 0.7, Gamma: 0.05",4,2,13,37,73.21428571,0,40,,,
"Nu: 0.7, Gamma: 0.0625",4,2,13,37,73.21428571,0,40,,,
"Nu: 0.7, Gamma: 0.1",4,2,13,37,73.21428571,0,40,,,
"Nu: 0.7, Gamma: 0.2",3,3,12,38,73.21428571,0,40,,,
"Nu: 0.7, Gamma: 0.5",3,3,13,37,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.7",3,3,4,46,87.5,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,5,4,46,83.92857143,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,5,4,46,83.92857143,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,5,0,50,91.07142857,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,5,1,49,89.28571429,0,40,,,
