Features: 16,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.1, Gamma: 0.9",2,2,17,12,42.42424242424242,0,40,
"Nu: 0.1, Gamma: 0.99",3,1,15,14,51.515151515151516,0,40,
"Nu: 0.2, Gamma: 0.0001",3,1,27,2,15.151515151515152,0,40,
"Nu: 0.2, Gamma: 0.0002",3,1,23,6,27.27272727272727,0,40,
"Nu: 0.2, Gamma: 0.0003",3,1,23,6,27.27272727272727,0,40,
"Nu: 0.2, Gamma: 0.0004",3,1,23,6,27.27272727272727,0,40,
"Nu: 0.2, Gamma: 0.005",3,1,24,5,24.242424242424242,0,40,
"Nu: 0.2, Gamma: 0.05",3,1,24,5,24.242424242424242,0,40,
"Nu: 0.2, Gamma: 0.0625",3,1,24,5,24.242424242424242,0,40,
"Nu: 0.2, Gamma: 0.1",3,1,24,5,24.242424242424242,0,40,
"Nu: 0.2, Gamma: 0.2",2,2,24,5,21.21212121212121,0,40,
"Nu: 0.2, Gamma: 0.5",1,3,23,6,21.21212121212121,0,40,
"Nu: 0.2, Gamma: 0.7",1,3,21,8,27.27272727272727,0,40,
"Nu: 0.2, Gamma: 0.9",1,3,17,12,39.39393939393939,0,40,
"Nu: 0.2, Gamma: 0.99",2,2,15,14,48.484848484848484,0,40,
"Nu: 0.5, Gamma: 0.0001",2,2,13,16,54.54545454545454,0,40,
"Nu: 0.5, Gamma: 0.0002",2,2,13,16,54.54545454545454,0,40,
"Nu: 0.5, Gamma: 0.0003",2,2,13,16,54.54545454545454,0,40,
"Nu: 0.5, Gamma: 0.0004",2,2,13,16,54.54545454545454,0,40,
"Nu: 0.5, Gamma: 0.005",2,2,13,16,54.54545454545454,0,40,
"Nu: 0.5, Gamma: 0.05",2,2,13,16,54.54545454545454,0,40,
"Nu: 0.5, Gamma: 0.0625",2,2,13,16,54.54545454545454,0,40,
"Nu: 0.5, Gamma: 0.1",2,2,13,16,54.54545454545454,0,40,
"Nu: 0.5, Gamma: 0.2",1,3,13,16,51.515151515151516,0,40,
"Nu: 0.5, Gamma: 0.5",1,3,20,9,30.303030303030305,0,40,
"Nu: 0.5, Gamma: 0.7",1,3,18,11,36.36363636363637,0,40,
"Nu: 0.5, Gamma: 0.9",1,3,11,18,57.57575757575758,0,40,
"Nu: 0.5, Gamma: 0.99",1,3,8,21,66.66666666666666,0,40,
"Nu: 0.7, Gamma: 0.0001",0,4,3,26,78.78787878787878,0,40,
"Nu: 0.7, Gamma: 0.0002",2,2,10,19,63.63636363636363,0,40,
"Nu: 0.7, Gamma: 0.0003",2,2,10,19,63.63636363636363,0,40,
"Nu: 0.7, Gamma: 0.0004",2,2,10,19,63.63636363636363,0,40,
"Nu: 0.7, Gamma: 0.005",1,3,10,19,60.60606060606061,0,40,
"Nu: 0.7, Gamma: 0.05",1,3,9,20,63.63636363636363,0,40,
"Nu: 0.7, Gamma: 0.0625",1,3,9,20,63.63636363636363,0,40,
"Nu: 0.7, Gamma: 0.1",1,3,9,20,63.63636363636363,0,40,
"Nu: 0.7, Gamma: 0.2",1,3,10,19,60.60606060606061,0,40,
"Nu: 0.7, Gamma: 0.5",1,3,5,24,75.75757575757575,0,40,
"Nu: 0.7, Gamma: 0.7",0,4,2,27,81.81818181818183,0,40,
"Nu: 0.7, Gamma: 0.9",0,4,3,26,78.78787878787878,0,40,
"Nu: 0.7, Gamma: 0.99",0,4,3,26,78.78787878787878,0,40,
"Nu: 0.9, Gamma: 0.0001",0,4,2,27,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.0002",0,4,2,27,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.0003",0,4,2,27,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.0004",0,4,2,27,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.005",0,4,2,27,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.05",0,4,3,26,78.78787878787878,0,40,
"Nu: 0.9, Gamma: 0.0625",0,4,3,26,78.78787878787878,0,40,
"Nu: 0.9, Gamma: 0.1",1,3,8,21,66.66666666666666,0,40,
"Nu: 0.9, Gamma: 0.2",1,3,5,24,75.75757575757575,0,40,
"Nu: 0.9, Gamma: 0.5",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.9, Gamma: 0.7",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.9, Gamma: 0.9",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.9, Gamma: 0.99",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.99, Gamma: 0.0001",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.99, Gamma: 0.0002",0,4,0,29,87.87878787878788,0,40,
