Features: 16,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.1, Gamma: 0.1",5,1,24,14,43.18181818181818,0,40,
"Nu: 0.1, Gamma: 0.2",3,3,24,14,38.63636363636363,0,40,
"Nu: 0.1, Gamma: 0.5",3,3,26,12,34.090909090909086,0,40,
"Nu: 0.1, Gamma: 0.7",2,4,24,14,36.36363636363637,0,40,
"Nu: 0.1, Gamma: 0.9",2,4,22,16,40.909090909090914,0,40,
"Nu: 0.1, Gamma: 0.99",2,4,22,16,40.909090909090914,0,40,
"Nu: 0.2, Gamma: 0.0001",4,2,17,21,56.81818181818182,0,40,
"Nu: 0.2, Gamma: 0.0002",4,2,17,21,56.81818181818182,0,40,
"Nu: 0.2, Gamma: 0.0003",4,2,17,21,56.81818181818182,0,40,
"Nu: 0.2, Gamma: 0.0004",4,2,17,21,56.81818181818182,0,40,
"Nu: 0.2, Gamma: 0.005",4,2,17,21,56.81818181818182,0,40,
"Nu: 0.2, Gamma: 0.05",4,2,17,21,56.81818181818182,0,40,
"Nu: 0.2, Gamma: 0.0625",4,2,17,21,56.81818181818182,0,40,
"Nu: 0.2, Gamma: 0.1",4,2,16,22,59.09090909090909,0,40,
"Nu: 0.2, Gamma: 0.2",3,3,15,23,59.09090909090909,0,40,
"Nu: 0.2, Gamma: 0.5",2,4,17,21,52.27272727272727,0,40,
"Nu: 0.2, Gamma: 0.7",2,4,16,22,54.54545454545454,0,40,
"Nu: 0.2, Gamma: 0.9",2,4,16,22,54.54545454545454,0,40,
"Nu: 0.2, Gamma: 0.99",2,4,16,22,54.54545454545454,0,40,
"Nu: 0.5, Gamma: 0.0001",3,3,5,33,81.81818181818183,0,40,
"Nu: 0.5, Gamma: 0.0002",3,3,5,33,81.81818181818183,0,40,
"Nu: 0.5, Gamma: 0.0003",3,3,5,33,81.81818181818183,0,40,
"Nu: 0.5, Gamma: 0.0004",3,3,6,32,79.54545454545455,0,40,
"Nu: 0.5, Gamma: 0.005",3,3,5,33,81.81818181818183,0,40,
"Nu: 0.5, Gamma: 0.05",3,3,6,32,79.54545454545455,0,40,
"Nu: 0.5, Gamma: 0.0625",3,3,6,32,79.54545454545455,0,40,
"Nu: 0.5, Gamma: 0.1",3,3,6,32,79.54545454545455,0,40,
"Nu: 0.5, Gamma: 0.2",3,3,7,31,77.27272727272727,0,40,
"Nu: 0.5, Gamma: 0.5",1,5,10,28,65.9090909090909,0,40,
"Nu: 0.5, Gamma: 0.7",1,5,9,29,68.18181818181817,0,40,
"Nu: 0.5, Gamma: 0.9",1,5,11,27,63.63636363636363,0,40,
"Nu: 0.5, Gamma: 0.99",1,5,11,27,63.63636363636363,0,40,
"Nu: 0.7, Gamma: 0.0001",0,6,3,35,79.54545454545455,0,40,
"Nu: 0.7, Gamma: 0.0002",0,6,3,35,79.54545454545455,0,40,
"Nu: 0.7, Gamma: 0.0003",0,6,3,35,79.54545454545455,0,40,
"Nu: 0.7, Gamma: 0.0004",0,6,3,35,79.54545454545455,0,40,
"Nu: 0.7, Gamma: 0.005",0,6,4,34,77.27272727272727,0,40,
"Nu: 0.7, Gamma: 0.05",0,6,4,34,77.27272727272727,0,40,
"Nu: 0.7, Gamma: 0.0625",0,6,4,34,77.27272727272727,0,40,
"Nu: 0.7, Gamma: 0.1",0,6,3,35,79.54545454545455,0,40,
"Nu: 0.7, Gamma: 0.2",0,6,3,35,79.54545454545455,0,40,
"Nu: 0.7, Gamma: 0.5",0,6,2,36,81.81818181818183,0,40,
"Nu: 0.7, Gamma: 0.7",0,6,1,37,84.0909090909091,0,40,
"Nu: 0.7, Gamma: 0.9",1,5,2,36,84.0909090909091,0,40,
"Nu: 0.7, Gamma: 0.99",1,5,5,33,77.27272727272727,0,40,
"Nu: 0.9, Gamma: 0.0001",1,5,4,34,79.54545454545455,0,40,
"Nu: 0.9, Gamma: 0.0002",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.9, Gamma: 0.0003",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.9, Gamma: 0.0004",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.9, Gamma: 0.005",0,6,1,37,84.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.05",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.9, Gamma: 0.0625",0,6,1,37,84.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.1",0,6,1,37,84.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.2",0,6,1,37,84.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.5",0,6,1,37,84.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.7",0,6,1,37,84.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.9",0,6,1,37,84.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.99",0,6,1,37,84.0909090909091,0,40,
"Nu: 0.99, Gamma: 0.0001",0,6,4,34,77.27272727272727,0,40,
"Nu: 0.99, Gamma: 0.0002",0,6,2,36,81.81818181818183,0,40,
"Nu: 0.99, Gamma: 0.0003",0,6,2,36,81.81818181818183,0,40,
"Nu: 0.99, Gamma: 0.0004",0,6,1,37,84.0909090909091,0,40,
"Nu: 0.99, Gamma: 0.005",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.99, Gamma: 0.05",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.99, Gamma: 0.0625",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.99, Gamma: 0.1",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.99, Gamma: 0.2",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.99, Gamma: 0.5",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.99, Gamma: 0.7",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.99, Gamma: 0.9",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.99, Gamma: 0.99",0,6,0,38,86.36363636363636,0,40,
,,,,,,,,
