Features: 16,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.63702359
"Nu: 0.5, Gamma: 0.0004",4,6,43,2702,98.22141561,0,40,,
"Nu: 0.5, Gamma: 0.005",4,6,42,2703,98.25771325,0,40,,
"Nu: 0.5, Gamma: 0.05",4,6,44,2701,98.18511797,0,40,,
"Nu: 0.5, Gamma: 0.0625",4,6,44,2701,98.18511797,0,40,,
"Nu: 0.5, Gamma: 0.1",4,6,44,2701,98.18511797,0,40,,
"Nu: 0.5, Gamma: 0.2",4,6,44,2701,98.18511797,0,40,,
"Nu: 0.5, Gamma: 0.5",2,8,45,2700,98.07622505,0,40,,
"Nu: 0.5, Gamma: 0.7",3,7,44,2701,98.14882033,0,40,,
"Nu: 0.5, Gamma: 0.9",6,4,45,2700,98.22141561,0,40,,
"Nu: 0.5, Gamma: 0.99",6,4,45,2700,98.22141561,0,40,,
"Nu: 0.7, Gamma: 0.0001",3,7,17,2728,99.12885662,0,40,,
"Nu: 0.7, Gamma: 0.0002",2,8,15,2730,99.16515426,0,40,,
"Nu: 0.7, Gamma: 0.0003",2,8,15,2730,99.16515426,0,40,,
"Nu: 0.7, Gamma: 0.0004",2,8,15,2730,99.16515426,0,40,,
"Nu: 0.7, Gamma: 0.005",2,8,15,2730,99.16515426,0,40,,
"Nu: 0.7, Gamma: 0.05",2,8,15,2730,99.16515426,0,40,,
"Nu: 0.7, Gamma: 0.0625",2,8,15,2730,99.16515426,0,40,,
"Nu: 0.7, Gamma: 0.1",2,8,15,2730,99.16515426,0,40,,
"Nu: 0.7, Gamma: 0.2",2,8,15,2730,99.16515426,0,40,,
"Nu: 0.7, Gamma: 0.5",2,8,17,2728,99.09255898,0,40,,
"Nu: 0.7, Gamma: 0.7",2,8,21,2724,98.94736842,0,40,,
"Nu: 0.7, Gamma: 0.9",2,8,24,2721,98.8384755,0,40,,
"Nu: 0.7, Gamma: 0.99",2,8,24,2721,98.8384755,0,40,,
"Nu: 0.9, Gamma: 0.0001",1,9,11,2734,99.27404719,0,40,,
"Nu: 0.9, Gamma: 0.0002",1,9,11,2734,99.27404719,0,40,,
"Nu: 0.9, Gamma: 0.0003",1,9,11,2734,99.27404719,0,40,,
"Nu: 0.9, Gamma: 0.0004",1,9,11,2734,99.27404719,0,40,,
"Nu: 0.9, Gamma: 0.005",1,9,11,2734,99.27404719,0,40,,
"Nu: 0.9, Gamma: 0.05",1,9,11,2734,99.27404719,0,40,,
"Nu: 0.9, Gamma: 0.0625",1,9,11,2734,99.27404719,0,40,,
"Nu: 0.9, Gamma: 0.1",1,9,10,2735,99.31034483,0,40,,
"Nu: 0.9, Gamma: 0.2",1,9,12,2733,99.23774955,0,40,,
"Nu: 0.9, Gamma: 0.5",1,9,12,2733,99.23774955,0,40,,
"Nu: 0.9, Gamma: 0.7",1,9,11,2734,99.27404719,0,40,,
"Nu: 0.9, Gamma: 0.9",1,9,11,2734,99.27404719,0,40,,
"Nu: 0.9, Gamma: 0.99",1,9,11,2734,99.27404719,0,40,,
"Nu: 0.99, Gamma: 0.0001",0,10,8,2737,99.34664247,0,40,,
"Nu: 0.99, Gamma: 0.0002",0,10,8,2737,99.34664247,0,40,,
"Nu: 0.99, Gamma: 0.0003",0,10,5,2740,99.45553539,0,40,,
"Nu: 0.99, Gamma: 0.0004",0,10,5,2740,99.45553539,0,40,,
"Nu: 0.99, Gamma: 0.005",0,10,5,2740,99.45553539,0,40,,
"Nu: 0.99, Gamma: 0.05",0,10,5,2740,99.45553539,0,40,,
"Nu: 0.99, Gamma: 0.0625",0,10,5,2740,99.45553539,0,40,,
"Nu: 0.99, Gamma: 0.1",0,10,5,2740,99.45553539,0,40,,
"Nu: 0.99, Gamma: 0.2",0,10,4,2741,99.49183303,0,40,,
"Nu: 0.99, Gamma: 0.5",0,10,4,2741,99.49183303,0,40,,
"Nu: 0.99, Gamma: 0.7",0,10,5,2740,99.45553539,0,40,,
"Nu: 0.99, Gamma: 0.9",0,10,3,2742,99.52813067,0,40,,
"Nu: 0.99, Gamma: 0.99",0,10,2,2743,99.56442831,0,40,,
,,,,,,,,,
Target Class: dedup_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,
"Nu: 0.0001, Gamma: 0.0001",0,275,0,96,25.87601078,0,40,,
"Nu: 0.0001, Gamma: 0.0002",0,275,0,96,25.87601078,0,40,,
"Nu: 0.0001, Gamma: 0.0003",0,275,0,96,25.87601078,0,40,,
"Nu: 0.0001, Gamma: 0.0004",217,58,93,3,59.29919137,0,40,,
"Nu: 0.0001, Gamma: 0.005",217,58,93,3,59.29919137,0,40,,
"Nu: 0.0001, Gamma: 0.05",275,0,94,2,74.66307278,0,40,,
"Nu: 0.0001, Gamma: 0.0625",275,0,94,2,74.66307278,0,40,,
"Nu: 0.0001, Gamma: 0.1",275,0,93,3,74.93261456,0,40,,
"Nu: 0.0001, Gamma: 0.2",275,0,75,21,79.78436658,0,40,,
"Nu: 0.0001, Gamma: 0.5",275,0,46,50,87.60107817,0,40,,
"Nu: 0.0001, Gamma: 0.7",275,0,39,57,89.48787062,0,40,,
"Nu: 0.0001, Gamma: 0.9",275,0,31,65,91.64420485,0,40,,
"Nu: 0.0001, Gamma: 0.99",275,0,21,75,94.33962264,0,40,,
"Nu: 0.0002, Gamma: 0.0001",0,275,0,96,25.87601078,0,40,,
"Nu: 0.0002, Gamma: 0.0002",217,58,93,3,59.29919137,0,40,,
"Nu: 0.0002, Gamma: 0.0003",217,58,93,3,59.29919137,0,40,,
"Nu: 0.0002, Gamma: 0.0004",217,58,93,3,59.29919137,0,40,,
"Nu: 0.0002, Gamma: 0.005",275,0,95,1,74.393531,0,40,,
"Nu: 0.0002, Gamma: 0.05",275,0,94,2,74.66307278,0,40,,
"Nu: 0.0002, Gamma: 0.0625",275,0,94,2,74.66307278,0,40,,
"Nu: 0.0002, Gamma: 0.1",275,0,93,3,74.93261456,0,40,,
"Nu: 0.0002, Gamma: 0.2",275,0,76,20,79.5148248,0,40,,
"Nu: 0.0002, Gamma: 0.5",275,0,46,50,87.60107817,0,40,,
"Nu: 0.0002, Gamma: 0.7",58,217,37,59,31.53638814,0,40,,
"Nu: 0.0002, Gamma: 0.9",275,0,28,68,92.45283019,0,40,,
"Nu: 0.0002, Gamma: 0.99",92,183,20,76,45.28301887,0,40,,
"Nu: 0.0003, Gamma: 0.0001",0,275,0,96,25.87601078,0,40,,
"Nu: 0.0003, Gamma: 0.0002",217,58,93,3,59.29919137,0,40,,
"Nu: 0.0003, Gamma: 0.0003",217,58,93,3,59.29919137,0,40,,
"Nu: 0.0003, Gamma: 0.0004",217,58,93,3,59.29919137,0,40,,
"Nu: 0.0003, Gamma: 0.005",275,0,95,1,74.393531,0,40,,
"Nu: 0.0003, Gamma: 0.05",275,0,94,2,74.66307278,0,40,,
"Nu: 0.0003, Gamma: 0.0625",275,0,94,2,74.66307278,0,40,,
"Nu: 0.0003, Gamma: 0.1",275,0,91,5,75.47169811,0,40,,
"Nu: 0.0003, Gamma: 0.2",275,0,76,20,79.5148248,0,40,,
"Nu: 0.0003, Gamma: 0.5",275,0,45,51,87.87061995,0,40,,
"Nu: 0.0003, Gamma: 0.7",58,217,37,59,31.53638814,0,40,,
"Nu: 0.0003, Gamma: 0.9",275,0,30,66,91.91374663,0,40,,
"Nu: 0.0003, Gamma: 0.99",275,0,23,73,93.80053908,0,40,,
"Nu: 0.0004, Gamma: 0.0001",220,55,93,3,60.10781671,0,40,,
"Nu: 0.0004, Gamma: 0.0002",217,58,93,3,59.29919137,0,40,,
"Nu: 0.0004, Gamma: 0.0003",217,58,93,3,59.29919137,0,40,,
"Nu: 0.0004, Gamma: 0.0004",217,58,93,3,59.29919137,0,40,,
"Nu: 0.0004, Gamma: 0.005",275,0,95,1,74.393531,0,40,,
"Nu: 0.0004, Gamma: 0.05",275,0,94,2,74.66307278,0,40,,
"Nu: 0.0004, Gamma: 0.0625",251,24,92,4,68.73315364,0,40,,
"Nu: 0.0004, Gamma: 0.1",275,0,91,5,75.47169811,0,40,,
"Nu: 0.0004, Gamma: 0.2",275,0,76,20,79.5148248,0,40,,
"Nu: 0.0004, Gamma: 0.5",275,0,45,51,87.87061995,0,40,,
"Nu: 0.0004, Gamma: 0.7",275,0,36,60,90.29649596,0,40,,
"Nu: 0.0004, Gamma: 0.9",275,0,30,66,91.91374663,0,40,,
"Nu: 0.0004, Gamma: 0.99",275,0,22,74,94.07008086,0,40,,
"Nu: 0.005, Gamma: 0.0001",70,205,66,30,26.9541779,0,40,,
"Nu: 0.005, Gamma: 0.0002",275,0,71,25,80.86253369,0,40,,
"Nu: 0.005, Gamma: 0.0003",275,0,71,25,80.86253369,0,40,,
"Nu: 0.005, Gamma: 0.0004",275,0,71,25,80.86253369,0,40,,
"Nu: 0.005, Gamma: 0.005",83,192,69,27,29.64959569,0,40,,
"Nu: 0.005, Gamma: 0.05",275,0,68,28,81.67115903,0,40,,
"Nu: 0.005, Gamma: 0.0625",275,0,67,29,81.94070081,0,40,,
"Nu: 0.005, Gamma: 0.1",275,0,67,29,81.94070081,0,40,,
"Nu: 0.005, Gamma: 0.2",265,10,61,35,80.86253369,0,40,,
"Nu: 0.005, Gamma: 0.5",274,1,32,64,91.10512129,0,40,,
"Nu: 0.005, Gamma: 0.7",275,0,27,69,92.72237197,0,40,,
"Nu: 0.005, Gamma: 0.9",275,0,19,77,94.8787062,0,40,,
"Nu: 0.005, Gamma: 0.99",275,0,18,78,95.14824798,0,40,,
"Nu: 0.05, Gamma: 0.0001",86,189,22,74,43.12668464,0,40,,
"Nu: 0.05, Gamma: 0.0002",86,189,22,74,43.12668464,0,40,,
"Nu: 0.05, Gamma: 0.0003",86,189,24,72,42.58760108,0,40,,
"Nu: 0.05, Gamma: 0.0004",86,189,24,72,42.58760108,0,40,,
"Nu: 0.05, Gamma: 0.005",263,12,24,72,90.29649596,0,40,,
"Nu: 0.05, Gamma: 0.05",265,10,18,78,92.45283019,0,40,,
"Nu: 0.05, Gamma: 0.0625",265,10,18,78,92.45283019,0,40,,
"Nu: 0.05, Gamma: 0.1",264,11,15,81,92.99191375,0,40,,
"Nu: 0.05, Gamma: 0.2",265,10,10,86,94.60916442,0,40,,
