Features: 16,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.63702359
"Nu: 0.9, Gamma: 0.0625",24,251,0,96,32.34501348,10,40,,
"Nu: 0.9, Gamma: 0.1",24,251,0,96,32.34501348,10,40,,
"Nu: 0.9, Gamma: 0.2",24,251,0,96,32.34501348,10,40,,
"Nu: 0.9, Gamma: 0.5",31,244,0,96,34.23180593,10,40,,
"Nu: 0.9, Gamma: 0.7",31,244,0,96,34.23180593,10,40,,
"Nu: 0.9, Gamma: 0.9",33,242,0,96,34.77088949,10,40,,
"Nu: 0.9, Gamma: 0.99",34,241,0,96,35.04043127,10,40,,
"Nu: 0.99, Gamma: 0.0001",2,273,0,96,26.41509434,10,40,,
"Nu: 0.99, Gamma: 0.0002",2,273,0,96,26.41509434,10,40,,
"Nu: 0.99, Gamma: 0.0003",2,273,0,96,26.41509434,10,40,,
"Nu: 0.99, Gamma: 0.0004",2,273,0,96,26.41509434,10,40,,
"Nu: 0.99, Gamma: 0.005",2,273,0,96,26.41509434,10,40,,
"Nu: 0.99, Gamma: 0.05",2,273,0,96,26.41509434,10,40,,
"Nu: 0.99, Gamma: 0.0625",2,273,0,96,26.41509434,10,40,,
"Nu: 0.99, Gamma: 0.1",2,273,0,96,26.41509434,10,40,,
"Nu: 0.99, Gamma: 0.2",2,273,0,96,26.41509434,10,40,,
"Nu: 0.99, Gamma: 0.5",1,274,0,96,26.14555256,10,40,,
"Nu: 0.99, Gamma: 0.7",2,273,0,96,26.41509434,10,40,,
"Nu: 0.99, Gamma: 0.9",3,272,0,96,26.68463612,10,40,,
"Nu: 0.99, Gamma: 0.99",3,272,0,96,26.68463612,10,40,,
