Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.58156028,14
"Nu: 0.5, Gamma: 0.0001",3,1,47,90,65.95744681,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,1,41,96,70.21276596,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,1,41,96,70.21276596,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,1,41,96,70.21276596,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,1,40,97,70.92198582,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,37,100,72.34042553,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,36,101,73.04964539,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,2,33,104,75.17730496,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,2,22,115,82.9787234,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,18,119,85.81560284,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,2,17,120,86.5248227,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,2,16,121,87.23404255,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,2,15,122,87.94326241,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,4,11,126,89.36170213,0,40,,,
"Nu: 0.7, Gamma: 0.0002",0,4,11,126,89.36170213,0,40,,,
"Nu: 0.7, Gamma: 0.0003",0,4,10,127,90.07092199,0,40,,,
"Nu: 0.7, Gamma: 0.0004",0,4,17,120,85.10638298,0,40,,,
"Nu: 0.7, Gamma: 0.005",0,4,16,121,85.81560284,0,40,,,
"Nu: 0.7, Gamma: 0.05",0,4,14,123,87.23404255,0,40,,,
"Nu: 0.7, Gamma: 0.0625",0,4,13,124,87.94326241,0,40,,,
"Nu: 0.7, Gamma: 0.1",0,4,12,125,88.65248227,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,10,127,90.78014184,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,2,15,122,87.94326241,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,2,11,126,90.78014184,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,2,9,128,92.19858156,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,2,9,128,92.19858156,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,18,119,84.39716312,0,40,,,
