Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,90.83969466,174
"Nu: 0.5, Gamma: 0.7",6,6,45,69,59.52380952,0,40,,,
"Nu: 0.5, Gamma: 0.9",5,7,32,82,69.04761905,0,40,,,
"Nu: 0.5, Gamma: 0.99",5,7,30,84,70.63492063,0,40,,,
"Nu: 0.7, Gamma: 0.0001",4,8,36,78,65.07936508,0,40,,,
"Nu: 0.7, Gamma: 0.0002",3,9,35,79,65.07936508,0,40,,,
"Nu: 0.7, Gamma: 0.0003",4,8,36,78,65.07936508,0,40,,,
"Nu: 0.7, Gamma: 0.0004",4,8,36,78,65.07936508,0,40,,,
"Nu: 0.7, Gamma: 0.005",4,8,36,78,65.07936508,0,40,,,
"Nu: 0.7, Gamma: 0.05",4,8,36,78,65.07936508,0,40,,,
"Nu: 0.7, Gamma: 0.0625",4,8,36,78,65.07936508,0,40,,,
"Nu: 0.7, Gamma: 0.1",4,8,34,80,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.2",3,9,30,84,69.04761905,0,40,,,
"Nu: 0.7, Gamma: 0.5",5,7,25,89,74.6031746,0,40,,,
"Nu: 0.7, Gamma: 0.7",5,7,22,92,76.98412698,0,40,,,
"Nu: 0.7, Gamma: 0.9",4,8,15,99,81.74603175,0,40,,,
"Nu: 0.7, Gamma: 0.99",4,8,15,99,81.74603175,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,12,7,107,84.92063492,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,12,7,107,84.92063492,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,12,7,107,84.92063492,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,12,7,107,84.92063492,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,12,8,106,84.12698413,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,12,9,105,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,12,9,105,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,12,9,105,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,12,8,106,84.12698413,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,10,6,108,87.3015873,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,12,0,114,90.47619048,0,40,,,
