Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.80952381,118
"Nu: 0.1, Gamma: 0.5",10,2,111,129,55.15873016,0,40,,,
"Nu: 0.1, Gamma: 0.7",10,2,125,115,49.6031746,0,40,,,
"Nu: 0.1, Gamma: 0.9",10,2,103,137,58.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.99",10,2,87,153,64.68253968,0,40,,,
"Nu: 0.2, Gamma: 0.0001",10,2,85,155,65.47619048,0,40,,,
"Nu: 0.2, Gamma: 0.0002",10,2,85,155,65.47619048,0,40,,,
"Nu: 0.2, Gamma: 0.0003",8,4,83,157,65.47619048,0,40,,,
"Nu: 0.2, Gamma: 0.0004",8,4,83,157,65.47619048,0,40,,,
"Nu: 0.2, Gamma: 0.005",10,2,83,157,66.26984127,0,40,,,
"Nu: 0.2, Gamma: 0.05",10,2,82,158,66.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.0625",10,2,82,158,66.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.1",10,2,83,157,66.26984127,0,40,,,
"Nu: 0.2, Gamma: 0.2",10,2,65,175,73.41269841,0,40,,,
"Nu: 0.2, Gamma: 0.5",9,3,6,234,96.42857143,0,40,,,
"Nu: 0.2, Gamma: 0.7",9,3,1,239,98.41269841,0,40,,,
"Nu: 0.2, Gamma: 0.9",9,3,0,240,98.80952381,0,40,,,
"Nu: 0.2, Gamma: 0.99",9,3,0,240,98.80952381,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,9,0,240,96.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,9,0,240,96.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,9,0,240,96.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,9,0,240,96.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,9,0,240,96.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,9,0,240,96.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,9,0,240,96.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,9,0,240,96.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.2",4,8,0,240,96.82539683,0,40,,,
"Nu: 0.5, Gamma: 0.5",3,9,0,240,96.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.7",3,9,0,240,96.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.9",4,8,0,240,96.82539683,0,40,,,
"Nu: 0.5, Gamma: 0.99",5,7,0,240,97.22222222,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,11,0,240,95.63492063,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,11,0,240,95.63492063,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,11,0,240,95.63492063,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,11,0,240,95.63492063,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,11,0,240,95.63492063,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,11,0,240,95.63492063,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,11,0,240,95.63492063,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,11,0,240,95.63492063,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,11,0,240,95.63492063,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,11,0,240,95.63492063,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,11,0,240,95.63492063,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,11,0,240,95.63492063,0,40,,,
"Nu: 0.9, Gamma: 0.0001",2,10,0,240,96.03174603,0,40,,,
